CAS	Name	A	B	C	Tmin	Tmax
37014-01-0	Tetrahydro-2,6-diphenyl-4H-thiopyran-4-one	41.849484065166784	16359.176310194798	0.0	1.0	386.7
37170-96-0	9-Acetamido-anthracene	36.624688230653994	16214.80422486407	0.0	446.0	500.0
37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	30.44017492938129	11144.511850091181	0.0	303.0	313.0
38178-38-0	1,6-Dichloro-dibenzo-p-dioxin	32.983449242145994	12181.83564482537	-6.619	298.0	398.0
38256-01-8	1,1'-Diadamantyl ketone	31.361208966578904	12319.521023046043	0.0	362.0	379.0
38444-86-9	2',3,4-Trichlorobiphenyl	7.402811073975856	3476.9034904210093	0.0	303.0	313.0
38677-56-4	(2,2,2-Trinitroethyl) benzene	32.80032464970018	10123.315361348323	0.0	293.0	308.0
38964-22-6	2,8-Dichloro-dibenzo-p-dioxin	35.01416811321024	13042.673199936846	-0.927	298.0	398.0
39001-02-0	Octachlorodibenzo-furan	38.953315561049806	18018.495113514375	0.321	298.0	398.0
39073-07-9	2,7-Dibromo-dibenzo-p-dioxin	34.26739371585041	13035.542093903845	4.488	298.0	398.0
39196-18-4	2-Butanone, 3,3-dimethyl-1-(methyl-thio)-O-[(methyl-	33.5250172560182	11310.484486179286	0.0	298.0	329.0
39227-28-6	1,2,3,4,7,8-Hexa-chlorodibenzo-p-dioxin	37.563129811154646	16831.012837110768	-1.093	298.0	398.0
39227-53-7	1-Chlorodibenzo-p-dioxin	35.33956943855216	11850.735421378293	-0.07	0.001	335.41
39227-54-8	2-Chlorodibenzo-p-dioxin	34.274370548682185	11112.743083563144	-8.304	0.001	332.53
39227-58-2	1,2,4-Trichloro-dibenzo-p-dioxin	39.080717594245165	14449.350064268026	1.135	298.0	398.0
39227-61-7	1,2,3,4,7-Penta-chlorodibenzo-p-dioxin	39.42173044651758	16681.524407703408	1.513	298.0	398.0
39227-62-8	1,2,4,6,7,9-Hexa-chlorodibenzo-p-dioxin	40.20258310325372	18052.601003911805	7.791	298.0	398.0
40321-76-4	1,2,3,7,8-Penta-chlorodibenzo-p-dioxin	36.977214008391385	15821.612491799315	-3.195	298.0	398.0
40915-96-6	Peroxytridecanoic acid	52.96268075799325	17159.00226809721	0.0	293.0	303.0
41463-86-9	4,4,4-Trifluoro-1-phenyl-1,3-dione	33.352945072018755	10582.911345909935	0.0	276.0	284.0
41902-42-5	2,2,4,4-Tetramethyl-3-tert-butyl-3-pentane	23.38737981539145	6813.79368909233	0.345	278.0	318.0
47189-08-2	1,4-Bis(1,1-diethoxyethyl)benzene	41.170221462733544	13504.661570410079	0.0	306.0	327.0
49753-54-0	1,3,5-Triazine, 2,4,6-tris(2,4,6-trinitrophenyl	29.11655691452459	20197.700789470524	0.0	479.0	551.0
49786-02-9	1,3-Dimethyl-6-ethyluracil	33.5752366368964	11556.683792077489	0.0	309.0	315.0
50585-37-0	2,3-Dibromo-dibenzo-p-dioxin	34.33207333111261	12498.521685590307	-7.96	298.0	398.0
50585-38-1	2,3-Difluoro-dibenzo-p-dioxin	34.03315173434012	12850.63530059605	12.928	298.0	398.0
50585-39-2	1,3-Dichloro-dibenzo-p-dioxin	36.4465832737109	13097.774061212194	-5.411	0.001	364.78
50585-41-6	2,3,7,8-Tetrabromo-dibenzo-p-dioxin	32.74791781298364	13945.956608652574	-1.467	298.0	398.0
50585-42-7	2,3-Dichloro-7,8-difluorodibenzo-p-dioxin	35.52048354930869	14589.803149770476	2.631	298.0	398.0
50585-43-8	2,3-Dibromo-7,8-difluorodibenzo-p-dioxin	33.532293424912055	14309.889392940655	1.075	298.0	398.0
50585-46-1	1,3,7,8-Tetrachloro-dibenzo-p-dioxin	37.230429291067935	15159.115011428163	-2.148	298.0	398.0
51112-72-2	Diisopropyltelluride	24.05740905160179	5348.905171025169	0.0	263.0	298.0
51207-31-9	2,3,7,8-Tetrachloro-dibenzofuran	35.065308528125634	14293.18874326117	-1.522	298.0	398.0
51853-00-0	5-Methyl tetrazole	32.652636841835545	11271.038900951204	-0.147	323.0	418.0
52183-94-5	1-[N-(Triphenylacetyl)-L-leucyl]proline methyl ester	40.07649354356137	14596.086904489257	0.0	313.0	366.0
52315-07-8	3-(2,2-Dichloro-vinyl)-2,2-dimethyl-cyclopropane carboxylic	39.953996016614084	16472.91480344833	0.0	303.0	371.0
52654-27-0	Bis(ethylene)(2,4-pentandione)iridium	29.793701138672276	10084.447724978583	0.0	283.0	311.0
54564-31-7	2-Nitroadamantane	23.1267041570136	6987.042494074295	0.0	306.0	368.0
54589-71-8	2,4,8-Trichloro-dibenzofuran	36.28015242318929	13687.78155768571	2.188	298.0	398.0
55673-89-7	1,2,3,4,7,8,9-Hepta-chlorodibenzofuran	39.067454704109515	17058.948038051338	-3.856	298.0	398.0
56986-36-8	N-Nitroso(acetoxy-methyl) butyl amine	14.6412636240138	2687.6625161910915	-141.403	273.0	329.0
57117-31-4	2,3,4,7,8-Penta-chlorodibenzofuran	36.79003686618189	15031.7129782328	-7.142	298.0	398.0
57117-32-5	2,3,8-Trichloro-dibenzofuran	33.94512390623496	12929.381408191353	-6.689	298.0	398.0
57117-35-8	1,3,7,8-Tetrachloro-dibenzofuran	35.694374775531614	13924.333032044267	-5.06	298.0	398.0
57117-36-9	1,3,6,7-Tetrachloro-dibenzofuran	36.67824635991703	14605.944271272365	-1.179	298.0	398.0
57117-37-0	2,3,6,8-Tetrachloro-dibenzofuran	36.42477779288025	14854.76852417658	3.208	298.0	398.0
57117-38-1	2,4,6,7 Tetrachloro-dibenzofuran	38.194176281740596	15368.268025765183	6.043	298.0	398.0
57117-39-2	2,3,6,7-Tetrachloro-dibenzofuran	35.53977921238799	14128.595355643767	-5.74	298.0	398.0
57117-41-6	1,2,3,7,8-Penta-chlorodibenzofuran	37.13625356076448	15774.225290585497	2.784	298.0	398.0
57117-42-7	1,2,3,6,7-Penta-chlorodibenzofuran	38.504725933232706	16383.546870819046	7.95	298.0	398.0
57117-43-8	2,3,4,6,7-Penta-chlorodibenzofuran	36.74771535217266	15122.865414309155	-5.626	298.0	398.0
57117-44-9	1,2,3,6,7,8-Hexa-chlorodibenzofuran	37.32476620232791	16049.52466688896	-4.653	298.0	398.0
57348-79-5	(Pentacyclo-[9,5,1,1(3,9),1(5,15),1(7,13)]-octasiloxane	32.50098858761096	13285.915986575645	0.35	463.0	563.0
57653-85-7	1,2,3,6,7,8-Hexa-chlorodibenzo-p-dioxin	37.15612487011702	16739.14659965558	-0.876	298.0	398.0
57807-44-0	α,α-Dimethyl-4-[1-(tert-butoxy)-1-methylethyl] benzenemethanol	56.330671973515635	16860.909601958203	0.0	318.0	324.0
