CAS	Name	A	B	C	Tmin	Tmax
2738-19-4	2-Methyl-2-hexene	20.7281012656417	2902.408509718995	-53.15	274.0	394.0
2741-16-4	Isopropyl phenyl ether	19.785468980271798	2785.64672223836	-113.387	345.0	447.0
2743-60-4	L-Leucine, ethyl ester	59.482427422954956	67651.84275711152	949.055	333.0	449.0
2746-19-2	Norborn-5-ene-2,3-dicarboxylic anhydride 2-exo, 3-exo isomere	19.651504579561404	4876.9373967589	34.74	393.0	523.0
2765-11-9	Pentadecanal	21.248255238149056	4358.7935810377285	-122.15	441.0	604.0
2765-29-9	1-trans,-5-trans,9-cis-Cyclododekatriene	29.90113975911138	8178.782250314851	0.0	280.0	310.0
2768-15-2	2-Butyl-1-hexanol	13.934554207272067	421.3730720179104	-316.15	379.0	491.0
2783-12-2	2-Nitro-1-butene	24.7118037350307	5292.952353265413	0.0	273.0	333.0
2783-17-7	1,12-Dodecane-diamine	40.136268652575495	13248.498978814492	0.0	313.0	354.0
2785-87-7	2-Methoxy-4-propyl phenol	13.852812436470778	686.4927196252448	-291.125	368.0	412.0
2787-43-1	(E)-3-Methyl-1,3-pentadiene	20.24847279077104	2574.4052632219928	-55.0	350.15	350.15
2787-45-3	(Z)-3-Methyl-1,3-pentadiene	20.24847279077104	2574.4052632219928	-55.0	350.15	350.15
2801-84-5	2,4-Dimethyldecane	23.778243634927193	5794.114603925753	1.203	348.0	472.0
2801-87-8	4-Methylpentadecane	24.294874652242267	7110.884730715886	4.001	411.0	552.0
2806-84-0	3-Methoxy propanal	20.323514038951714	2592.142076193326	-99.477	333.0	394.0
2806-85-1	3-Ethoxypropanal	22.64636188076411	4009.84371794976	-45.121	353.0	406.0
2807-30-9	2-Propoxyethanol	21.696476452351277	3533.171762338505	-75.737	350.0	421.0
2809-64-5	5-Methyl-1,2,3,4-tetrahydro-naphthalene	20.84924026738412	3809.693811326346	-98.891	403.0	508.0
2809-67-8	2-Octyne	21.240127112770786	3413.3521418543737	-59.97	310.0	438.0
2809-69-0	2,4-Hexadiyne	21.278971723289594	3355.8082377953597	-58.576	338.0	408.0
2832-40-8	4-Acetamido-2'-hydroxy-5'-methyl-azobenzene	31.10004976533152	12797.058750652264	0.0	433.0	524.0
2832-49-7	20N2O2S Sulfamide, tetraethyl	30.94437198719419	13913.066483184248	188.113	407.0	528.0
2837-89-0	1-Chloro-1,2,2,2-tetrafluoroethane	23.44577337334978	3800.773596676087	60.417	278.0	396.0
2846-04-0	1,3-Distearo-2-olein	35.79368527059244	19940.386905328436	0.0	523.0	593.0
2847-72-5	4-Methyldecane	23.820334890427123	5667.810903819751	0.915	340.0	460.0
2849-98-1	Pentyl methacrylate	24.10500348547398	5731.580997970221	0.0	339.0	456.0
2867-47-2	Methacrylic acid, 2-(dimethylamino)-ethyl ester	22.62600702854204	4626.8835634150255	-43.15	372.0	460.0
2869-34-3	Tridecylamine	21.44022175735197	4423.431749768258	-102.453	370.0	549.0
2870-04-4	2-Ethyl-1,3-dimethylbenzene	20.346102398713988	3457.4926980870696	-71.15	342.0	496.0
2872-52-8	4-Nitro-4'-[N-ethyl-N-(2-hydroxy-ethyl)amino]azo-benzene	37.056468987292234	16453.36125083863	0.0	433.0	524.0
2873-74-7	Glutaryl chloride	23.879142913702193	5703.669061472948	-28.853	329.0	490.0
2876-35-9	2-(1,1-Dimethylethyl)-naphthalene	18.973991941798836	2955.367966857858	-156.45	416.0	558.0
2876-63-3	Ethyl-1-naphthyl ketone	24.569849364047617	7047.743242295804	-38.813	397.0	579.0
2882-96-4	3-Methylpentadecane	23.919023687512848	6601.488435762999	-23.014	417.0	555.0
2882-97-5	2,3-Dimethylpentadecane	25.05546456016006	8019.4479670498495	24.072	425.0	568.0
2882-98-6	Nonylcyclopentane	21.001648374689392	4096.298880436408	-102.95	408.0	569.0
2883-02-5	Nonylcyclohexane	21.012240266117164	4260.2429390575835	-105.55	423.0	589.0
2883-05-8	(1-Methyheptyl)-cyclohexane	25.505251532225518	7262.514564259731	0.0	304.0	397.0
2883-07-0	1-Cyclohexyl-3-cyclopentylpropane	26.468561031730506	7760.280501907904	0.0	371.0	403.0
2883-12-7	1-Cyclopentyl-3-phenylpropane	25.341837068175728	7370.001538985786	0.0	370.0	410.0
2883-70-7	9-Dodecylanthracene	24.739803169761508	8525.645971308568	-80.145	400.0	566.0
2884-06-2	2,3-Dimethylnonane	23.74835608042013	5747.459624771508	10.269	336.0	460.0
