CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
14791-69-6	Argon, Ion	Ar+					1526778.0	1517077.0	166.404	20.984
14797-65-0	Nitrogen Oxide, Ion	NO2-					-202715.0	-177273.0	236.598	37.663
14808-04-9	Lithium, Ion	Li-					93475.0	68742.0	133.019	20.786
14832-97-4	Barium Bromide	BaBr					-110587.0	-149888.0	270.395	36.996
14832-99-6	Barium Chloride	BaCl					-142256.0	-167488.0	258.643	36.436
14835-14-4	Trifluorosilyl	F3Si					-1085330.0	-1073218.0	282.381	59.625
14877-32-8	Dibromosilylene	Br2Si					-52300.0	-92311.0	305.225	53.637
14903-34-5	Nickel, Ion	Ni+					1179003.0	1122106.0	199.724	121.588
14903-36-7	Aluminum, Ion	Al+					912713.0	870181.0	149.95	20.786
14940-63-7	Water-D	HDO					-245371.0	-233181.0	199.511	33.786
14953-28-7	Magnesium Fluoride	FMg					-236814.0	-262759.0	221.085	32.569
14965-52-7	Trichlorofluorosilane	Cl3FSi					-840984.0	-805570.0	336.055	90.081
14967-78-3	Nitrogen Oxide, Ion	NO+					990185.0	983978.0	198.219	29.123
14986-72-2	Lead Fluoride	FPb					-80266.0	-105244.0	249.957	34.399
14989-29-8	Magnesium Chloride	ClMg					-43514.0	-70109.0	233.413	34.828
14989-30-1	Chlorine Oxide	ClO					101219.0	97482.0	226.648	31.546
14989-32-3	Sulfur Chloride	ClS					156465.0	128520.00000000001	237.324	37.541
14989-33-4	Strontium Chloride	ClSr					-123846.0	-149204.0	252.284	36.252
14989-34-5	Zirconium Chloride	ClZr					205434.0	174456.0	254.309	35.004
15091-79-9	Gallium, Ion	Ga+					856648.0	814332.0	161.79	20.786
15096-52-3	Cryolite	AlF6Na3	-3246472.0	-3095921.0	286.058	215.727				
15117-84-7	Amidogen-D	D2N					185351.0	196226.0	204.291	34.422
15123-00-9	Imidogen-D	DN					375305.0	369655.0	187.234	29.159
15138-76-8	Lithium Tetrafluoroaluminate	AlF4Li					-1853512.0	-1812832.0	326.497	99.79
15176-26-8	Zinc, Ion	Zn+					1037336.0	993803.0	166.751	20.786
15385-57-6	Mercury Iodide	Hg2I2	-98564.0	-100073.0	273.258	136.398				
15499-23-7	Oxygen Fluoride	FO2					12552.0	26692.0	259.114	44.397
15513-85-6	Zirconium Iodide	I2Zr	-234239.0	-243529.0	186.168	94.14	-66643.0	-123223.0	344.782	57.238
15552-34-8	Lithium Trifluoroberyllate	BeF3Li	-1634323.0	-1565442.0	111.681	91.816	-887008.0	-864560.0	267.419	61.09
15576-47-3	Lead Bromide	BrPb					70923.0	31692.0	272.471	36.922
15605-36-4	Titanium Chloride Oxide	ClOTi					-244262.0	-249864.0	263.661	51.654
15606-71-0	Calcium Chloride	CaCl					-104600.0	-130966.00000000001	241.559	35.665
15607-89-3	Sulfur Bromide Fluoride	BrF5S					-972822.0	-888897.0	333.648	107.073
15626-42-3	Diazene, Cis	H2N2					212966.0	243880.0	218.603	36.554
15923-87-2	Calcium Iodide	CaI					-5045.0	-53240.0	261.306	36.646
16027-92-2	Phosphorus Fluoride	FP					-52250.0	-76846.0	224.968	31.62
16050-72-9	Phosphorus, Ion	P-					238717.0	206795.0	169.124	22.168
16068-96-5	Sulfur Fluoride	FS					12970.0	-14407.0	225.275	35.152
16427-80-8	Phosphorus, Ion	P+					1336333.0	1292543.0	166.97	25.856
16480-60-7	Iron Chloride	Cl6Fe2					-654378.0	-598641.0	536.937	173.663
16541-35-8	Barium, Ion	Ba+					688126.0	648021.0	176.008	20.786
16557-44-1	Tungsten, Ion	W+					1627691.0	1577508.0	179.997	22.995
16603-84-2	Aluminum Chloride	AlCl2					-280328.0	-291677.0	289.42	51.635
16610-75-6	Cobalt, Ion	Co+					1191597.0	1141133.0	178.346	22.272
16727-12-1	Molybdenum, Ion	Mo+					1350159.0	1298567.0	180.669	20.786
16727-17-6	Vanadium, Ion	V-					458588.0	418779.0	183.436	23.049
16727-18-7	Cobalt, Ion	Co-					356649.0	318675.0	178.412	22.438
16752-60-6	Phosphorus Oxide	O10P4					-2904081.0	-2669711.0	403.964	188.804
16812-54-7	Nickel Sulfide	NiS	-62474.0	-65609.0	72.441	47.112	357419.0	300664.0	252.282	34.452
16860-99-4	Thiothionyl Fluoride	F2S2					-401413.0	-409143.0	292.827	63.127
16873-17-9	Deuterium	D					221720.0	206553.0	123.35	20.786
16887-00-6	Chlorine, Ion	Cl-					-233954.0	-240167.0	153.356	20.786
16915-28-9	Krypton, Ion	Kr+					1356955.0	1347264.0	175.61	20.786
16921-96-3	Iodine Fluoride	F7I					-961065.0	-835814.0	347.74	134.451
16984-48-8	Fluorine, Ion	F-					-255079.0	-261997.0	145.576	20.786
17030-74-9	Formyl, Ion	CHO+					833034.0	817906.0	203.417	35.963
17167-55-4	Phosphorus Chloride	ClP					129000.0	103579.0	237.879	34.718
17194-00-2	Barium Hydroxide	H2BaO2	-934123.0	-852148.0	123.357	101.629	-626562.0	-601731.0	315.016	77.256
17341-24-1	Lithium, Ion	Li+					685719.0	648477.0	133.017	20.786
17341-25-2	Sodium, Ion	Na+					609343.0	574317.0	147.953	20.786
17493-86-6	Copper, Ion	Cu+					1089277.0	1026627.9999999999	222.311	20.786
17497-75-5	Titanium Fluoride Oxide	FOTi					-433211.0	-437964.0	250.667	48.472
17499-30-8	Tungsten Chloride	Cl10W2					-868598.0	-729322.0	713.581	263.467
17702-41-9	Decaborane	H14B10	-7133.0	212950.0	234.935	221.208	47279.0	232412.0	352.159	179.581
17739-47-8	Phosphorus Nitride	NP					104780.0	82641.0	211.137	29.71
17778-80-2	Oxygen	O					249173.0	231736.0	161.058	21.911
17778-87-9	Nitrogen, Ion	N-					473540.0	460677.0	159.927	21.009
17778-88-0	Nitrogen	N					472683.0	455540.0	153.3	20.786
17949-86-9	Aluminum Fluoride	Al2F6					-2633619.0	-2550845.0	387.294	132.744
18015-86-6	Diiodoborane	BI2					242672.0	186744.0	309.56	49.083
18025-22-4	Titanium Fluoride	FTi					-66944.0	-98296.0	237.309	35.339
18459-37-5	Cesium, Ion	Cs+					458402.0	426897.0	169.836	20.786
18480-07-4	Strontium Hydroxide	H2O2Sr	-957304.0	-872993.0	108.739	74.894	-595797.0	-570013.0	305.042	76.209
18587-63-8	Niobium, Ion	Nb+					1402954.0	1352911.0	183.333	29.421
18624-44-7	Iron Hydroxide	H2FeO2					-330536.0	-306666.0	283.088	71.504
18851-76-8	Trifluoromethyl, Ion	CF3+					421007.0	431267.0	254.532	49.645
18868-43-4	Molybdenum Oxide	MoO2					-8314.0	-21206.0	276.99	44.174
18869-19-7	Boron, Ion	B-					527033.0	488274.0	156.811	20.788
18898-34-5	Aluminum Bromide	Al2Br6					-937216.0	-947368.0	547.22	167.514
18898-35-6	Aluminum Iodide	Al2I6					-489528.0	-546893.0	597.38	171.953
19128-96-2	Potassium, Ion	K-					34419.0	13868.0	154.577	20.786
19165-34-5	Trichlorosilyl	Cl3Si					-390367.0	-379858.0	318.189	70.733
19167-14-7	Sulfur Fluoride, Ion	F5S+					172644.0	238207.0	298.151	89.842
19181-13-6	Sodium, Ion	Na-					48236.0	25719.0	147.954	20.786
19229-95-9	Zinc, Ion	Zn-					109870.0	80564.0	160.989	20.786
19269-85-3	Sulfur	S4					145771.0	91381.0	310.646	67.585
19287-45-7	Diborane	H6B2					41003.0	91849.0	233.17	58.1
19498-52-3	Copper, Ion	Cu-					212920.0	181169.0	160.634	20.786
19498-56-7	Chromium, Ion	Cr-					327024.0	288732.0	173.03	20.786
19511-77-4	Lead Chloride, Ion	ClPb+					745589.0	715833.0	255.148	36.394
19511-83-2	Beryllium Hydride, Ion	HBe+					1156458.0	1121618.0	170.653	29.193
19624-22-7	Pentaborane	H9B5	42844.0	171913.0	184.33	151.126	73220.0	175133.0	275.41	93.818
19961-29-6	Bromoborane	BBr					234304.0	191651.0	224.997	32.788
20190-06-1	Titanium Chloride	ClTi					154390.0	122513.0	249.214	37.297
20193-58-2	Molybdenum Fluoride	F3Mo					-607098.0	-596120.0	295.968	67.093
20205-60-1	Molybdenum Fluoride	F2Mo					-162758.0	-174844.0	271.932	57.221
20281-00-9	Cesium Oxide	Cs2O					-92048.0	-105530.0	318.088	55.388
20461-54-5	Iodine, Ion	I-					-194591.0	-221488.0	169.26	20.786
20548-54-3	Calcium Sulfide	CaS					123595.0	76206.0	232.589	34.803
20561-33-5	Hafnium, Ion	Hf+					1278950.0	1230512.0	185.04	20.786
20561-66-4	Tantalum, Ion	Ta+					1549150.0	1500584.0	183.385	23.109
20583-55-5	Chloroborane	BCl					141419.0	112835.0	213.245	31.659
20611-59-0	Boron Hydride Oxide	HBO					-198322.0	-206929.0	202.617	35.26
20653-98-9	Aluminum Oxide, Ion	AlO2-					-489210.0	-483454.0	235.094	47.528
20768-67-6	Aluminum Hydroxide	HAlO					-179912.0	-185947.0	216.43	31.918
20768-68-7	Beryllium Hydroxide	HBeO					-114642.0	-124254.0	209.594	38.321
20901-21-7	Sulfur Oxide	OS2					-56484.0	-95956.0	267.02	44.114
21109-95-5	Barium Sulfide	BaS					37782.0	-8232.0	248.861	35.531
21308-25-8	Magnesium Fluoride, Ion	FMg+					512289.0	481805.0	215.33	32.605
21308-27-0	Strontium Fluoride, Ion	FSr+					197066.0	168224.0	232.846	33.891
21308-28-1	Barium Fluoride, Ion	BaF+					150206.0	121564.0	238.955	34.073
21340-02-3	Tetrafluoroaluminate, Ion	AlF4-					-1991584.0	-1943855.0	294.747	82.157
21351-79-1	Cesium Hydroxide	HCsO	-405970.0	-365855.0	118.513	81.588	-259408.00000000003	-259920.00000000003	254.778	49.723
21459-04-1	Sulfur	S7					113679.0	59034.0	407.673	133.502
21559-03-5	Aluminum Fluoride, Ion	AlF2+					92048.0	83338.0	239.299	49.281
21908-53-2	Mercury Oxide	HgO					41840.0	23784.0	239.161	32.883
22325-47-9	Aluminum, Ion	Al-					280790.0	245345.0	168.135	20.96
22325-58-2	Titanium, Ion	Ti-					459833.0	420484.0	183.715	22.835
22325-61-7	Iron, Ion	Fe-					393338.0	354013.0	180.198	25.023
22359-97-3	Aluminum Bromide	AlBr					15899.0	-24422.0	239.616	35.6
22395-91-1	Aluminum Chloride Fluoride	AlClF					-489528.0	-501957.0	282.895	48.806
22395-93-3	Chlorofluoroborane	BClF					-313800.0	-327480.0	264.65	42.547
22400-26-6	NCO Radical	CNO					159410.0	151024.0	232.248	40.053
22537-15-1	Chlorine	Cl					121302.0	105306.0	165.189	21.838
22537-38-8	Rubidium, Ion	Rb+					490129.0	457771.0	164.33	20.786
22541-56-6	Bromine, Ion	Br+					1257091.0	1220792.0	176.872	20.786
22541-65-7	Radon, Ion	Rn+					1043270.0	1033579.0	187.761	20.786
22541-93-1	Iodine, Ion	I+					1121353.0	1077957.0	182.642	20.786
22542-11-6	Mercury, Ion	Hg+					1074623.0	1024066.0	224.617	20.786
22831-39-6	Magnesium Silicide	Mg2Si	-3327.0	-15048.0	123.472	94.14				
22868-13-9	Sodium Sulfide	Na2S2	-380114.0	-381707.0	172.365	98.625				
23361-55-9	Boron Chloride Oxide	BClO					-316310.0	-321519.0	237.417	45.04
23361-56-0	Boron Fluoride Oxide	BFO					-602496.0	-606969.0	224.803	40.996
23411-74-7	Aluminum Chloride, Ion	AlCl2+					481160.0	469865.0	268.261	55.063
23412-45-5	Molybdenum Fluoride	F4Mo					-947676.0	-916298.0	328.94	85.232
23444-30-6	Iron Chloride	Cl4Fe2					-431370.0	-420548.0	464.503	125.875
23550-45-0	Sulfur	S2					128600.0	79687.0	228.165	32.49
23664-91-7	Titanium Bromide	BrTi					212547.0	166815.0	260.249	38.02
23670-59-9	Cobalt Chloride	Cl4Co2					-350619.0	-333955.0	450.4	127.432
24094-93-7	Chromium Nitride	CrN					505009.0	471876.0	230.553	30.754
24203-25-6	Xenon, Ion	Xe+					1176552.0	1166861.0	181.21	20.786
24203-36-9	Potassium, Ion	K+					514006.99999999994	480947.0	154.576	20.786
24203-47-2	Chlorine, Ion	Cl+					1378801.0	1355845.0	167.556	22.958
24304-00-5	Aluminum Nitride	AlN					523000.0	491851.0	228.553	32.367
24361-82-8	Methylidyne, Ion	CH+					1626739.0	1596748.0	171.671	29.153
24621-17-8	Zirconium Bromide	Br2Zr	-342333.0	-340230.0	184.024	91.002	-174473.0	-211951.0	316.777	60.685
24621-18-9	Zirconium Bromide	Br3Zr					-430952.0	-462081.0	371.585	79.443
24623-77-6	Aluminum Hydroxide Oxide	HAlO2					-460240.0	-447011.0	254.391	50.137
24646-85-3	Vanadium Nitride	NV					523000.0	490608.0	233.384	31.147
24774-39-8	Cesium Oxide	CsO					62760.0	42539.0	255.542	36.481
24959-67-9	Bromine, Ion	Br-					-219008.0	-238808.0	163.491	20.786
25031-39-4	Sulfur Fluoride, Ion	F6S-					-1341876.0	-1234976.0	302.86	99.984
25431-36-1	Sulfur Fluoride, Ion	F3S+					393589.0	407390.0	268.972	56.223
25583-20-4	Titanium Nitride	NTi	-265813.0	-243800.0	52.733	37.079				
25658-42-8	Zirconium Nitride	NZr	-290749.0	-269183.0	62.342	40.443	713372.0	683911.0	233.487	31.661
25681-79-2	Sodium	Na2					142070.0	104105.0	230.243	37.577
25681-80-5	Potassium	K2					123683.0	87801.0	249.69	37.962
25681-81-6	Rubidium	Rb2					113290.0	78254.0	271.067	38.116
26202-31-3	Difluoroborane, Ion	BF2-					-802073.0	-805394.0	240.74	40.352
26396-76-9	Rubidium, Ion	Rb-					27819.0	7970.0	164.33	20.786
26396-99-6	Cesium, Ion	Cs-					24798.0	5802.0	169.836	20.786
26575-18-8	Gallium, Ion	Ga-					238531.0	204547.0	175.801	27.618
27575-47-9	Mercury Fluoride	FHg					2929.0	-18225.0	248.373	34.651
27846-09-9	Iron Chloride	ClFe					251040.0	215646.0	257.573	38.223
29899-48-7	Sulfur Chloride, Ion	ClS+					1062037.0	1028042.9999999999	236.633	33.958
29904-79-8	Magnesium	Mg2					287625.0	235495.0	240.186	24.293
29977-41-1	Aluminum Iodide	AlI					67948.0	19802.0	247.83	36.127
30937-38-3	Sulfur Fluoride	F3S					-503030.0	-488103.0	286.174	62.978
31084-08-9	Sulfur Fluoride, Ion	F4S-					-887464.0	-844038.0	312.962	89.187
31140-82-6	Sulfur Fluoride, Ion	F5S-					-1268706.0	-1195827.0	315.571	101.535
31241-66-4	Silylidyne, Ion	HSi+					1147671.0	1110818.0	186.789	29.184
31296-42-1	Sulfur Fluoride, Ion	FS+					991901.0	958230.0	225.405	31.679
31296-43-2	Sulfur Fluoride, Ion	FS-					-186590.0	-205828.0	218.956	33.38
31483-18-8	Zirconium Bromide	BrZr					301248.0	256351.0	265.557	36.065
32195-53-2	Magnesium Chloride, Ion	ClMg+					652704.0	621302.0	228.556	35.446
32746-31-9	Lithium Nitride	LiN					334720.0	309868.0	208.245	32.838
32752-94-6	Aluminum	Al2					487018.0	434251.0	233.531	38.448
33383-01-6	Nickel, Ion	Ni-					311764.0	274874.0	174.577	21.017
33412-11-2	Fluoromethylidyne, Ion	CF+					1149416.0	1115024.0	201.507	29.641
34240-80-7	Cobalt Chloride	ClCo					192882.0	161853.0	245.679	35.139
34240-84-1	Lithium Hypofluorite	FLiO					-92048.0	-95915.0	246.022	43.031
36472-76-1	Aluminum Fluoride Oxide, Ion	AlF2O-					-1309592.0	-1288797.0	284.87	62.592
36529-65-4	Lithium Oxynitride	LiNO					179912.0	174584.0	245.332	44.424
36812-31-4	Calcium Hydroxide, Ion	HCaO+					369084.0	356746.0	229.905	44.799
36812-32-5	Strontium Hydroxide, Ion	HOSr+					320800.0	309345.0	241.049	46.18
37265-94-4	Aluminum Carbide	CAl					689523.0	633044.0	223.449	32.256
37279-11-1	Beryllium Nitride	BeN					426688.0	395823.0	208.768	30.089
37279-36-0	Lithium Iodide	I2Li2					-361916.0	-408522.0	330.628	76.044
37366-67-9	Phosphorus Fluoride, Ion	F2P+					472273.0	461996.0	257.358	44.635
37366-68-0	Phosphorus Fluoride, Ion	F2P-					-639177.0	-636946.0	257.364	44.817
38150-67-3	Boron Fluoride Oxide	BF2O					-836800.0	-823874.0	267.842	50.199
38344-66-0	Aluminum Fluoride Oxide	AlF2O					-1108760.0	-1096556.0	292.705	63.39
38490-24-3	Boron Bromide Oxide	BBrO					-251040.0	-270236.0	248.895	46.81
38994-31-9	Copper Chloride	Cl3Cu3					-258571.00000000003	-257204.0	429.526	124.57
39594-91-7	Sulfur Chloride	ClS2					78559.0	43963.0	291.686	50.954
41428-55-1	Iron Fluoride	FFe					47698.0	14418.0	240.337	33.264
42565-93-5	Magnesium Chloride	Cl4Mg2					-954370.0	-926771.0	418.931	123.611
50417-28-2	Sodium Fluoride, Ion	F2Na-					-669440.0	-662120.0	250.672	54.86
50417-32-8	Potassium Fluoride, Ion	F2K-					-694544.0	-686622.0	261.868	57.015
50561-24-5	Lithium Fluoride, Ion	F2Li-					-711280.0	-704353.0	229.618	47.67
50802-47-6	Carbon, Ion	C2-					443504.0	394566.0	196.597	29.241
51621-16-0	Tungsten Fluoride	FW					386183.0	351274.0	251.141	34.026
53590-27-5	CNC Radical	C2N					556472.0	519615.0	230.905	45.751
53663-92-6	Sulfur Chloride, Ion	Cl2S+					901485.0	885633.0	287.322	50.86
54195-65-2	Aluminum Chloride, Ion	AlCl2-					-481160.0	-485169.0	285.778	52.65
54250-40-7	Difluoromethylene, Ion	CF2+					941793.0	924137.0	246.769	38.754
54250-85-0	Dichloroborane, Ion	BCl2-					-146440.0	-151317.0	266.251	46.614
54250-97-4	Cesium Hydroxide, Ion	HCsO+					441379.0	430466.0	268.686	50.492
54250-98-5	Potassium Hydroxide, Ion	HKO+					497896.0	486350.0	250.331	49.479
54250-99-6	Lithium Hydroxide, Ion	HLiO+					778224.0	764609.0	221.685	47.019
54251-00-2	Sodium Hydroxide, Ion	HNaO+					677808.0	664619.0	242.626	49.257
54251-08-0	Lithium Hydroxide	H2Li2O2					-711280.0	-674249.0	269.794	71.223
54251-09-1	Sodium Hydroxide	H2Na2O2					-607517.0	-568358.0	307.396	79.284
54310-36-0	Dichloroborane, Ion	BCl2+					674042.0	659173.0	257.805	52.974
54604-26-1	Zirconium, Ion	Zr-					564979.0	527438.0	185.762	28.693
54604-27-2	Niobium, Ion	Nb-					640978.0	602621.0	186.095	28.948
54604-28-3	Molybdenum, Ion	Mo-					580805.0	541722.0	180.669	20.786
55186-08-8	Potassium Cyanide	C2K2N2					-8368.0	-20502.0	373.129	110.262
55186-09-9	Sodium Cyanide	C2N2Na2					-8786.0	-21041.0	347.102	107.686
55753-39-4	Thiophosphoryl Fluoride	FPS					-172268.0	-203034.0	277.717	44.439
56217-42-6	Tantalum, Ion	Ta-					744941.0	711515.0	174.56	24.558
56626-98-3	Hydrogen-D , Ion	HD-					235484.0	237747.0	151.206	29.771
56648-54-5	Aluminum Chloride, Ion	AlCl+					861904.0	828108.0	232.187	33.794
57328-69-5	Difluoroboroxin	HB3F2O3					-1987400.0	-1908582.0	328.994	103.528
57372-62-0	Fluoroboroxin	H2B3FO3					-1598288.0	-1526000.0	314.841	95.245
58585-94-7	Nitrosyl Iodide	INO					112131.0	104227.0	282.96	46.856
58749-16-9	Magnesium Bromide	Br4Mg2					-767764.0	-795072.0	461.347	129.013
58790-41-3	Magnesium Fluoride	F4Mg2					-1718369.0	-1678445.0	337.014	107.501
59217-69-5	Lithium Chloride	Cl3Li3					-1004721.0	-979042.0	335.747	102.005
59359-31-8	Lead, Ion	Pb-					153882.0	123728.0	186.9	20.786
59727-16-1	Phosphorus Bromide	BrP					162601.0	123238.0	249.204	35.394
60172-47-6	Aluminum Fluoride, Ion	AlF+					692034.0	658828.0	220.065	31.155
60172-61-4	Magnesium Hydroxide, Ion	HMgO+					584421.0	572132.0	220.824	43.216
60172-63-6	Aluminum Hydroxide, Ion	HAlO+					543920.0	527974.0	228.693	33.535
60175-01-1	Magnesium Chloride Fluoride	ClFMg					-569024.0	-573383.0	260.227	49.911
60195-07-5	Aluminum Oxide, Ion	Al2O2+					567414.0	552810.0	289.7	68.923
60195-12-2	Lithium Chloride Fluoride	ClFLi2					-753957.0	-753043.0	268.04	62.839
60195-15-5	Magnesium Nitride	MgN					288696.0	259966.0	224.835	32.733
60388-18-3	Molybdenum Fluoride	FMo					282838.0	248134.0	246.399	32.671
60397-00-4	Lithium Sodium Oxide	LiNaO					-104600.0	-126468.0	256.459	43.079
60428-72-0	Aluminum Hydroxide, Ion	HAlO-					-230120.0	-236871.0	239.81	36.521
60953-63-1	Aluminum Chloride Fluoride, Ion	AlClF+					276144.0	264370.0	259.722	52.45
61279-70-7	Aluminum Borate	AlBO2					-541410.0	-550447.0	269.567	52.833
61279-73-0	Beryllium Oxide	Be3O3					-1054368.0	-1035673.0	273.337	63.458
61279-74-1	Beryllium Oxide	Be4O4					-1589920.0	-1549360.0	302.575	89.389
61279-75-2	Beryllium Oxide	Be5O5					-2112920.0	-2042321.0	323.278	112.018
61279-76-3	Beryllium Oxide	Be6O6					-2661024.0	-2562965.0	343.191	131.624
64538-53-0	Lithium Oxide, Ion	LiO-					-66944.0	-80839.0	199.241	32.359
64538-55-2	Potassium Oxide, Ion	KO-					-138072.0	-149427.0	226.308	35.888
64847-13-8	Tungsten, Ion	W-					766174.0	725882.0	188.781	20.786
65653-05-6	Molybdenum Fluoride	F15Mo3					-4065593.0	-3797290.0	706.844	326.335
65653-18-1	Molybdenum Fluoride	F10Mo2					-2697843.0	-2536961.0	531.554	212.349
65887-15-2	Beryllium Fluoride Oxide	Be2F2O					-1204574.0	-1197022.0	298.915	76.151
66468-24-4	Iron Bromide	Br4Fe2					-253132.0	-299931.0	516.018	130.683
66511-78-2	Diazene-D , Cis	D2N2					207108.0	240643.0	224.092	39.024
66581-66-6	Dibromoborane	BBr2					62760.0	22026.0	294.662	48.056
66973-35-1	Sulfur Fluoride, Ion	F3S-					-776396.0	-753432.0	280.198	62.978
68193-66-8	Magnesium Fluoride, Ion	F2Mg+					591982.0	578963.0	258.145	52.449
68193-67-9	Barium Hydroxide, Ion	HBaO+					270897.0	259611.0	247.265	46.458
68387-55-3	Boron Hydride Sulfide, Ion	HBS+					1129471.0	1086806.0	225.35	39.455
69754-90-1	Sulfur Fluoride, Ion	F2S+					702389.0	687583.0	263.525	44.937
70478-90-9	Beryllium Oxide	Be2O2					-410032.0	-417064.0	247.611	49.339
72704-18-8	Boron Hydride Oxide, Ion	HBO+					1187545.0	1169120.0	214.565	34.744
74912-20-2	Triiodosilyl	I3Si					35314.0	-19925.0	378.305	77.191
74930-79-3	Bromochloroborane	BBrCl					-10460.0	-38950.0	289.033	46.846
74930-80-6	Bromofluoroborane	BBrF					-240580.0	-268140.0	275.77	43.546
74930-81-7	Chloroborane, Ion	BCl+					1234280.0	1197686.0	219.131	31.643
74930-82-8	Dihydroxyborane	H2BO2					-476976.0	-447736.0	243.589	52.015
74930-83-9	Sulfur Fluoride, Ion	F2S-					-398426.0	-401890.0	267.445	50.164
74947-50-5	Tungsten Chloride	ClW					553543.0	518452.0	261.895	34.843
74947-94-7	Lead Chloride, Ion	Cl2Pb+					816298.0	800890.0	318.566	55.006
74947-95-8	Beryllium Chloride, Ion	BeCl+					979056.0	945379.0	212.955	32.744
74966-77-1	Magnesium Bromide, Ion	Br2Mg+					731363.0	684304.0	321.737	59.303
74966-78-2	Tungsten Bromide	BrW					586178.0	537325.0	272.617	36.032
84796-14-5	Ammonia-D	D3N					-58576.0	-25984.0	203.931	38.225
87191-90-0	CCO Radical	C2O					286604.0	251121.0	233.066	43.064
91571-48-1	Aluminum Hydride Oxide	HAlO					33472.0	27787.0	215.256	34.569
92785-63-2	Iron Iodide	Fe2I4					8368.0	-68121.0	543.471	131.283
110682-15-0	Molybdenum Bromide	BrMo					457311.0	408172.0	269.523	36.214
110682-17-2	Hafnium, Ion	Hf-					612197.0	576270.0	185.04	20.786
