CAS	Chemical	formula	Hfl	Gfl	S0l	Cpl	Hfg	Gfg	S0g	Cpg
12431-56-0	Sodium Bromide	Br2Na2					-486348.0	-514323.99999999994	348.949	80.121
12440-00-5	Phosphorus Oxide	O6P4					-2214307.0	-2084877.0	345.641	143.937
12504-41-5	Silicon Sulfide	SSi					105960.0	54403.0	223.799	32.332
12505-77-0	Boron Oxide	BO					0.0	-28343.0	203.472	29.196
12523-60-3	Difluoroborane Oxide	B2F4O					-1898072.0	-1843720.0	337.523	81.853
12524-20-8	Barium Iodide	BaI					-42417.0	-89582.0	278.737	37.221
12539-57-0	Cyanogen, Ion	CN+					1802760.0	1763145.0	213.437	29.431
12588-30-6	Aluminum Oxide, Ion	AlO+					992993.0	956886.0	230.975	33.135
12588-51-1	Aluminum Oxide, Ion	Al2O+					652436.0	615909.0	260.66	52.897
12588-96-4	Boron Hydride Oxide, Ion	HBO-					-244471.0	-254111.0	227.058	35.199
12595-82-3	Carbon	C5					979056.0	915470.0	241.972	61.135
12595-85-6	Calcium	Ca2					341637.0	289757.0	257.183	36.577
12596-92-8	Lead	Pb2					332628.0	287380.0	281.334	36.921
12597-03-4	Sulfur	S3					141461.0	89777.0	269.517	47.764
12597-10-3	Sulfur	S5					109370.0	65137.0	308.638	89.501
12597-35-2	Silicon	Si2					589944.0	532653.0	229.793	34.452
12597-37-4	Silicon	Si3					635968.0	572927.0	267.898	55.055
12758-11-1	Aluminum Fluoride, Ion	AlF2-					-907928.0	-910314.0	260.046	46.511
12758-12-2	Aluminum Oxide, Ion	AlO-					-269424.0	-287606.0	212.807	31.303
12769-83-4	Sodium Oxide, Ion	NaO-					-121336.0	-134001.0	217.487	35.064
13135-31-4	Titanium Bromide	Br3Ti					-374886.0	-404700.0	359.064	79.334
13283-01-7	Tungsten Chloride	Cl6W	-569405.0	-445068.0	284.868	200.832	-493712.0	-409416.0	419.166	143.941
13283-31-3	Borane	H3B					106692.0	110859.0	187.876	36.221
13320-71-3	Molybdenum Chloride	Cl4Mo	-462837.0	-394490.0	245.525	146.44	-384928.0	-354272.0	371.941	98.109
13327-32-7	Beryllium Hydroxide	H2BeO2					-676553.0	-643369.0	233.968	63.419
13400-13-0	Cesium Fluoride	CsF	-543849.0	-515094.00000000006	90.099	74.057	-356477.0	-373373.0	243.213	35.838
13444-87-6	Nitrosyl Bromide	BrNO					82132.0	82417.0	273.525	45.473
13444-90-1	Nitryl Chloride	ClNO2					12134.0	53965.0	272.187	53.187
13446-56-5	Molybdenum Bromide	Br2Mo					167360.0	125575.0	320.96	69.291
13446-57-6	Molybdenum Bromide	Br3Mo					-8368.0	-43572.0	374.99	80.27
13453-52-6	Fluoromethylene	CHF					125520.0	110352.0	223.348	34.604
13453-69-5	Lithium Borate	BLiO2	-1000259.0	-948226.0	65.547	60.371	-646846.0	-657181.0	274.727	57.246
13460-50-9	Boric Acid	HBO2					-560656.0	-549748.0	239.734	42.232
13460-51-0	Boric Acid	H3B3O6					-2271912.0	-2128384.0	347.567	137.265
13463-30-4	Lead Chloride	Cl4Pb					-552403.0	-491873.0	381.659	100.536
13463-39-3	Nickel Carbonyl	C4NiO4	-631784.0	-588980.0	319.56	203.342	-601576.0	-587378.0	415.507	149.289
13463-67-7	Titanium Oxide	O2Ti	-894055.0	-845289.0	72.345	55.103	-305432.0	-312660.0	260.148	44.149
13465-71-9	Trifluorosilane	HF3Si					-1200808.0	-1167691.0	277.268	63.485
