CAS	Compound	Hfg
115-10-6	Dimethy Ether	-184060
115-11-7	2-methylpropene (Isobutene)	-16900
116-53-0	2-Methylbutyric Acid	-497990
119-64-2	1,2,3,4-Tetrahydronaphthalene	26610
120-12-7	Anthracene	230100
120-72-9	Indole	156600
123-01-3	n-Dodecylbenzene	-179000
123-02-4	n-Tridecylbenzene	-199700
123-38-6	n-Propionaldehyde	-186000
123-72-8	n-Butyraldehyde	-206070
123-86-4	n-Butyl Acetate	-485310
124-11-8	1-Nonene	-103510
124-18-5	n-Decane	-249530
124-38-9	Carbon Dioxide	-393530
126-33-0	Sulfolane	-390020
127-91-3	Beta-Pinene	38700
129-00-0	Pyrene	225000
135-01-3	o-Diethylbenzene	-15730
135-98-8	sec-Butylbenzene	-16900
137-32-6	2-Methyl-1-Butanol	-302090
141-43-5	Monoethanolamine	-210180
141-78-6	Ethyl Acetate	-442950
141-93-5	m-Diethylbenzene	-21000
142-29-0	Cyclopentene	32930
142-62-1	n-Hexanoic Acid	-513610
142-82-5	n-Heptane	-187650
206-44-0	Fluoranthene	288900
208-96-8	Acenaphthalene (Acenaphthylene)	259590
218-01-9	Chrysene (1,2-benzophenanthrene)	262900
260-94-6	Acridine	291040
287-23-0	Cyclobutane	27240
287-92-3	Cyclopentane	-77240
291-64-5	Cycloheptane	-119040
292-64-8	Cyclooctane	-125690
293-55-0	Cyclononane	-133890
300-57-2	2-Propenyl benzene	112970
352-93-2	3-Thiapentane	-83470
353-36-6	Ethyl Fluoride	-263180
420-46-2	1,1,1-Trifluoroethane	-745580
463-49-0	Propadiene	191530
463-82-1	Neopentane (2,2-dimethylpropane)	-168070
464-06-2	2,2,3-Trimethylbutane (Triptane)	-204430
488-23-3	1,2,3,4-Tetramethylbenzene	-33050
493-01-6	Cis-Decahydronaphthalene (cis-decalin)	-169240
496-11-7	Indan (2,3-dihydroindene)	149960
501-65-5	Diphenylacetylene	430110
503-17-3	Dimethylacetylene	146310
503-74-2	3-Methylbutyric Acid	-514690
504-60-9	trans-1,3-Pentadiene	75840
513-35-9	2-Methyl-2-butene	-42550
513-81-5	2,3-Dimethyl-1,3-Butadiene	42340
526-73-8	1,2,3-Trimethylbenzene (hemimellitene)	-9500
527-53-7	1,2,3,5-Tetramethylbenzene	-40540
527-84-4	o-Cymene	-22670
535-77-3	m-Cymene	-28700
536-74-3	Phenylacetylene	84770
538-68-1	n-Pentylbenzene	-33900
538-93-2	Isobutylbenzene	-20340
540-67-0	Methyl Ethyl Ether	-216460
540-84-1	2,2,4-Trimethylpentane	-224010
542-92-7	Cyclopentadiene	130800
544-76-3	n-Hexadecane	-374170
558-37-2	3,3-Dimethyl-1-Butene	-59620
560-21-4	2,3,3-Trimethylpentane	-218450
560-23-6	2,3,3-Trimethyl-1-pentene	-133880
562-49-2	3,3-Dimethylpentane	-199790
563-16-6	3,3-Dimethylhexane	-219990
563-45-1	3-Methyl-1-butene	-28950
563-46-2	2-Methyl-1-butene	-36320
563-78-0	2,3-Dimethyl-1-Butene	-61840
563-79-1	2,3-Dimethyl-2-Butene	-66570
564-02-3	2,2,3-Trimethylpentane	-219950
565-59-3	2,3-Dimethylpentane	-194100
565-75-3	2,3,4-Trimethylpentane	-217320
571-58-4	1,4-Dimethylnaphthalene	61210
573-98-8	1,2-Dimethylnaphthalene	73430
583-48-2	3,4-Dimethylhexane	-212670
583-57-3	trans-1,2-Dimethylcyclohexane	-180000
584-94-1	2,3-Dimethylhexane	-213800
589-34-4	3-Methylhexane	-191330
589-43-5	2,4-Dimethylhexane	-219240
589-53-7	4-Methylheptane	-211960
589-81-1	3-Methylheptane	-212510
590-18-1	cis-2-Butene	-6990
590-19-2	1,2-Butadiene	163290
590-35-2	2,2-Dimethylpentane	-205810
590-66-9	1,1-Dimethylcyclohexane	-181000
590-73-8	2,2-Dimethylhexane	-224600
591-49-1	1-Methylcyclohexene	-36320
591-78-6	Methyl-n-Butyl Ketone	-279830
591-93-5	1,4-Pentadiene	106380
591-95-7	1,2-Pentadiene	140690
591-96-8	2,3-Pentadiene	133070
592-13-2	2,5-Dimethylhexane (diisobutyl)	-222510
592-27-8	2-Methylheptane	-215350
592-41-6	1-Hexene	-41670
592-42-7	1,5-Hexadiene	84440
592-43-8	trans-2-Hexene	-52550
592-44-9	1,2-Hexadiene	-65820
592-49-4	2,3-Hexadiene	213820
592-76-7	1-Heptene	-62300
592-78-9	trans-3-Heptene	-73010
593-45-3	n-Octadecane	-414580
593-49-7	n-Heptacosane	-602100
593-53-3	Methyl Fluoride	-237640
594-11-6	Methylcyclopropane	73310
594-56-9	2,3,3-Trimethyl-1-butene	-95690
594-82-1	2,2,3,3-TetraMethylButane	-225730
598-23-2	3-Methyl-1-Butyne	136400
598-25-4	3-Methyl-1,2-Butadiene	129080
598-61-8	Methylcyclobutane	25270
598-75-4	3-Methyl-2-Butanol	-314220
609-26-7	2-Methyl-3-Ethylpentane	-212800
611-14-3	o-Ethyltoluene	1300
612-00-0	1,1-Diphenylethane	116000
613-33-2	1-Methyl-4(4-Methylphenyl)-Benzene	137860
617-78-7	3-Ethylpentane	-189330
619-99-8	3-Ethylhexane	-210710
620-14-4	m-Ethyltoluene	-1800
622-96-8	p-Ethyltoluene	-3200
623-42-7	Methyl n-Butyrate	-450690
624-29-3	cis-1,4-Dimethylcyclohexane	-176650
624-64-6	trans-2-Butene	-11170
624-89-5	2-Thiabutane	-74380
624-92-0	2,3-Dithiabutane	-23600
625-27-4	2-Methyl-2-pentene	-62590
625-65-0	2,4-Dimethyl-2-pentene	-95690
627-19-0	1-Pentyne	144350
627-20-3	cis-2-Pentene	-28070
627-21-4	2-Pentyne	128870
628-63-7	n-Pentyl Acetate	-505520
628-71-7	1-Heptyne	103010
629-05-0	1-Octyne	82420
629-50-5	n-Tridecane	-311430
629-59-4	n-Tetradecane	-332050
629-62-9	n-Pentadecane	-352690
629-73-2	1-Hexadecene	-247820
629-78-7	n-Heptadecane	-393940
629-92-5	n-Nonadecane	-435210
629-94-7	n-Heneicosane	-435690
629-97-0	n-Docosane	-498580
629-99-2	n-Pentacosane	-560710
630-01-3	n-Hexacosane	-581420
630-02-4	n-Octacosane	-622840
630-03-5	n-Nonacosane	-643540
637-50-3	trans-1-Propenyl benzene	117150
638-67-5	n-Tricosane	-519280
638-68-6	n-Triacontane	-664260
643-58-3	1-Methyl-2-Phenylbenzene	73680
643-93-6	1-Methyl-3-Phenylbenzene	137860
644-08-6	1-Methyl-4-Phenylbenzene	137860
645-49-8	cis-1,2-Diphenylethene	245190
646-04-8	trans-2-Pentene	-31760
646-31-1	n-Tetracosane	-539990
674-76-0	trans-4-Methyl-2-pentene	-59660
689-97-4	Vinylacetylene	304630
690-08-4	trans-4,4-Dimethyl-2-pentene	-94730
690-92-6	cis-2,2-Dimethyl-3-hexene	-109700
691-37-2	4-Methyl-1-pentene	-48780
691-38-3	cis-4-Methyl-2-pentene	-55480
692-24-0	trans-2-Methyl-3-hexene	-81550
693-02-7	1-Hexyne	123640
693-89-0	1-Methylcyclopentene	85820
694-35-9	3-Ethylcyclopentene	-43770
