CAS	name	Hfg	S0g
765-09-3	1-bromotridecane	-285320	713.43
765-10-6	1-tetradecyne	-41700	683.11
765-13-9	1-pentadecyne	-62400	722.26
765-27-5	1-eicosyne	-165700	918.7
765-47-9	1,2-dimethylcyclopentene	-39200	351.34
766-07-4	cyclohexyl peroxide	-220000	380.71
766-90-5	cis-1-propenylbenzene	121300	385.09
767-59-9	1-methylindene	122000	355.27
767-99-7	cis-(1-methyl-1-propenyl)benzene	94230	428.37
768-00-3	trans-(1-methyl-1-propenyl)benzene	94230	428.37
768-49-0	(2-methyl-1-propenyl)benzene	94230	428.37
778-22-3	2,2-diphenylpropane	101900	456.78
811-94-9	1,2,2-trifluoropropane	-702330	329.07
811-95-0	1,1,2-trichloro-1-fluoroethane	-336690	233.75
811-97-2	1,1,1,2-tetrafluoroethane	-907100	317.32
812-03-3	1,1,1,2-tetrachloropropane	-182240	358.15
812-04-4	1,1-dichloro-1,2,2-trifluoroethane	-718450	347.44
813-75-2	1,2,2,3-tetrafluoropropane	-898440	360.77
814-40-4	ethyl methyl sulfate	-721200	
814-78-8	methyl isopropenyl ketone	-180000	360.52
816-79-5	3-ethyl-2-pentene	-83200	408.47
817-46-9	2-propyl-1-hexanol	-386600	547.94
817-60-7	2-ethyl-1-heptanol	-386600	547.94
817-91-4	4-methyl-1-heptanol	-365960	508.99
818-49-5	4-methyl-1-hexanol	-345320	470.03
818-61-1	2-hydroxyethyl acrylate	-493000	449.96
818-81-5	2-methyl-1-octanol	-386600	547.94
818-92-8	3-fluoro-1-propene	-175930	299.95
819-97-6	sec-butyl butanoate	-543000	519.39
820-05-3	4,6-dimethyl-1-heptanol	-391880	538.41
820-55-3	1,1-dichloropentane	-192000	424.22
821-11-4	trans-2-butene-1,4-diol	-300000	387.56
821-25-0	1,1-dichloroheptane	-233300	503.53
821-55-6	2-nonanone	-340800	536.46
821-88-5	1,1-dichlorononane	-274500	583.18
821-93-2	1,1-dichlorotridecane	-357000	741.8
821-95-4	1-undecene	-145300	583.16
822-01-5	1,1-dichloroundecane	-315800	662.15
822-13-9	1-chlorotridecane	-334890	670.65
822-15-1	1,1-dichloropentadecane	-398300	821.12
822-20-8	heptadecyl acetate	-754200	954.44
822-23-1	octadecyl acetate	-774900	993.92
822-24-2	eicosyl acetate	-816200	1072.9
822-27-5	dioctyl disulfide	-325000	884.97
822-35-5	cyclobutene	156700	262.06
822-50-4	trans-1,2-dimethylcyclopentane	-136600	366.98
826-77-7	4,6-dimethylquinoline	167080	369.52
827-52-1	cyclohexylbenzene	-20920	429.36
829-26-5	2,3,6-trimethylnaphthalene	57000	442.68
865-58-7	3-bromo-3-methyl-1-butene	-3520	358.34
870-63-3	1-bromo-3-methyl-2-butene	-12770	391.07
871-28-3	1-pentene-4-yne	269000	306.7
871-83-0	2-methylnonane	-256500	539.32
872-05-9	1-decene	-124690	544.08
872-10-6	dipentyl sulfide	-208530	605.92
872-50-4	N-methyl-2-pyrrolidone	-195390	338.97
872-55-9	2-ethylthiophene	64900	361.14
872-93-5	3-methyl sulfolane	-420000	372.67
873-66-5	trans-1-propenylbenzene	117200	380.06
874-41-9	4-ethyl-m-xylene	-30800	437.53
877-43-0	2,6-dimethylquinoline	167080	369.52
877-44-1	1,2,4-triethylbenzene	-71090	519.46
879-12-9	1,2,3-trimethylnaphthalene	57000	442.68
917-92-0	3,3-dimethyl-1-butyne	103000	335.67
918-02-5	dimethyl-tert-butylamine	-105500	376.62
918-82-1	3,3-dimethyl-1-pentyne	83300	384.21
918-84-3	3-chloro-3-methylpentane	-191660	384.27
921-04-0	dimethyl-sec-butylamine	-102400	404.73
921-47-1	2,3,4-trimethylhexane	-235400	477.7
922-17-8	3,4-hexanediol	-493000	436.19
922-28-1	3,4-dimethylheptane	-233800	495.14
922-59-8	3-methyl-1-pentyne	116900	364.18
922-62-3	3-methyl-cis-2-pentene	-63000	379.14
925-60-0	propyl acrylate	-364000	446.91
926-41-0	neopentyl acetate	-522400	452.73
926-54-5	2-methyl-1,trans-3-pentadiene	65690	374.37
926-56-7	4-methyl-1,3-pentadiene	65690	374.37
926-63-6	dimethyl-propylamine	-70800	394.35
926-82-9	3,5-dimethylheptane	-238900	487.76
927-62-8	dimethylbutylamine	-91600	432.77
927-73-1	4-chloro-1-butene	-16200	340.63
928-40-5	1,5-hexanediol	-484700	455.84
928-49-4	3-hexyne	106000	375.92
928-50-7	5-chloro-1-pentene	-36840	379.58
929-06-6	2-aminoethoxyethanol	-365000	445.64
929-98-6	dinonyl sulfide	-373420	918.75
930-18-7	1,cis-2-dimethylcyclopropane	700	309.8
930-27-8	3-methylfuran	-67200	310.34
930-89-2	1-methyl-cis-2-ethylcyclopentane	-168310	374.84
930-90-5	1-methyl-trans-2-ethylcyclopentane	-168310	374.84
932-39-8	1,cis-2-diethylcyclopentane	-188950	413.79
932-40-1	1,trans-2-diethylcyclopentane	-188950	413.79
932-43-4	1-methyl-cis-2-propylcyclopentane	-188950	413.79
932-44-5	1-methyl-trans-2-propylcyclopentane	-188950	413.79
933-98-2	3-ethyl-o-xylene	-25650	421.93
934-74-7	5-ethyl-m-xylene	-35400	426.8
934-80-5	4-ethyl-o-xylene	-32090	437.23
936-89-0	2,4-diethylphenol	-201980	459.41
939-27-5	2-ethylnaphthalene	95900	421.87
992-94-9	methyl silane	-29100	256.84
993-00-0	methyl chlorosilane	-215000	298.78
993-07-7	trimethyl silane	-156610	331.56
994-05-8	methyl tert-pentyl ether	-312000	407.8
998-35-6	5-propylnonane	-293000	612.93
998-65-2	5-ethyl-1-heptanol	-386600	547.94
998-76-5	1,2-diiodopentane	1930	452.47
999-21-3	diallyl maleate	-517000	641.35
999-78-0	4,4-dimethyl-2-pentyne	63600	379.52
999-97-3	hexamethyldisilazane	-476600	
1002-17-1	2,9-dimethyldecane	-304700	598.85
1002-43-3	3-methylundecane	-295500	622.99
1002-69-3	1-chlorodecane	-274890	547.35
1002-84-2	pentadecanoic acid	-702000	789.1
1003-17-4	2,2-dimethyltetrahydrofuran	-223450	357.52
1003-30-1	2-ethyltetrahydrofuran	-238690	287.99
1003-38-9	2,5-dimethyltetrahydrofuran	-259030	245.63
1005-64-7	trans-(1-butenyl)benzene	104020	432.52
1006-59-3	2,6-diethylphenol	-201980	459.41
1007-26-7	1-phenyl-2,2-dimethylpropane	-46400	440.8
1067-08-9	3-methyl-3-ethylpentane	-214900	424.45
1067-20-5	3,3-diethylpentane	-232800	437.11
1068-19-5	4,4-dimethylheptane	-241200	467.3
1068-87-7	2,4-dimethyl-3-ethylpentane	-227900	471.66
1069-53-0	2,3,5-trimethylhexane	-242600	475.01
1070-01-5	tridecylamine	-595000	1340.7
1070-32-2	3-methyl-1-heptanol	-365960	508.99
1070-78-6	1,1,1,3-tetrachloropropane	-176960	367.67
1070-87-7	2,2,4,4-tetramethylpentane	-242300	431.07
1071-26-7	2,2-dimethylheptane	-246100	472.33
1071-31-4	2,2,7,7-tetramethyloctane	-325600	547.19
1071-81-4	2,2,5,5-tetramethylhexane	-285270	471.57
1071-84-7	1,1,1-trichlorononane	-286700	597.85
1072-05-5	2,6-dimethylheptane	-242800	482.06
1072-16-8	2,7-dimethyloctane	-264010	517.18
1072-33-9	tridecyl acetate	-671400	797.15
1072-43-1	2-methylthiacyclopropane	46110	
1074-17-5	1-methyl-2-propylbenzene	-19780	432.9
1074-43-7	1-methyl-3-propylbenzene	-24140	437.73
1074-55-1	1-methyl-4-propylbenzene	-23140	431.02
1074-92-6	1-methyl-2-tert-butyl benzene	-48700	434.76
1075-38-3	1-methyl-3-tert-butylbenzene	-54600	436.1
1077-16-3	hexylbenzene	-54600	518.86
1078-71-3	heptylbenzene	-75300	558.01
1081-75-0	1,3-diphenylpropane	123700	539.42
1081-77-2	nonylbenzene	-116800	635.98
1111-74-6	dimethyl silane	-94700	301.06
1115-08-8	3-methyl-1,4-pentadiene	78410	370.99
1116-76-3	trioctylamine	-471160	1106.9
1117-86-8	1,2-octanediol	-518190	559.88
1118-00-9	methyl 2,2-dimethylpropyl ether	-296100	392.71
1119-16-0	4-methylpentanal	-256000	405.65
1119-51-3	5-bromo-1-pentene	5230	397.21
1119-65-9	2-heptyne	84800	411.72
1119-85-3	1,4-dicyano-2-butene	261000	393.37
1119-86-4	1,2-decanediol	-559470	637.78
1119-87-5	1,2-dodecanediol	-600750	715.69
1120-06-5	2-decanol	-407240	586.89
1120-21-4	undecane	-270430	585.72
1120-24-7	dimethyldecylamine	-223480	639.51
1120-36-1	1-tetradecene	-207300	700.42
1120-48-5	dioctylamine	-320100	819.91
1120-49-6	didecylamine	-402660	975.72
1120-62-3	3-methylcyclopentene	5000	330.64
1123-73-5	2-methyl-3-ethylphenol	-181340	420.46
1123-94-0	3-methyl-4-ethylphenol	-181340	420.46
1124-20-5	1-methyl-3-(1-methylethenyl)benzene	81340	379.23
1127-76-0	1-ethylnaphthalene	96650	419.19
1134-62-9	2-butylnaphthalene	52300	501.18
1184-60-7	2-fluoro-1-propene	-185720	295.79
1185-33-7	2,2-dimethyl-1-butanol	-330000	395.53
1186-53-4	2,2,3,4-tetramethylpentane	-235000	451.53
1189-99-7	2,5,5-trimethylheptane	-269370	509.17
1190-22-3	1,3-dichlorobutane	-162650	369.13
1190-76-7	cis-crotonitrile	134000	309.29
1190-83-6	2,2,6-trimethylheptane	-274640	500.05
1191-25-9	hydroxycaproic acid	-683000	468.86
1191-96-4	ethylcyclopropane	3200	330.6
1192-18-3	cis-1,2-dimethylcyclopentane	-129500	366.31
1195-32-0	1-methyl-4-(1-methylethenyl)benzene	81340	379.23
1196-58-3	3-phenylpentane	-37400	467.96
1198-37-4	2,4-dimethylquinoline	167080	369.52
1303-86-2	boron oxide	-835960	283.9
1304-28-5	barium oxide	-123850	235.99
1304-56-9	beryllium oxide	136400	197.69
1305-62-0	calcium hydroxide	-610760	285.61
1305-78-8	calcium oxide	43930	219.72
1309-48-4	magnesium oxide	58160	213.27
1310-58-3	potassium hydroxide	-232630	236.39
1310-65-2	lithium hydroxide	-234300	210.7
1310-73-2	sodium hydroxide	-197760	228.29
1310-82-3	rubidium hydroxide	-238000	248.39
1312-41-0	indium antimonide	344300	
1313-27-5	molybdenum oxide	-346440	284
1314-08-5	palladium (II) oxide	348900	217.32
1314-11-0	strontium oxide	-13390	226.37
1314-23-4	zirconium (IV) oxide	-286190	273.88
1314-35-8	tungsten (VI) oxide	-292880	286.39
1314-68-7	rhenium heptoxide	-1100000	436.31
1314-85-8	phosphorus sesquisulfide	-151040	319.31
1314-87-0	lead sulfide	131800	251.42
1314-96-1	strontium sulfide	108200	239.41
1317-36-8	lead oxide	70290	240.05
1317-37-9	iron (II) sulfide	370770	252.32
1317-38-0	copper (II) oxide	306270	234.61
1318-23-6	aluminum oxyhydroxide (α)	-460240	254.42
1320-27-0	1-pentylnaphthalene	32430	538.12
1323-65-5	dinonylphenol	-487000	1122.5
1333-74-0	hydrogen	0	130.68
1333-82-0	chromium (VI) oxide	-292880	266.37
1344-57-6	uranium (IV) oxide	-465700	274.81
1345-25-1	iron (II) oxide	251040	241.9
1446-61-3	dehydroabietylamine	-123000	525.6
1454-84-8	1-nonadecanol	-584500	950.34
1454-85-9	1-heptadecanol	-543100	871.7
1455-21-6	nonyl mercaptan	-190800	572.47
1458-98-6	3-bromo-2-methyl-1-propene	16080	354.1
1459-09-2	1-phenylhexadecane	-261120	910.22
1459-10-5	tetradecylbenzene	-220400	831.41
1462-11-9	5-methyl-1,5-hexanediol	-501020	491.58
1463-17-8	2,8-dimethylquinoline	167080	369.52
1476-11-5	1,4-dichloro-cis-2-butene	78200	536.45
1480-63-3	1-fluorononadecane	-613800	939.83
1484-87-3	3,3,5-trimethyl-1-hexanol	-395350	509.07
1489-47-0	4-methyl-1-nonanol	-407240	586.89
1495-50-7	cyanogen fluoride	35980	225.4
1501-60-6	2-methyl-1,cis-3-pentadiene	65690	374.37
1511-82-6	1,1,1-trifluorooctadecane	-1011900	913.36
1518-75-8	3-propylthiophene	42360	389.86
1530-03-6	1,1-diphenylpropane	117000	692.63
1530-04-7	1,1-diphenylhexane	45000	
1530-05-8	1,1-diphenylheptane	21000	
1530-06-9	1,1-diphenyloctane	-3000	
1530-07-0	1,1-diphenyldecane	-51000	
1530-08-1	1,1-diphenylundecane	-75000	
1536-21-6	1-fluorotridecane	-490100	701.56
1545-17-1	1-fluoroheptadecane	-572600	860.52
1551-21-9	methyl isopropyl sulfide	-89300	363.69
1551-27-5	2-propylthiophene	42360	389.86
1551-32-2	2-ethylthiacyclopentane	-84600	
1555-17-5	1-fluoropentadecane	-531300	781.21
1560-09-4	cis-(1-butenyl)benzene	104020	432.52
1560-86-7	2-methylnonadecane	-461410	925.52
1560-88-9	2-methyloctadecane	-440770	886.57
1560-89-0	2-methylheptadecane	-420130	847.62
1560-92-5	2-methylhexadecane	-399490	808.67
1560-93-6	2-methylpentadecane	-378850	769.71
1560-95-8	2-methyltetradecane	-358210	730.76
1560-96-9	2-methyltridecane	-337570	691.81
1560-97-0	2-methyldodecane	-316930	652.86
1565-81-7	3-decanol	-407240	586.89
1573-28-0	3,6-dimethyl-3-heptanol	-395350	509.07
1574-41-0	cis-1,3-pentadiene	82800	323.01
1590-87-0	disilane	80300	272.02
1595-04-6	1-methyl-3-butylbenzene	-46100	477.02
1595-05-7	1-methyl-4-butylbenzene	-45900	470.31
1595-06-8	1-methyl-2-sec-butylbenzene	-44000	462.26
1595-11-5	1-methyl-2-butylbenzene	-41700	472.32
1595-16-0	1-methyl-4-sec-butylbenzene	-49600	460.92
1599-67-3	1-docosene	-371980	1008.4
1599-68-4	1-heneicosene	-351340	969.4
1603-53-8	1,1-diphenyldodecane	-99000	
1608-26-0	phosphine, tris(dimethylamino)	-288700	1475.05
1613-45-2	5-methyl-3-thiahexane	-134600	428.11
1613-46-3	propyl butyl sulfide	-145940	494.46
1613-51-0	thiacyclohexane	-63300	323.08
1615-75-4	1-chloro-1-fluoroethane	-313800	300.63
1617-31-8	3-methyl-3-butenoic acid	-385800	379.58
1617-32-9	trans-3-pentenoic acid	-369100	432.47
628-00-2	2-heptanethiol	-158500	484.44
1630-77-9	cis-1,2-difluoroethene	-322200	268.81
1630-78-0	trans-1,2-difluoroethene	-322200	268.14
1630-94-0	1,1-dimethylcyclopropane	-8200	307.79
1632-16-2	2-ethyl-1-hexene	-97400	458.52
1632-70-8	5-methylundecane	-295300	621.65
1632-71-9	5-methyl-4-ethylnonane	-292100	607.23
1634-04-4	methyl tert-butyl ether	-283200	358.92
1634-09-9	1-butylnaphthalene	53050	498.5
1636-41-5	4,5-diethyloctane	-289400	603.21
1636-43-7	5,6-dimethyldecane	-294900	604.88
1636-44-8	4-ethyldecane	-293200	620.31
1638-22-8	4-butylphenol	-190510	465.58
1638-26-2	1,1-dimethylcyclopentane	-138200	359.6
1639-09-4	heptyl mercaptan	-149500	493.83
1640-89-7	ethylcyclopentane	-126900	378.05
1647-08-1	4,4-dimethyl-1-hexene	-97200	405.93
1647-23-0	1-bromo-3,3-dimethylbutane	-151400	421.71
1649-08-7	1,2-dichloro-1,1-difluoroethane	-528400	349.69
1649-73-6	1-fluorooctadecane	-593200	900.34
1653-17-4	1,1,3,3-tetrachloropropane	-178770	387.5
1653-30-1	2-undecanol	-427880	664.35
1653-31-2	2-tridecanol	-469160	741.72
1653-34-5	2-pentadecanol	-510440	819.08
1653-40-3	6-methyl-1-heptanol	-365960	508.99
1656-48-0	bis(cyanoethyl) ether	20400	420.02
1674-33-5	1,2-dichloropentane	-183290	408.08
1678-80-4	1,cis-2,cis-4-trimethylcyclohexane	-215450	391.36
1678-81-5	1,trans-2,cis-3-trimethylcyclohexane	-215450	391.36
1678-91-7	ethylcyclohexane	-171600	382.99
1678-92-8	propylcyclohexane	-193200	419.97
1678-93-9	butylcyclohexane	-213170	459.59
1679-06-7	2-hexanethiol	-137900	445.28
1679-07-8	cyclopentanethiol	-47800	362.65
1679-08-9	2,2-dimethyl-1-propanethiol	-128700	385.67
1679-09-0	2-methyl-2-butanethiol	-126800	387.01
1680-53-1	1-methyl-4-isopropylnaphthalene	51300	509.67
1680-58-6	1-sec-butylnaphthalene	51300	509.67
1687-61-2	3-methyl-6-ethylphenol	-181340	420.46
1687-64-5	2-methyl-6-ethylphenol	-181340	420.46
1687-65-6	2-methyl-5-ethylphenol	-181340	420.46
1708-29-8	2,5-dihydrofuran	-108800	284.81
1712-64-7	isopropyl nitrate	-191000	373.92
1717-00-6	1,1-dichloro-1-fluoroethane	-339700	319
1721-89-7	2,3-dimethylquinoline	167080	369.52
1726-12-1	1,1-diphenylpentane	69000	
1726-13-2	1,1-diphenylnonane	-27000	
1731-81-3	undecyl acetate	-630000	718.51
1740-97-2	2-methyl-4-isopropylphenol	-207260	449.88
1741-83-9	methyl pentyl sulfide	-122700	451.32
1758-85-6	1-methyl-2,4-diethylbenzene	-48700	476.68
1758-88-9	2-ethyl-p-xylene	-32180	437.26
1759-58-6	trans-1,3-dimethylcyclopentane	-133500	367.65
1759-81-5	4-methylcyclopentene	11100	328.96
1772-10-7	1-methyl-3-sec-butylbenzene	-49800	467.29
1790-22-3	1,2,4-trichlorobutane	-178390	402.55
1795-01-3	3-ethylthiophene	62900	361.14
1795-04-6	2,3,4-trimethylthiophene	-1220	280.05
1795-05-7	2,3,5-trimethylthiophene	19420	377.52
1795-09-1	2-methylthiacyclopentane	-63890	
1795-15-9	octylcyclohexane	-296400	617.71
1795-16-0	decylcyclohexane	-337800	696.56
1795-17-1	dodecylcyclohexane	-379100	775.53
1795-18-2	tetradecylcyclohexane	-420400	854.51
1795-20-6	octylcyclopentane	-251000	609.95
1795-21-7	decylcyclopentane	-292200	688.26
1795-22-8	tetradecylcyclopentane	-375000	844.2
1795-26-2	1,cis-3,trans-5-trimethylcyclohexane	-206500	400.68
1795-27-3	1,cis-3,cis-5-trimethylcyclohexane	-215200	390.95
1809-05-8	3-iodopentane	-74940	396.86
1814-88-6	1,1,1,2,2-pentafluoropropane	-1103300	353.59
1825-14-5	dl-2,4-pentanediol	-479000	374.97
1838-73-9	3-methyl-4-heptanol	-371240	499.46
1839-88-9	1,cis-2,cis-3-trimethylcyclohexane	-215450	391.36
1842-05-3	1,1-dichloro-1,2-difluoroethane	-517060	325.27
1871-58-5	1,2,3-trichloro-2-methylpropane	-181860	373.2
1873-54-7	3-ethylquinoline	178550	375.69
1878-18-8	2-methyl-1-butanethiol	-114700	410.49
1889-67-4	2,3-dimethyl-2,3-diphenylbutane	59200	575.51
1975-78-6	decanenitrile	-84850	551.63
2004-70-8	trans-1,3-pentadiene	75800	315.97
2016-42-4	tetradecylamine	-298200	757.8
2016-57-1	decylamine	-215800	600.52
2027-17-0	2-isopropylnaphthalene	71470	464.38
2027-19-2	2-propylnaphthalene	73470	461.02
2039-89-6	2-ethenyl-1,4-dimethylbenzene	89290	422.16
2039-90-9	2-ethenyl-1,3-dimethylbenzene	89290	422.16
2040-95-1	butylcyclopentane	-168300	454.01
2040-96-2	propylcyclopentane	-148070	418.48
2044-21-5	dinonylamine	-361380	897.81
2044-22-6	trinonylamine	-533080	1223.8
2049-94-7	1-phenyl-3-methylbutane	-41000	474
2049-95-8	2-phenyl-2-methylbutane	-42590	439.19
2050-00-2	1,1-dimethylpropyl butanoate	-581000	526.34
2050-24-0	1-methyl-3,5-diethylbenzene	-51200	476.68
2050-77-3	1-iododecane	-172860	601.14
2050-92-2	dipentylamine	-196260	586.19
2051-05-0	dipentyl sulfite	-676300	
2051-30-1	2,6-dimethyloctane	-261120	528.72
2051-31-2	4-decanol	-407240	586.89
2051-32-3	3-ethyl-3-octanol	-410710	557.54
2051-33-4	5-methyl-2-isopropyl-1-hexanol	-417800	567.84
2077-29-4	cis-1-methyl-4-(1-propenyl)benzene	92550	426.35
2077-30-7	trans-1-methyl-4-(1-propenyl)benzene	92550	426.35
2077-31-8	cis-1-methyl-3-(1-propenyl)benzene	92550	426.35
2077-33-0	cis-1-methyl-2-(1-propenyl)benzene	92550	426.35
2079-95-0	1-tetradecanethiol	-294400	768.91
2084-18-6	3-methyl-2-butanethiol	-121000	394.72
2084-19-7	2-pentanethiol	-117200	406.13
2094-75-9	2,2-dimethylbutanal	-262100	367.48
2109-98-0	2,3-dimethylbutanal	-268200	372.92
2121-69-9	meso-2,4-dimethyl-1,5-pentanediol	-502830	511.4
2131-18-2	pentadecylbenzene	-241200	870.23
2131-38-6	1,3,7-trimethylnaphthalene	57000	442.68
2131-39-7	1,3,5-trimethylnaphthalene	57000	442.68
2131-41-1	1,4,5-trimethylnaphthalene	57000	442.68
2131-42-2	1,4,6-trimethylnaphthalene	57000	442.68
2131-43-3	1,2,5,6-tetramethylnaphthalene	51300	509.67
2141-58-4	cis-dicyano-1-butene	271000	379.95
2141-59-5	trans-dicyano-1-butene	267000	373.25
2146-38-5	1-ethylcyclopentene	-19700	355.7
2157-31-5	2,2-dimethyl-1,3-pentanediol	-507800	477.02
2162-91-6	diethylpentylamine	-161560	522.66
2177-47-1	2-methylindene	115000	361.98
2189-60-8	octylbenzene	-96100	596.83
2190-48-9	3-chloro-3-methyl-1-butene	-45590	340.71
2198-72-3	4-propyl-4-heptanol	-410710	557.54
2203-80-7	5-methyl-1-hexyne	93700	395.28
2207-01-4	cis-1,2-dimethylcyclohexane	-172100	374.27
2207-03-6	trans-1,3-dimethylcyclohexane	-176500	375.61
2207-04-7	trans-1,4-dimethylcyclohexane	-184500	366.22
2210-28-8	propyl methacrylate	-402000	482.71
2211-67-8	dl-2,3-dichlorobutane	-167930	359.6
2211-68-9	2-chloro-trans-2-butene	-34200	334.49
2211-69-0	2-chloro-cis-2-butene	-34200	334.49
2211-70-3	2-chloro-1-butene	-25990	336.47
2213-23-2	2,4-dimethylheptane	-241000	485.07
2213-32-3	2,4-dimethyl-1-pentene	-80800	399.15
2216-21-9	1-nitrononane	-228900	742.49
2216-25-3	1-nitroundecane	-281130	664.77
2216-30-0	2,5-dimethylheptane	-240700	494.13
2216-32-2	4-ethylheptane	-231800	495.47
2216-33-3	3-methyloctane	-233700	504.86
2216-34-4	4-methyloctane	-235200	503.19
2216-81-1	heptyl propanoate	-565100	600.38
2217-17-6	2,4,5,7-tetramethyloctane	-307400	577.04
2219-73-0	2-methyl-4-ethylphenol	-181340	420.46
2219-78-5	3,4-dimethyl-6-ethylphenol	-213450	453.24
2219-79-6	2,4-dimethyl-6-ethylphenol	-213450	453.24
2234-20-0	1-ethenyl-2,4-dimethylbenzene	89290	422.16
2243-27-8	nonanenitrile	-64210	512.68
2244-07-7	undecanenitrile	-105490	525.24
2245-38-7	1,6,7-trimethylnaphthalene	57000	442.68
2308-38-5	tert-butyl butanoate	-562800	486.18
2311-14-0	1,1,1-tribromoethane	-4700	354.31
2313-61-3	4-methyl-2-hexanol	-350600	460.51
2313-65-7	3-methyl-2-hexanol	-350600	460.51
2315-43-7	dimethyl-3-methylbutylamine	-125560	435.23
2345-27-9	2-tetradecanone	-445600	733.57
2345-28-0	2-pentadecanone	-466300	772.72
2346-81-8	3-chlorohexane	-188190	413.61
2358-38-5	1,1-difluorobutane	-542100	361.75
2366-36-1	1,1,1-trichloro-2-fluoroethane	-302000	350.1
2366-52-1	1-fluorobutane	-304400	344.48
2370-12-9	2,2-dimethyl-1-pentanol	-348790	440.69
2370-13-0	2,2-dimethyl-1-hexanol	-369430	479.64
2370-14-1	2,2-dimethyl-1-octanol	-410710	557.54
2384-70-5	2-decyne	22570	517.27
2384-85-2	3-decyne	22570	517.27
2398-09-6	1,cis-3-dimethylcyclobutane	-36200	312.73
2398-10-9	1,trans-3-dimethylcyclobutane	-36200	312.73
2398-68-7	eicosylbenzene	-343440	1062.3
2400-66-0	eicosanal	-539500	971.51
2402-06-4	1,trans-2-dimethylcyclopropane	-3200	316.85
2404-52-6	phosphorus (V) sulfide trifluoride	-1009070	298.15
2406-52-2	stannane	162800	227.01
2411-36-1	triheptylamine	-409240	990.08
2415-72-7	propylcyclopropane	-17400	384.51
2416-94-6	2,3,6-trimethylphenol	-192810	414.28
2423-01-0	1-butylcyclopentene	-61200	
2425-54-9	1-chlorotetradecane	-354890	711.75
2425-74-3	tert-butylformamide	-284000	375.64
2430-22-0	7-methyl-1-octanol	-386600	547.94
2430-73-1	1,4-nonanediol	-538830	598.83
2436-92-2	3,4-dimethylquinoline	167080	369.52
2437-25-4	dodecanenitrile	-126130	629.54
2437-56-1	1-tridecene	-186600	661.27
2438-20-2	2-methylbutyl propanoate	-529900	516.7
2439-54-5	methyloctylamine	-175620	547.24
2439-55-6	methyloctadecylamine	-382020	936.76
2443-03-0	1-methyl-trans-3-propylcyclopentane	-188950	413.79
2443-04-1	1-methyl-cis-3-propylcyclopentane	-188950	413.79
2443-89-2	1,1-diiodo-2,2-dimethylpropane	-6820	413.6
2443-91-6	1,1-dibromo-2,2-dimethylpropane	-99150	443.33
2445-76-3	hexyl propanoate	-544300	560.89
2451-00-5	1-methyl-7-ethylnaphthalene	69000	456.09
2456-27-1	dinonyl ether	-539400	896.77
2456-28-2	didecyl ether	-580700	975.41
2470-68-0	diheptylamine	-278820	742
2473-01-0	1-chlorononane	-254890	506.25
2473-03-2	1-chloroundecane	-294890	588.45
2532-58-3	cis-1,3-dimethylcyclopentane	-135900	366.65
2532-64-1	1,cis-2,trans-3,trans-4-tetramethylcyclopentane	-229630	329.07
2532-65-2	1,cis-2,cis-3,cis-4-tetramethylcyclopentane	-229630	329.07
2532-67-4	1,trans-2,cis-3,trans-4-tetramethylcyclopentane	-229630	329.07
2532-68-5	1,cis-2,trans-3,cis-4-tetramethylcyclopentane	-229630	329.07
2532-69-6	1,cis-2,cis-3,trans-4-tetramethylcyclopentane	-229630	329.07
2550-21-2	3-methyl-2-hexanone	-305670	445.84
2551-62-4	sulfur hexafluoride	-1220470	291.54
2568-33-4	3-methyl-1,3-butanediol	-480000	178.22
2570-26-5	pentadecylamine	-318800	796.95
2586-89-2	3-heptyne	82800	411.72
2612-27-3	2-isopropyl-1,3-propanediol	-472000	506.62
2612-28-4	2-propyl-1,3-propanediol	-472100	498.11
2612-29-5	2-ethyl-1,3-propanediol	-456000	619.61
2613-61-8	2,4,6-trimethylheptane	-253220	509.87
2613-65-2	1-methyl-trans-3-ethylcyclopentane	-168310	374.84
2613-66-3	1-methyl-cis-3-ethylcyclopentane	-168310	374.84
2613-69-6	1,cis-2,cis-3-trimethylcyclopentane	-188650	332.48
2613-72-1	1,cis-2,cis-4-trimethylcyclopentane	-188650	332.48
2625-29-8	1-nitro-2,2-dimethylbutane	-186680	431.14
2625-35-6	2-nitro-3-methylbutane	-167850	412.01
2639-63-6	hexyl butanoate	-566600	601.05
2639-64-7	nonyl butanoate	-628900	718.84
2679-87-0	ethyl sec-butyl ether	-304600	420.89
2690-08-6	dioctyl sulfide	-332170	840.54
2696-92-6	nitrosyl chloride	51710	261.68
2699-79-8	sulfuryl fluoride	-758560	283.63
2717-39-7	1,4,5,8-tetramethylnaphthalene	51300	509.67
2717-42-2	1,2,4-trimethylnaphthalene	57000	442.68
2719-52-0	2-phenylpentane	-37600	467.63
2721-38-2	1,1-diethylcyclopentane	-153370	525.68
2738-19-4	2-methyl-2-hexene	-85800	399.75
2765-11-9	pentadecanal	-435600	775.41
2765-18-6	1-propylnaphthalene	74680	459.61
2768-16-3	5-methyl-1-nonanol	-407240	586.89
2769-64-4	butyl isocyanide	40000	429.49
2787-43-1	3-methyl-1,trans-3-pentadiene	65690	374.37
2787-45-3	3-methyl-1,cis-3-pentadiene	65690	374.37
2801-84-5	2,4-dimethyldecane	-301500	607.9
2807-30-9	ethylene glycol monopropyl ether	-421000	437.69
2809-67-8	2-octyne	63850	439.37
