CAS	Chemical	molecular_diameter	Stockmayer
111-62-6	Oleic acid ethyl ester	8.53715	690.38
111-65-9	n-Octane	6.17328	478.32
111-66-0	1-Octene	6.14478	438.63
111-84-2	n-Nonane	6.43057	497.35
112-27-6	Triethylene glycol	6.09779	541.8
112-40-3	n-Dodecane	7.00451	672.9
112-60-7	Tetraethylene glycol	6.62241	558.83
112-62-9	Oleic acid methyl ester	8.41384	672.34
112-63-0	Linoleic acid methyl ester	8.34769	673.98
112-80-1	Oleic acid	7.97503	604.49
112-95-8	n-Eicosane	8.33954	593.66
115-07-1	Propene	4.4902	282.43
115-77-5	Pentaerythritol	5.63923	603.72
118-74-1	Hexachlorobenzene	6.69481	638.55
120-12-7	Anthracene	6.77034	675.7
120-82-1	1,2,4-Trichlorobenzene	5.95446	561.15
120-92-3	Cyclopentanone	4.94075	484.52
121-33-5	Vanillin	5.94398	601.4
122-32-7	Triolein	11.78333	1269.36
122-72-5	3-Phenylpropyl acetate	6.51801	556.27
122-97-4	3-Phenyl-1-propanol	5.93627	543.58
123-01-3	1-Phenyldodecane	7.71873	599.28
123-19-3	4-Heptanone	5.98953	460.77
123-51-3	3-Methyl-1-butanol	5.48651	448.49
124-06-1	Myristic acid ethyl ester	7.99595	610.96
124-18-5	n-Decane	6.71395	434.86
124-38-9	Carbon dioxide	3.26192	500.71
124-68-5	2-Amino-2-methyl-1-propanol	5.61026	479.73
126-33-0	Sulfolane	5.69827	657.13
127-91-3	β-Pinene	6.28262	497.68
129-00-0	Pyrene	7.11077	724.46
132-65-0	Dibenzothiophene	6.27791	694.28
135-01-3	1,2-Diethylbenzene	6.27438	517.03
135-19-3	2-Naphthol	5.72302	628.02
137-32-6	2-Methyl-1-butanol	5.44356	437.31
140-10-3	Cinnamic acid	6.21895	616.88
140-11-4	Benzyl acetate	6.17454	541.03
141-43-5	Monoethanolamine	4.72275	493.81
141-78-6	Ethyl acetate	5.33606	404.96
142-82-5	n-Heptane	5.94356	404.05
144-98-9	Allothreonine	5.58555	640.55
149-32-6	meso-Erythritol	5.09718	727.78
218-01-9	Chrysene	7.37056	757.75
260-94-6	Acridine	6.40475	700.47
287-92-3	Cyclopentane	5.03324	396.06
294-93-9	12-Crown-4	6.27811	604.23
300-57-2	Allylbenzene	5.91809	495.25
301-00-8	Linolenic acid methyl ester	8.02997	595.52
302-72-7	Alanine	5.22405	540.62
302-84-1	Serine	5.27315	623.05
303-98-0	Ubiquinone CoQ10	10.43527	1178.41
321-28-8	2-Fluoroanisole	5.70253	499.08
326-91-0	Thenoyltrifluoroacetone	6.88081	649.15
327-54-8	1,2,4,5-Tetrafluorobenzene	5.41106	414.28
328-39-2	Leucine	6.0269	589.41
363-72-4	Pentafluorobenzene	5.49825	410.97
367-11-3	o-Difluorobenzene	5.3327	429.15
367-23-7	1,2,4-Trifluorobenzene	5.4153	432.06
367-57-7	Trifluoroacetylacetone	5.81789	459.77
372-20-3	3-Fluorophenol	5.14165	515.13
392-56-3	Hexafluorobenzene	5.56763	399.93
434-64-0	Octafluorotoluene	5.97931	413.68
462-06-6	Fluorobenzene	5.16448	433.52
463-40-1	α-Linolenic acid	7.90702	603.72
502-42-1	Cycloheptanone	5.83262	519.5
502-56-7	5-Nonanone	6.60236	495.36
506-26-3	γ-Linolenic acid	8.30482	742.25
506-32-1	Arachidonic acid (AA)	8.55861	784.39
516-06-3	Valine	5.76242	574.28
536-74-3	Phenylacetylene	5.48099	507.3
538-68-1	n-Pentylbenzene	6.49745	526.24
540-36-3	p-Difluorobenzene	5.2072	430.34
540-84-1	2,2,4-Trimethylpentane	6.10433	420.9
541-73-1	1,3-Dichlorobenzene	5.69056	529.38
544-64-9	Myristoleic acid	7.76875	661.17
544-76-3	n-Hexadecane	7.3648	1669.19
558-13-4	Carbon tetrabromide	4.41501	561.08
563-83-7	Isobutyramide	5.64024	509.29
565-80-0	2,4-Dimethyl-3-pentanone	5.9155	445.82
578-57-4	2-Bromoanisole	5.85312	570.89
578-58-5	2-Methylanisole	5.83396	502.16
581-42-0	2,6-Dimethylnaphthalene	6.3779	601.4
582-16-1	2,7-Dimethylnaphthalene	6.38032	602.17
584-02-1	3-Pentanol	5.38888	423.38
584-03-2	1,2-Butanediol	5.17223	481.54
591-50-4	Iodobenzene	5.59976	558.05
593-53-3	Methyl fluoride	4.01832	243.81
594-27-4	Tetramethyltin	5.49115	396.11
597-64-8	Tetraethyltin	6.45047	507.68
598-75-4	3-Methyl-2-butanol	5.43576	444.28
611-14-3	2-Ethyltoluene	6.12635	503.87
616-06-8	Norleucine	6.03538	586.4
620-14-4	3-Ethyltoluene	6.21196	493.04
622-96-8	4-Ethyltoluene	6.1566	495.36
628-97-7	Palmitic acid ethyl ester	8.30307	646.77
629-59-4	n-Tetradecane	7.68286	536.38
629-73-2	1-Hexadecene	7.70891	558.83
630-02-4	n-Octacosane	8.80825	643.97
630-08-0	Carbon monoxide	3.53562	102.86
700-58-3	Adamantanone	6.343	587.58
760-78-1	Norvaline	5.77086	571.09
781-43-1	9,10-Dimethylanthracene	7.01984	696
815-24-7	2,2,4,4-Tetramethyl-3- pentanone	6.06486	485.44
821-55-6	2-Nonanone	6.50874	498.68
872-50-4	N-Methylpyrrolidone	5.51061	560.38
927-49-1	6-Undecanone	6.95669	524.78
929-06-6	Diglycolamine	5.60851	541.03
1077-16-3	1-Phenylhexane	6.71996	540.25
1120-21-4	n-Undecane	6.91444	494.43
1120-36-1	1-Tetradecene	7.44105	534.83
1123-85-9	2-Phenyl-1-propanol	5.80605	512.4
1127-76-0	1-Ethylnaphthalene	6.47967	600.62
1191-41-9	γ-Linolenic acid ethyl ester	7.87896	725.25
1273-89-8	Ethylferrocene	6.02127	428.96
1291-47-0	1,1'-Dimethylferrocene	5.8866	398.18
1333-74-0	Hydrogen	5.94111	3.4503
1461-25-2	Tetrabutyltin	7.5329	594.41
1484-84-0	2-Piperidineethanol	5.93117	576.74
1522-22-1	1,1,1,5,5,5- Hexafluoroacetylacetone	6.08561	440.46
1808-26-0	AA ethyl ester	8.64877	743.53
1927-25-9	Homoserine	5.59519	637.73
