CAS	Chemical	A	B	C	D	E	Tmin	Tmax
112-05-0	Nonanoic acid	224336	49.726	0.9813	0	0	285.55	528.75
143-08-8	1-Nonanol	10483000	-115220	476.87	-0.85381	0.00056246	310	460
628-99-9	2-Nonanol	329641	-1046.78	3.61823	0	0	238.15	649.5
124-11-8	1-Nonene	254490	-298.06	1.1707	0	0	191.91	420.02
1455-21-6	Nonyl mercaptan	265350	-46.22	0.79154	0	0	253.05	492.95
3452-09-3	1-Nonyne	253580	-366.3	1.4881	0	0	223.15	423.85
593-45-3	Octadecane	399430	374.64	0.58156	0	0	301.31	589.86
124-13-0	Octanal	130650	463.61	0	0	0	246	447.15
111-65-9	Octane	224830	-186.63	0.95891	0	0	216.38	460
124-07-2	Octanoic acid	205260	44.392	0.8956	0	0	289.65	512.85
111-87-5	1-Octanol	571370	-4849	19.725	-0.021532	0	250	467.1
123-96-6	2-Octanol	319198	-1042.21	3.52943	0	0	241.55	452.9
111-13-7	2-Octanone	300400	-426.2	1.1172	0	0	252.86	500
106-68-3	3-Octanone	289980	-417.27	1.2218	0	0	255.55	440.65
111-66-0	1-Octene	509420	-4279.1	21.477	-0.044462	0.000035028	171.45	394.41
111-88-6	Octyl mercaptan	240040	-33.198	0.67889	0	0	240	472.19
629-05-0	1-Octyne	42642	886.67	-0.69315	0	0	200	399.35
144-62-7	Oxalic acid	175510	-381.36	0.64623	0	0	462.65	603
7782-44-7	Oxygen	175430	-6152.3	113.92	-0.92382	0.0027963	54.36	142
10028-15-6	Ozone	60046	281.16	0	0	0	90	150
629-62-9	Pentadecane	346910	219.54	0.65632	0	0	283.07	543.84
110-62-3	Pentanal	112050	257.78	0	0	0	200	376.15
109-66-0	Pentane	159080	-270.5	0.99537	0	0	143.42	390
109-52-4	Pentanoic acid	145050	28.344	0.6372	0	0	239.15	458.95
71-41-0	1-Pentanol	201200	-651.3	2.275	0	0	200.14	389.15
6032-29-7	2-Pentanol	251596	-1028.49	3.26306	0	0	200	561
107-87-9	2-Pentanone	194590	-263.86	0.76808	0	0	196.29	375.46
96-22-0	3-Pentanone	193020	-176.43	0.5669	0	0	234.18	375.14
109-67-1	1-Pentene	156100	-456.94	2.255	-0.003163	0.00000238	108.02	350
2084-19-7	2-Pentyl mercaptan	188200	-140.84	0.63581	0	0	160.75	385.15
110-66-7	Pentyl mercaptan	213760	-324.4	0.9472	0	0	197.45	399.79
627-19-0	1-Pentyne	86200	256.6	0	0	0	200	313.33
627-21-4	2-Pentyne	68671	246.66	0	0	0	200	329.27
85-01-8	Phenanthrene	103370	527.03	0	0	0	372.39	500
108-95-2	Phenol	101720	317.61	0	0	0	314.06	425
103-71-9	Phenyl isocyanate	60834	215.89	0.29552	0	0	243.15	489.75
85-44-9	Phthalic anhydride	145400	252.4	0	0	0	404.15	557.65
463-49-0	Propadiene	66230	98.275	0	0	0	200	238.65
71-23-8	1-Propanol	158760	-635	1.969	0	0	146.95	400
67-63-0	2-Propanol	471710	-4172.1	14.745	-0.0144	0	185.26	355.3
13511-13-2	Propenylcyclohexene	201400	-450.6	1.7053	0	0	199	431.65
123-38-6	Propionaldehyde	99306	115.73	0	0	0	200	328.75
79-09-4	Propionic acid	213660	-702.7	1.6605	0	0	252.45	414.32
107-12-0	Propionitrile	118190	-120.98	0.42075	0	0	180.26	370.5
109-60-4	Propyl acetate	83400	384.1	0	0	0	274.7	404.7
107-10-8	Propyl amine	139530	78	0	0	0	188.36	340
103-65-1	Propylbenzene	174380	-101.8	0.79	0	0	173.55	432.39
115-07-1	Propylene	114140	-343.72	1.0905	0	0	87.89	225.45
110-74-7	Propyl formate	75700	326.1	0	0	0	298.15	398.15
75-33-2	2-Propyl mercaptan	138390	-117.11	0.47059	0	0	142.61	350
107-03-9	Propyl mercaptan	167330	-319.1	0.8127	0	0	159.95	340.87
57-55-6	1,2-Propylene glycol	58080	445.2	0	0	0	213.15	460.75
106-51-4	Quinone	45810	368.33	0	0	0	388.85	683
7783-61-1	Silicon tetrafluoride	829380	-7331.5	19.203	0	0	186.35	253.15
100-42-5	Styrene	113340	290.2	-0.6051	0.0013567	0	242.54	418.31
110-15-6	Succinic acid	244770	-236.96	0.63148	0	0	460.65	604.5
7446-09-5	Sulfur dioxide	85743	5.7443	0	0	0	197.67	350
2551-62-4	Sulfur hexafluoride	119500	0	0	0	0	230.15	230.15
7446-11-9	Sulfur trioxide	258090	0	0	0	0	303.15	303.15
84-15-1	o-Terphenyl	182900	635.09	0	0	0	329.35	609.15
629-59-4	Tetradecane	353140	29.13	0.86116	0	0	279.01	526.73
109-99-9	Tetrahydrofuran	171730	-800.47	2.8934	-0.0025015	0	164.65	339.12
119-64-2	1,2,3,4-Tetrahydronaphthalene	81760	455.38	0	0	0	237.38	480.77
110-01-0	Tetrahydrothiophene	123300	-130.1	0.6229	0	0	176.98	394.27
594-82-1	2,2,3,3-Tetramethylbutane	43326	630.73	0	0	0	375.41	426
110-02-1	Thiophene	84864	91.725	0.13243	0	0	234.94	357.31
108-88-3	Toluene	140140	-152.3	0.695	0	0	178.18	500
79-00-5	1,1,2-Trichloroethane	103350	159.3	0	0	0	236.5	300
629-50-5	Tridecane	350180	-104.7	1.0022	0	0	267.76	508.62
121-44-8	Triethyl amine	111480	368.13	0	0	0	200	361.92
75-50-3	Trimethyl amine	136050	-288	0.9913	0	0	156.08	276.02
526-73-8	1,2,3-Trimethylbenzene	119450	324.54	0	0	0	247.79	449.27
95-63-6	1,2,4-Trimethylbenzene	178800	-128.47	0.83741	0	0	229.33	350
540-84-1	2,2,4-Trimethylpentane	95275	696.7	-1.3765	0.0021734	0	165.78	520
560-21-4	2,3,3-Trimethylpentane	388620	-1439.5	3.2187	0	0	280	320
99-35-4	1,3,5-Trinitrobenzene	40364	664.46	0	0	0	398.4	475.47
118-96-7	2,4,6-Trinitrotoluene	133530	514.64	0	0	0	354	475
1120-21-4	Undecane	293980	-114.98	0.96936	0	0	247.57	433.42
112-42-5	1-Undecanol	129450	-3039.5	27.927	-0.061847	0.000043042	289.05	520.3
108-05-4	Vinyl acetate	136300	-106.17	0.75175	0	0	259.56	389.35
689-97-4	Vinyl acetylene	68720	135	0	0	0	200	278.25
75-01-4	Vinyl chloride	-10320	322.8	0	0	0	200	400
75-94-5	Vinyl trichlorosilane	49516	420.35	0	0	0	178.35	363.85
7732-18-5	Water	276370	-2090.1	8.125	-0.014116	0.0000093701	273.16	533.15
108-38-3	m-Xylene	133860	7.8754	0.52265	0	0	217	540.15
95-47-6	o-Xylene	36500	1017.5	-2.63	0.00302	0	247.98	417.58
106-42-3	p-Xylene	-35500	1287.2	-2.599	0.002426	0	286.41	600
