Compound Number	Compound Name	Compound Formula	CAS Number	Molecular Wt	A	B	C	D	E	Tmin	Cp at Tmin 	Tmax	Cp at Tmax 	
85	m-Dichlorobenzene	C6H4Cl2	541-73-1	147.002	114880.00000000	187.2500000	0.00000000	0.00000000	0.0000000	248.39	1.61E-05	400.00	1.90E-05	
86	o-Dichlorobenzene	C6H4Cl2	95-50-1	147.002	93093.00000000	183.9700000	0.23140000	0.00000000	0.0000000	273.15	1.61E-05	528.75	2.55E-05	
87	p-Dichlorobenzene	C6H4Cl2	106-46-7	147.002	133950.00000000	-24.8400000	0.48191000	0.00000000	0.0000000	326.14	1.77E-05	513.56	2.48E-05	
88	1,1-Dichloroethane	C2H4Cl2	75-34-3	98.959	126340.00000000	-94.6300000	0.32000000	0.00000000	0.0000000	176.19	1.20E-05	330.45	1.30E-05	
89	1,2-Dichloroethane	C2H4Cl2	107-06-2	98.959	179170.00000000	-444.7400000	0.93009000	0.00000000	0.0000000	237.49	1.26E-05	356.59	1.39E-05	
90	Dichloromethane	CH2Cl2	75-09-2	84.933	98968.00000000	-62.9410000	0.23265000	0.00000000	0.0000000	180.00	9.52E-06	320.00	1.03E-05	
91	1,1-Dichloropropane	C3H6Cl2	78-99-9	112.986	144560.00000000	-53.6050000	0.30617000	0.00000000	0.0000000	180.00	1.45E-05	361.25	1.65E-05	
92	1,2-Dichloropropane	C3H6Cl2	78-87-5	112.986	111560.00000000	149.4400000	0.00000000	0.00000000	0.0000000	275.00	1.53E-05	369.52	1.67E-05	
93	Diethanol amine	C4H11NO2	111-42-2	105.136	184200.00000000	286.0000000	0.00000000	0.00000000	0.0000000	301.15	2.70E-05	541.54	3.39E-05	
94	Diethyl amine	C4H11N	109-89-7	73.137	101330.00000000	243.1800000	0.00000000	0.00000000	0.0000000	223.35	1.56E-05	328.60	1.81E-05	
95	Diethyl ether	C4H10O	60-29-7	74.122	44400.00000000	1301.0000000	-5.50000000	0.00876300	0.0000000	156.92	1.47E-05	460.00	3.32E-05	
96	Diethyl sulfide	C4H10S	352-93-2	90.187	238520.00000000	-1038.4000000	4.05870000	-0.00446910	0.0000000	181.95	1.57E-05	322.08	1.76E-05	
98	1,2-Difluoroethane	C2H4F2	624-72-6	66.05	82577.00000000	109.8500000	0.00000000	0.00000000	0.0000000	215.00	1.06E-05	283.65	1.14E-05	
99	Difluoromethane	CH2F2	75-10-5	52.023	263980.00000000	-1791.1000000	4.36660000	0.00000000	0.0000000	200.00	8.04E-06	250.00	8.91E-06	
100	Di-isopropyl amine	C6H15N	108-18-9	101.19	98434.00000000	429.0400000	0.00000000	0.00000000	0.0000000	275.00	2.16E-05	357.05	2.52E-05	
101	Di-isopropyl ether	C6H14O	108-20-3	102.175	163000.00000000	-4.5000000	0.62000000	0.00000000	0.0000000	187.65	1.84E-05	341.45	2.34E-05	
102	Di-isopropyl ketone	C7H14O	565-80-0	114.185	179270.00000000	28.3700000	0.53750000	0.00000000	0.0000000	204.81	2.08E-05	410.00	2.81E-05	
103	1,1-Dimethoxyethane	C4H10O2	534-15-6	90.121	187790.00000000	-313.4100000	1.10230000	0.00000000	0.0000000	159.95	1.66E-05	337.45	2.08E-05	
104	1,2-Dimethoxypropane	C5H12O2	7778-85-0	104.148	199930.00000000	-191.5000000	0.87664000	0.00000000	0.0000000	226.10	2.01E-05	366.15	2.47E-05	
105	Dimethyl acetylene	C4H6	503-17-3	54.09	88153.00000000	124.1600000	0.00000000	0.00000000	0.0000000	240.91	1.18E-05	300.13	1.25E-05	
106	Dimethyl amine	C2H7N	124-40-3	45.084	-214870.00000000	3787.2000000	-13.78100000	0.01692400	0.0000000	180.96	1.19E-05	298.15	1.38E-05	
107	2,3-Dimethylbutane	C6H14	79-29-8	86.175	129450.00000000	18.5000000	0.60800000	0.00000000	0.0000000	145.19	1.45E-05	331.13	2.02E-05	
108	1,1-Dimethylcyclohexane	C8H16	590-66-9	112.213	134500.00000000	8.7650000	0.81151000	0.00000000	0.0000000	239.66	1.83E-05	392.70	2.63E-05	
109	cis-1,2-Dimethylcyclohexane	C8H16	None	112.213	150130.00000000	-62.3800000	0.88510000	0.00000000	0.0000000	223.16	1.80E-05	402.94	2.69E-05	
110	trans-1,2-Dimethylcyclohexane	C8H16	6876-23-9	112.213	155560.00000000	-145.2600000	1.09320000	0.00000000	0.0000000	184.99	1.66E-05	396.58	2.70E-05	
111	Dimethyl disulfide	C2H6S2	624-92-0	94.199	171580.00000000	-256.6700000	0.57270000	0.00000000	0.0000000	188.44	1.44E-05	360.00	1.53E-05	
112	Dimethyl ether	C2H6O	115-10-6	46.068	110100.00000000	-157.4700000	0.51853000	0.00000000	0.0000000	131.65	9.84E-06	250.00	1.03E-05	
113	N,N-Dimethyl formamide	C3H7NO	68-12-2	73.094	147900.00000000	-106.0000000	0.38400000	0.00000000	0.0000000	273.82	1.48E-05	466.44	1.82E-05	
114	2,3-Dimethylpentane	C7H16	565-59-3	100.202	146420.00000000	59.2000000	0.60400000	0.00000000	0.0000000	90.00	1.57E-05	380.00	2.56E-05	
115	Dimethyl phthalate	C10H10O4	131-11-3	194.184	206560.00000000	325.7500000	0.00000000	0.00000000	0.0000000	274.16	2.96E-05	360.00	3.24E-05	
116	Dimethylsilane	C2H8Si	1111-74-6	60.17	131810.00000000	0.0000000	0.00000000	0.00000000	0.0000000	298.15	1.32E-05	298.15	1.32E-05	
117	Dimethyl sulfide	C2H6S	75-18-3	62.134	146950.00000000	-380.0600000	1.20350000	-0.00084787	0.0000000	174.88	1.13E-05	310.48	1.20E-05	
118	Dimethyl sulfoxide	C2H6OS	67-68-5	78.133	240300.00000000	-595.0000000	1.01300000	0.00000000	0.0000000	291.67	1.53E-05	422.15	1.70E-05	
119	Dimethyl terephthalate	C10H10O4	120-61-6	194.184	190020.00000000	431.0400000	0.00000000	0.00000000	0.0000000	423.40	3.73E-05	466.35	3.91E-05	
120	1,4-Dioxane	C4H8O2	123-91-1	88.105	956860.00000000	-5559.9000000	9.61240000	0.00000000	0.0000000	284.95	1.53E-05	374.47	2.23E-05	
121	Diphenyl ether	C12H10O	101-84-8	170.207	134160.00000000	447.6700000	0.00000000	0.00000000	0.0000000	300.03	2.68E-05	570.00	3.89E-05	
122	Dipropyl amine	C6H15N	142-84-7	101.19	49120.00000000	562.2400000	0.00000000	0.00000000	0.0000000	277.90	2.05E-05	407.90	2.78E-05	
123	Dodecane	C12H26	112-40-3	170.335	508210.00000000	-1368.7000000	3.10150000	0.00000000	0.0000000	263.57	3.63E-05	330.00	3.94E-05	
124	Eicosane	C20H42	112-95-8	282.547	352720.00000000	807.3200000	0.21220000	0.00000000	0.0000000	309.58	6.23E-05	616.93	9.32E-05	
126	Ethanol	C2H6O	64-17-5	46.068	102640.00000000	-139.6300000	-0.03034100	0.00203860	0.0000000	159.05	8.79E-06	390.00	1.65E-05	
127	Ethyl acetate	C4H8O2	141-78-6	88.105	226230.00000000	-624.8000000	1.47200000	0.00000000	0.0000000	189.60	1.61E-05	350.21	1.88E-05	
128	Ethyl amine	C2H7N	75-04-7	45.084	121700.00000000	38.9930000	0.00000000	0.00000000	0.0000000	192.15	1.29E-05	289.73	1.33E-05	
129	Ethylbenzene	C8H10	100-41-4	106.165	154040.00000000	-142.2900000	0.80539000	0.00000000	0.0000000	178.20	1.54E-05	409.35	2.31E-05	
130	Ethyl benzoate	C9H10O2	93-89-0	150.175	124500.00000000	370.6000000	0.00000000	0.00000000	0.0000000	238.45	2.13E-05	486.55	3.05E-05	
131	2-Ethyl butanoic acid	C6H12O2	88-09-5	116.158	56359.00000000	603.0200000	0.00000000	0.00000000	0.0000000	258.15	2.12E-05	466.95	3.38E-05	
132	Ethyl butyrate	C6H12O2	105-54-4	116.158	82434.00000000	422.4500000	0.20992000	0.00000000	0.0000000	285.50	2.20E-05	428.25	3.02E-05	
133	Ethylcyclohexane	C8H16	1678-91-7	112.213	132360.00000000	72.7400000	0.64738000	0.00000000	0.0000000	161.84	1.61E-05	404.95	2.68E-05	
134	Ethylcyclopentane	C7H14	1640-89-7	98.186	178520.00000000	-518.3500000	2.32550000	-0.00168180	0.0000000	134.71	1.47E-05	301.82	1.88E-05	
135	Ethylene	C2H4	74-85-1	28.053	247390.00000000	-4428.0000000	40.93600000	-0.16970000	0.0002682	104.00	7.01E-06	252.70	9.76E-06	
136	Ethylenediamine	C2H8N2	107-15-3	60.098	184440.00000000	-150.2000000	0.37044000	0.00000000	0.0000000	284.29	1.72E-05	390.41	1.82E-05	
137	Ethylene glycol	C2H6O2	107-21-1	62.068	35540.00000000	436.7800000	-0.18486000	0.00000000	0.0000000	260.15	1.37E-05	493.15	2.06E-05	
138	Ethyleneimine	C2H5N	151-56-4	43.068	46848.00000000	205.3500000	0.00000000	0.00000000	0.0000000	250.00	9.82E-06	329.00	1.14E-05	
139	Ethylene oxide	C2H4O	75-21-8	44.053	144710.00000000	-758.8700000	2.82610000	-0.00306400	0.0000000	160.65	8.30E-06	283.85	8.69E-06	
140	Ethyl formate	C3H6O2	109-94-4	74.079	80000.00000000	223.6000000	0.00000000	0.00000000	0.0000000	254.20	1.37E-05	374.20	1.64E-05	
141	2-Ethyl hexanoic acid	C8H16O2	149-57-5	144.211	207670.00000000	-17.9070000	1.04930000	0.00000000	0.0000000	235.00	2.61E-05	510.10	4.72E-05	
142	Ethylhexyl ether	C8H18O	5756-43-4	130.228	146040.00000000	458.2200000	0.00000000	0.00000000	0.0000000	298.15	2.83E-05	417.15	3.37E-05	
143	Ethylisopropyl ether	C5H12O	625-54-7	88.148	106250.00000000	292.1500000	0.00000000	0.00000000	0.0000000	298.15	1.93E-05	326.15	2.02E-05	
144	Ethylisopropyl ketone	C6H12O	565-69-5	100.159	229250.00000000	-404.5400000	1.13820000	0.00000000	0.0000000	204.15	1.94E-05	386.55	2.43E-05	
145	Ethyl mercaptan	C2H6S	75-08-1	62.134	134670.00000000	-234.3900000	0.59656000	0.00000000	0.0000000	125.26	1.15E-05	315.25	1.20E-05	
146	Ethyl propionate	C5H10O2	105-37-3	102.132	76330.00000000	400.1000000	0.00000000	0.00000000	0.0000000	298.15	1.96E-05	410.00	2.40E-05	
147	Ethylpropyl ether	C5H12O	628-32-0	88.148	103680.00000000	726.3000000	-2.60470000	0.00409570	0.0000000	145.65	1.67E-05	320.00	2.04E-05	
148	Ethyltrichlorosilane	C2H5Cl3Si	115-21-9	163.506	105150.00000000	85.3180000	0.46693000	0.00000000	0.0000000	167.55	1.33E-05	371.05	2.01E-05	
149	Fluorine	F2	7782-41-4	37.997	-94585.00000000	7529.9000000	-139.60000000	1.13010000	-0.0033241	58.00	5.54E-06	98.00	5.97E-06	
149	Fluorine	F2	7782-41-4	37.997	1724400.00000000	-59924.0000000	537.85000000	0.00000000	0.0000000	53.48	5.80E-06	56.00	5.54E-06	
150	Fluorobenzene	C6H5F	462-06-6	96.102	-991200.00000000	11734.0000000	-40.66900000	0.04733300	0.0000000	239.99	1.37E-05	319.99	1.50E-05	
151	Fluoroethane	C2H5F	353-36-6	48.06	85663.00000000	-118.5600000	0.55459000	0.00000000	0.0000000	140.00	7.99E-06	240.00	8.92E-06	
152	Fluoromethane	CH3F	593-53-3	34.033	74746.00000000	-132.3200000	0.53772000	0.00000000	0.0000000	140.00	6.68E-06	220.00	7.17E-06	
153	Formaldehyde	CH2O	50-00-0	30.026	61900.00000000	28.3000000	0.00000000	0.00000000	0.0000000	204.00	6.77E-06	234.00	6.85E-06	
154	Formamide	CH3NO	75-12-7	45.041	63400.00000000	150.6000000	0.00000000	0.00000000	0.0000000	292.00	1.07E-05	493.00	1.38E-05	
155	Formic acid	CH2O2	64-18-6	46.026	78060.00000000	71.5400000	0.00000000	0.00000000	0.0000000	281.45	9.82E-06	380.00	1.05E-05	
156	Furan	C4H4O	110-00-9	68.074	114370.00000000	-215.6900000	0.72691000	0.00000000	0.0000000	187.55	9.95E-06	304.50	1.16E-05	
157	Helium-4	He	7440-59-7	4.003	387220.00000000	-465570.0000000	211800.00000000	-42494.00000000	3212.9000000	2.20	1.09E-06	4.60	2.97E-06	
157	Helium-4	He	7440-59-7	4.003	410430.00000000	-464890.0000000	135100.00000000	0.00000000	0.0000000	1.80	1.14E-06	2.10	3.00E-06	
158	Heptadecane	C17H36	629-78-7	240.468	376970.00000000	347.8200000	0.57895000	0.00000000	0.0000000	295.13	5.30E-05	575.30	7.69E-05	
159	Heptanal	C7H14O	111-71-7	114.185	222360.00000000	-105.1700000	0.65074000	0.00000000	0.0000000	229.80	2.33E-05	381.25	2.77E-05	
161	Heptanoic acid	C7H14O2	111-14-8	130.185	194570.00000000	-23.2060000	0.88395000	0.00000000	0.0000000	265.83	2.51E-05	496.15	4.01E-05	
162	1-Heptanol	C7H16O	111-70-6	116.201	2416800.00000000	-26105.0000000	110.03000000	-0.19172000	0.0001197	239.15	2.36E-05	448.60	3.88E-05	
163	2-Heptanol	C7H16O	543-49-7	116.201	283127.00000000	-1037.6300000	3.44064000	0.00000000	0.0000000	230.00	2.26E-05	432.90	4.79E-05	
164	3-Heptanone	C7H14O	106-35-4	114.185	270730.00000000	-399.8900000	1.06010000	0.00000000	0.0000000	234.15	2.35E-05	480.00	3.23E-05	
165	2-Heptanone	C7H14O	110-43-0	114.185	265040.00000000	-375.6800000	1.00240000	0.00000000	0.0000000	238.15	2.32E-05	490.00	3.22E-05	
166	1-Heptene	C7H14	592-76-7	98.186	267950.00000000	-1315.9000000	6.52420000	-0.01199400	0.0000094	154.12	1.82E-05	366.79	2.41E-05	
167	Heptyl mercaptan	C7H16S	1639-09-4	132.267	236870.00000000	-158.0100000	0.78982000	0.00000000	0.0000000	229.92	2.42E-05	460.00	3.31E-05	
168	1-Heptyne	C7H12	628-71-7	96.17	46798.00000000	761.1300000	-0.62882000	0.00000000	0.0000000	200.00	1.74E-05	372.93	2.43E-05	
169	Hexadecane	C16H34	544-76-3	226.441	370350.00000000	231.4700000	0.68632000	0.00000000	0.0000000	291.31	4.96E-05	560.01	7.15E-05	
170	Hexanal	C6H12O	66-25-1	100.159	117700.00000000	329.5200000	0.00000000	0.00000000	0.0000000	217.15	1.89E-05	401.45	2.50E-05	
171	Hexane	C6H14	110-54-3	86.175	172120.00000000	-183.7800000	0.88734000	0.00000000	0.0000000	177.83	1.68E-05	460.00	2.75E-05	
