"CASRN"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"
"74-87-3"	"Methyl chloride"	"CH3Cl"	1	0.01	45	12	15	2	2
"75-09-2"	"Methylene chloride"	"CH2Cl2"	0.4	0.03	33	9	10	2	1
"67-66-3"	"Chloroform"	"CHCl3"	0.4	0.08	60	16	18	3	2
"107-06-2"	"1,2-Dichloroethane"	"CH2ClCH2Cl"	0.18	0.01	3				
"74-83-9"	"Methyl bromide"	"CH3Br"	0.8	0	9	2	3		
"74-95-3"	"Methylene bromide"	"CH2Br2"	0.3	0.01	4	1	1		
"1511-62-2"	"Halon-1201"	"CHBrF2"	5.2	0.15	1350	376	756	80	52
"75-61-6"	"Halon-1202"	"CBr2F2"	2.9	0.27	848	231	356	42	32
"353-59-3"	"Halon-1211"	"CBrClF2"	16	0.29	4590	1750	3950	1130	297
"75-63-8"	"Halon-1301"	"CBrF3"	65	0.3	7800	6290	7990	6750	4170
"421-06-7"	"Halon-2301"	"CH2BrCF3"	3.4	0.14	635	173	286	33	24
"151-67-7"	"Halon-2311 / Halothane"	"CHBrClCF3"	1	0.13	151	41	49	7	6
"124-72-1"	"Halon-2401"	"CHFBrCF3"	2.9	0.19	674	184	283	34	25
"124-73-2"	"Halon-2402"	"CBrF2CBrF2"	20	0.31	3440	1470	3100	1150	304
"7783-54-2"	"Nitrogen trifluoride"	"NF3"	500	0.2	12800	16100	13700	16500	18100
"2551-62-4"	"Sulphur hexafluoride"	"SF6"	3200	0.57	17500	23500	18900	23800	28200
"373-80-8"	"(Trifluoromethyl) sulphur pentafluoride"	"SF5CF3"	800	0.59	13500	17400	14500	17800	20200
"2699-79-8"	"Sulphuryl fluoride"	"SO2F2"	36	0.2	6840	4090	6690	4140	1650
"75-73-0"	"PFC-14"	"CF4"	50000	0.09	4880	6630	5270	6690	8040
"76-16-4"	"PFC-116"	"C2F6"	10000	0.25	8210	11100	8880	11200	13500
"931-91-9"	"PFC-c216"	"c-C3F6"	3000	0.23	6850	9200	7400	9310	11000
"76-19-7"	"PFC-218"	"C3F8"	2600	0.28	6640	8900	7180	9010	10700
"115-25-3"	"PFC-318"	"c-C4F8"	3200	0.32	7110	9540	7680	9660	11500
"355-25-9"	"PFC-31-10"	"C4F10"	2600	0.36	6870	9200	7420	9320	11000
"559-40-0"	"Perfluorocyclopentene"	"c-C5F8"	0.08	0.08	7	2	2		
"678-26-2"	"PFC-41-12"	"n-C5F12"	4100	0.41	6350	8550	6860	8650	10300
"355-42-0"	"PFC-51-14"	"n-C6F14"	3100	0.44	5890	7910	6370	8010	9490
"335-57-9"	"PFC-61-16"	"n-C7F16"	3000	0.5	5830	7820	6290	7920	9380
"307-34-6"	"PFC-71-18"	"C8F18"	3000	0.55	5680	7620	6130	7710	9140
"306-94-5"	"PFC-91-18"	"C10F18"	2000	0.55	5390	7190	5820	7290	8570
"60433-11-6"	"Perfluorodecalin (cis)"	"Z-C10F18"	2000	0.56	5430	7240	5860	7340	8630
"60433-12-7"	"Perfluorodecalin (trans)"	"E-C10F18"	2000	0.48	4720	6290	5090	6380	7500
"116-14-3"	"PFC-1114"	"CF2=CF2"	0	0					
"116-15-4"	"PFC-1216"	"CF3CF=CF2"	0.01	0.01					
"685-63-2"	"Perfluorobuta-1,3-diene"	"CF2=CFCF=CF2"	0	0					
"357-26-6"	"Perfluorobut-1-ene"	"CF3CF2CF=CF2"	0.02	0.02					
"360-89-4"	"Perfluorobut-2-ene"	"CF3CF=CFCF3"	0.08	0.07	6	2	2		
"3822-68-2"	"HFE-125"	"CHF2OCF3"	119	0.41	12400	12400	13000	13200	10900
"1691-17-4"	"HFE-134 (HG-00)"	"CHF2OCHF2"	24.4	0.44	11600	5560	10800	4900	1430
"421-14-7"	"HFE-143a"	"CH3OCF3"	4.8	0.18	1890	523	1020	108	73
