"CAS"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"	"20yr AGWP"	"100yr AGWP"	"20yr AGTP"	"50yr AGTP"	"100yr AGTP"
"173350-38-4"	"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eico- safluoro-2,5,8,11,14-Pentaoxapentadecane"	"HCF2O(CF2CF2O)4CF2H"	26	1.46	7320	3630	6880	3300	1010	1.83E-10	3.33E-10	4.71E-12	2.03E-12	5.5E-13
"1814-88-6"	"HFC-245cb"	"CF3CF2CH3"	47.1	0.24	6680	4620	6690	4870	2410	1.67E-10	4.24E-10	4.58E-12	3E-12	1.32E-12
"1842-05-3"	"HCFC-132c"	"CH2FCFCl2"	4.3	0.17	1230	338	624	67	47	3.07E-11	3.1E-11	4.27E-13	4.14E-14	2.58E-14
"185689-57-0"	"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol"	"CF3(CF2)4CH2CH2OH"	0.05	0.06	2	0.426	0.456	0.0712	0.0587	3.91E-14	3.91E-14	3.12E-16	4.39E-17	3.21E-17
"1885-48-9"	"HFE-245fa2"	"CHF2OCH2CF3"	5.5	0.36	2910	812	1670	179	114	7.25E-11	7.45E-11	1.15E-12	1.1E-13	6.21E-14
"188690-77-9"	"HFE-43-10pccc124 (H-Galden 1040x, HG-11)"	"CHF2OCF2OC2F4OCHF2"	13.5	1.02	8010	2820	6600	1530	436	2E-10	2.58E-10	4.52E-12	9.46E-13	2.38E-13
"188690-78-0"	"HFE-338pcc13 (HG-01)"	"CHF2OCF2CF2OCHF2"	12.9	0.86	8430	2910	6860	1500	442	2.1E-10	2.67E-10	4.69E-12	9.28E-13	2.42E-13
"19430-93-4"	"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene"	"C4F9CH=CH 2"	0.02	0.03	0.502	0.136	0.145	0.0227	0.0186	1.25E-14	1.25E-14	9.92E-17	1.4E-17	1.02E-17
"197218-56-7"	"Perfluorobutyl formate"	"HCOOCF2CF2CF2CF3"	3	0.56	1440	392	613	72	54	3.59E-11	3.59E-11	4.19E-13	4.45E-14	2.97E-14
"20193-67-3"	"HFE-236fa"	"CF3CH2OCF3"	7.5	0.36	3350	979	2240	273	138	8.35E-11	8.98E-11	1.53E-12	1.68E-13	7.54E-14
"2024-86-4"	"Difluoromethyl 2,2,2-trifluoroacetate"	"CF3COOCHF2"	0.3	0.24	99	27	30	5	4	2.48E-12	2.48E-12	2.04E-14	2.81E-15	2.04E-15
"205367-61-9"	"1,1-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane"	"HCF2O(CF2CF2O)2CF2H"	26	1.15	9910	4920	9320	4460	1360	2.47E-10	4.51E-10	6.38E-12	2.75E-12	7.45E-13
"209597-28-4"	"Perfluorobutyl acetate"	"CH3COOCF2CF2CF2CF3"	0.06	0.12	6	2	2	0.277	0.229	1.52E-13	1.52E-13	1.21E-15	1.71E-16	1.25E-16
"21652-58-4"	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene"	"C8F17CH=CH2"	0.02	0.03	0.342	0.0929	0.0993	0.0155	0.0128	8.52E-15	8.52E-15	6.79E-17	9.57E-18	7E-18
"22052-81-9"	"HFE-365mcf2"	"CF3CF2OCH2CH3"	0.6	0.26	215	58	66	10	8	5.35E-12	5.35E-12	4.53E-14	6.1E-15	4.4E-15
"22052-84-2"	"HFE-347mmy1"	"(CF3)2CFOCH3"	3.7	0.32	1330	363	624	69	51	3.32E-11	3.33E-11	4.27E-13	4.28E-14	2.76E-14
"22052-86-4"	"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane"	"CF3CF2CF2OCH2CH3"	0.8	0.28	223	61	70	10	8	5.56E-12	5.56E-12	4.8E-14	6.36E-15	4.57E-15
"2240-88-2"	"3,3,3-Trifluoropropan-1-ol"	"CF3CH2CH2OH"	0.03	0.02	1	0.389	0.417	0.065	0.0536	3.57E-14	3.57E-14	2.85E-16	4.01E-17	2.93E-17
"22410-44-2"	"HFE-245cb2"	"CF3CF2OCH3"	4.9	0.33	2360	654	1280	136	91	5.9E-11	6E-11	8.77E-13	8.4E-14	4.99E-14
"2252-84-8"	"HFC-227ca"	"CF3CF2CHF2"	28.2	0.27	5080	2640	4830	2480	806	1.27E-10	2.42E-10	3.31E-12	1.53E-12	4.41E-13
"2261-01-0"	"Trifluoro(fluoromethoxy)methane"	"CH2FOCF3"	4.4	0.33	2730	751	1400	150	105	6.82E-11	6.89E-11	9.59E-13	9.27E-14	5.72E-14
"2356-62-9"	"HFE-227ea"	"CF3CHFOCF3"	51.6	0.44	8900	6450	8980	6850	3630	2.22E-10	5.92E-10	6.15E-12	4.22E-12	1.98E-12
"24270-66-4"	"HFC-245ea"	"CHF2CHFCHF2"	3.2	0.16	863	235	378	44	33	2.15E-11	2.16E-11	2.59E-13	2.7E-14	1.79E-14
"249932-25-0"	"HG-20"	"HF2C(OCF2)2OCF2H"	25	0.92	10900	5300	10200	4730	1400	2.73E-10	4.86E-10	7E-12	2.91E-12	7.68E-13
"249932-26-1"	"HG-21"	"HF2COCF2CF2OC- F2OCF2OCF2H"	13.5	1.71	11100	3890	9110	2120	602	2.76E-10	3.57E-10	6.23E-12	1.31E-12	3.29E-13
"25291-17-2"	"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene"	"C6F13CH=CH2"	0.02	0.03	0.397	0.108	0.115	0.018	0.0148	9.89E-15	9.89E-15	7.87E-17	1.11E-17	8.12E-18
"2551-62-4"	"Sulphur hexafluoride"	"SF6"	3200	0.57	17500	23500	18900	23800	28200	4.37E-10	2.16E-09	1.29E-11	1.47E-11	1.54E-11
"26103-08-2"	"HFE-338mmz1"	"(CF3)2CHOCHF2"	21.2	0.44	5940	2620	5410	2130	575	1.48E-10	2.4E-10	3.7E-12	1.31E-12	3.14E-13
"26675-46-7"	"HCFE-235da2 (isoflurane)"	"CHF2OCHClCF3"	3.5	0.42	1800	491	822	93	68	4.49E-11	4.5E-11	5.62E-13	5.72E-14	3.73E-14
"2699-79-8"	"Sulphuryl fluoride"	"SO2F2"	36	0.2	6840	4090	6690	4140	1650	1.71E-10	3.76E-10	4.58E-12	2.55E-12	9.01E-13
"271257-42-2"	"Perfluoropropyl formate"	"HCOOCF2CF2CF3"	2.6	0.5	1380	376	555	68	52	3.45E-11	3.45E-11	3.8E-13	4.19E-14	2.85E-14
"2837-89-0"	"HCFC-124"	"CHClFCF3"	5.9	0.2	1870	527	1120	121	74	4.67E-11	4.83E-11	7.63E-13	7.46E-14	4.03E-14
"28523-86-6"	"Sevoflurane (HFE-347mmz1)"	"(CF3)2CHOCH2F"	2.2	0.32	795	216	302	38	30	1.98E-11	1.98E-11	2.06E-13	2.37E-14	1.64E-14
"29118-24-9"	"(E)-HFC-1234ze"	"trans-CF3CH=CHF"	0.04	0.04	4	0.953	1.02	0.159	0.131	8.74E-14	8.74E-14	6.98E-16	9.82E-17	7.18E-17
"29118-25-0"	"(Z)-HFC-1234ze"	"CF3CH=CHF(Z)"	0.03	0.02	1	0.285	0.304	0.0475	0.0391	2.61E-14	2.61E-14	2.08E-16	2.93E-17	2.14E-17
"306-83-2"	"HCFC-123"	"CHCl2CF3"	1.3	0.15	292	79	98	14	11	7.28E-12	7.28E-12	6.71E-14	8.45E-15	6E-15
"306-94-5"	"PFC-91-18"	"C10F18"	2000	0.55	5390	7190	5820	7290	8570	1.34E-10	6.59E-10	3.98E-12	4.49E-12	4.68E-12
"307-34-6"	"PFC-71-18"	"C8F18"	3000	0.55	5680	7620	6130	7710	9140	1.42E-10	6.99E-10	4.2E-12	4.76E-12	5E-12
"313064-40-3"	"Perfluoroethyl formate"	"HCOOCF2CF3"	3.5	0.44	2130	580	971	110	81	5.3E-11	5.32E-11	6.64E-13	6.76E-14	4.41E-14
"32042-38-9"	"2,2,2-Trifluoroethyl formate"	"HCOOCH2CF3"	0.4	0.16	123	33	37	6	5	3.07E-12	3.07E-12	2.55E-14	3.48E-15	2.52E-15
"32778-11-3"	"HFE-236ca"	"CHF2OCF2CHF2"	20.8	0.56	9710	4240	8820	3400	912	2.42E-10	3.89E-10	6.03E-12	2.1E-12	4.98E-13
"3330-15-2"	"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2- tetrafluoroethoxy)-propane"	"CF3CF2CF2OCHFCF3"	67	0.58	7940	6490	8140	6960	4380	1.98E-10	5.95E-10	5.57E-12	4.29E-12	2.39E-12
"333-36-8"	"HFE-356mff2"	"CF3CH2OCH2CF3"	0.29	0.17	62	17	18	3	2	1.54E-12	1.54E-12	1.26E-14	1.74E-15	1.26E-15
"335-57-9"	"PFC-61-16"	"n-C7F16"	3000	0.5	5830	7820	6290	7920	9380	1.45E-10	7.17E-10	4.31E-12	4.88E-12	5.13E-12
"343269-97-6"	"Perfluoroethyl acetate"	"CH3COOCF2CF3"	0.06	0.1	8	2	2	0.344	0.283	1.89E-13	1.89E-13	1.51E-15	2.12E-16	1.55E-16
"35042-99-0"	"HFE-356pcf3"	"CHF2OCH2CF2CHF2"	3.5	0.38	1640	446	747	84	62	4.08E-11	4.09E-11	5.11E-13	5.2E-14	3.39E-14
"353-36-6"	"HFC-161"	"CH3CH2F"	0.18	0.02	13	4	4	0.609	0.501	3.33E-13	3.33E-13	2.7E-15	3.76E-16	2.74E-16
"353-59-3"	"Halon-1211"	"CBrClF2"	16	0.29	4590	1750	3950	1130	297	1.15E-10	1.6E-10	2.7E-12	6.98E-13	1.62E-13
"354-15-4"	"HCFC-122a"	"CHFClCFCl2"	3.4	0.21	945	258	426	48	36	2.36E-11	2.37E-11	2.91E-13	2.99E-14	1.96E-14
"354-21-2"	"HCFC-122"	"CHCl2CF2Cl"	1	0.17	218	59	70	10	8	5.43E-12	5.43E-12	4.81E-14	6.25E-15	4.47E-15
"354-23-4"	"HCFC-123a"	"CHClFCF2Cl"	4	0.23	1350	370	659	72	51	3.37E-11	3.39E-11	4.51E-13	4.44E-14	2.81E-14
"354-33-6"	"HFC-125"	"CHF2CF3"	28.2	0.23	6090	3170	5800	2980	967	1.52E-10	2.91E-10	3.97E-12	1.84E-12	5.29E-13
"355-25-9"	"PFC-31-10"	"C4F10"	2600	0.36	6870	9200	7420	9320	11000	1.71E-10	8.44E-10	5.08E-12	5.75E-12	6.02E-12
"355-42-0"	"PFC-51-14"	"n-C6F14"	3100	0.44	5890	7910	6370	8010	9490	1.47E-10	7.26E-10	4.35E-12	4.94E-12	5.19E-12
"357-26-6"	"Perfluorobut-1-ene"	"CF3CF2CF=CF2"	0.02	0.02	0.337	0.0914	0.0975	0.0153	0.0126	8.38E-15	8.38E-15	6.67E-17	9.41E-18	6.88E-18
"359-13-7"	"2,2-Difluoroethanol"	"CHF2CH2OH"	0.11	0.04	11	3	3	0.506	0.417	2.78E-13	2.78E-13	2.23E-15	3.12E-16	2.28E-16
"359-15-9"	"Difluoro(methoxy)methane"	"CH3OCHF2"	1.1	0.17	528	144	173	25	20	1.32E-11	1.32E-11	1.18E-13	1.52E-14	1.08E-14
"359-35-3"	"HFC-134"	"CHF2CHF2"	9.7	0.19	3580	1120	2660	412	160	8.93E-11	1.02E-10	1.82E-12	2.54E-13	8.73E-14
"360-89-4"	"Perfluorobut-2-ene"	"CF3CF=CFCF3"	0.08	0.07	6	2	2	0.295	0.243	1.62E-13	1.62E-13	1.3E-15	1.82E-16	1.33E-16
"37031-31-5"	"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane"	"CH2FOCF2CF2H"	6.2	0.34	3080	871	1880	207	122	7.68E-11	7.99E-11	1.29E-12	1.28E-13	6.68E-14
