"CAS"	"Name"	"Formula"	"Lifetime, years"	"Radiative efficiency, W/m^2/ppb"	"20yr GWP"	"100yr GWP"	"20yr GTP"	"50yr GTP"	"100yr GTP"	"20yr AGWP"	"100yr AGWP"	"20yr AGTP"	"50yr AGTP"	"100yr AGTP"
"60433-11-6"	"Perfluorodecalin (cis)"	"Z-C10F18"	2000	0.56	5430	7240	5860	7340	8630	1.35E-10	6.64E-10	4.01E-12	4.52E-12	4.72E-12
"60433-12-7"	"Perfluorodecalin (trans)"	"E-C10F18"	2000	0.48	4720	6290	5090	6380	7500	1.18E-10	5.77E-10	3.48E-12	3.93E-12	4.1E-12
"60598-17-6"	"1,1,2,2-Tetrafluoro-3-methoxy-propane"	"CHF2CF2CH2OCH3"	0.04	0.03	2	0.526	0.561	0.0877	0.0724	4.82E-14	4.82E-14	3.84E-16	5.41E-17	3.96E-17
"624-72-6"	"HFC-152"	"CH2FCH2F"	0.4	0.04	60	16	18	3	2	1.51E-12	1.51E-12	1.25E-14	1.71E-15	1.24E-15
"67-66-3"	"Chloroform"	"CHCl3"	0.4	0.08	60	16	18	3	2	1.5E-12	1.5E-12	1.25E-14	1.7E-15	1.24E-15
"677-21-4"	"HFC-1243zf"	"CF3CH=CH2"	0.02	0.01	1	0.149	0.159	0.0248	0.0205	1.37E-14	1.37E-14	1.09E-16	1.53E-17	1.12E-17
"677-56-5"	"HFC-236cb"	"CH2FCF2CF3"	13.1	0.23	3480	1210	2840	636	185	8.67E-11	1.11E-10	1.94E-12	3.92E-13	1.01E-13
"678-26-2"	"PFC-41-12"	"n-C5F12"	4100	0.41	6350	8550	6860	8650	10300	1.58E-10	7.84E-10	4.69E-12	5.33E-12	5.62E-12
"679-86-7"	"HFC-245ca"	"CH2FCF2CHF2"	6.5	0.24	2510	716	1570	176	100	6.26E-11	6.56E-11	1.07E-12	1.09E-13	5.49E-14
"685-63-2"	"Perfluorobuta-1,3-diene"	"CF2=CFCF=CF2"	0	0	0.0132	0.00359	0.00382	0.000598	0.000494	3.29E-16	3.29E-16	2.61E-18	3.69E-19	2.7E-19
"690-22-2"	"HFE-263m1"	"CF3OCH2CH3"	0.4	0.13	108	29	33	5	4	2.7E-12	2.7E-12	2.25E-14	3.06E-15	2.22E-15
"690-39-1"	"HFC-236fa"	"CF3CH2CF3"	242	0.24	6940	8060	7400	8400	8380	1.73E-10	7.39E-10	5.06E-12	5.18E-12	4.58E-12
"692-49-9"	"(Z)-HFC-1336"	"CF3CH=CHCF3(Z)"	0.06	0.07	6	2	2	0.28	0.23	1.54E-13	1.54E-13	1.23E-15	1.73E-16	1.26E-16
"69991-67-9"	"PFPMIE (perfluoropolymethylisopropyl ether)"	"CF3OCF(CF3) CF2OCF2OCF3"	800	0.65	7500	9710	8070	9910	11300	1.87E-10	8.9E-10	5.52E-12	6.11E-12	6.15E-12
"71-55-6"	"Methyl chloroform"	"CH3CCl3"	5	0.07	578	160	317	34	22	1.44E-11	1.47E-11	2.17E-13	2.07E-14	1.22E-14
"73287-23-7"	"HG’-01"	"CH3OCF2CF2OCH3"	2	0.29	815	222	301	39	31	2.03E-11	2.03E-11	2.06E-13	2.42E-14	1.68E-14
"74123-20-9"	"Trifluoromethyl acetate"	"CH3COOCF3"	0.06	0.07	8	2	2	0.347	0.285	1.9E-13	1.9E-13	1.52E-15	2.14E-16	1.56E-16
"74-82-8"	"Methane"	"CH4"	12.4	0	84	28	67	14	4	2.09E-12	2.61E-12	4.62E-14	8.69E-15	2.34E-15
"74-83-9"	"Methyl bromide"	"CH3Br"	0.8	0	9	2	3	0.4	0.325	2.16E-13	2.16E-13	1.87E-15	2.47E-16	1.78E-16
"74-87-3"	"Methyl chloride"	"CH3Cl"	1	0.01	45	12	15	2	2	1.12E-12	1.12E-12	9.93E-15	1.29E-15	9.2E-16
"74-95-3"	"Methylene bromide"	"CH2Br2"	0.3	0.01	4	1	1	0.17	0.14	9.31E-14	9.31E-14	7.66E-16	1.05E-16	7.65E-17
"75-02-5"	"HFC-1141"	"CH2=CHF"	0.01	0	0.0618	0.0168	0.018	0.0028	0.00232	1.54E-15	1.54E-15	1.23E-17	1.73E-18	1.27E-18
"75-09-2"	"Methylene chloride"	"CH2Cl2"	0.4	0.03	33	9	10	2	1	8.18E-13	8.18E-13	6.78E-15	9.26E-16	6.72E-16
"75-10-5"	"HFC-32"	"CH2F2"	5.2	0.11	2430	677	1360	145	94	6.07E-11	6.21E-11	9.32E-13	8.93E-14	5.17E-14
"75-37-6"	"HFC-152a"	"CH3CHF2"	1.5	0.1	506	138	174	24	19	1.26E-11	1.26E-11	1.19E-13	1.47E-14	1.04E-14
"75-38-7"	"HFC-1132a"	"CH2=CF2"	0.01	0	0.155	0.0422	0.045	0.00705	0.00581	3.87E-15	3.87E-15	3.08E-17	4.35E-18	3.18E-18
"754-12-1"	"HFC-1234yf"	"CF3CF=CH2"	0.03	0.02	1	0.351	0.376	0.0587	0.0484	3.22E-14	3.22E-14	2.57E-16	3.62E-17	2.65E-17
"75-43-4"	"HCFC-21"	"CHCl2F"	1.7	0.15	543	148	192	26	20	1.35E-11	1.35E-11	1.31E-13	1.59E-14	1.12E-14
"75-45-6"	"HCFC-22"	"CHClF2"	11.9	0.21	5280	1760	4200	832	262	1.32E-10	1.62E-10	2.87E-12	5.13E-13	1.43E-13
"75-46-7"	"HFC-23"	"CHF3"	222	0.18	10800	12400	11500	13000	12700	2.7E-10	1.14E-09	7.88E-12	7.99E-12	6.95E-12
"755-02-2"	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol"	"CF3(CF2)6CH2CH2OH"	0.05	0.07	1	0.327	0.351	0.0546	0.045	3E-14	3E-14	2.4E-16	3.37E-17	2.46E-17
"756-13-8"	"perfluoro-2-methyl-3-pentanone"	"CF3CF2C(O)CF(CF3)2"	0.02	0.03	0.367	0.0997	0.106	0.0167	0.0137	9.14E-15	9.14E-15	7.27E-17	1.03E-17	7.51E-18
"75-61-6"	"Halon-1202"	"CBr2F2"	2.9	0.27	848	231	356	42	32	2.12E-11	2.12E-11	2.43E-13	2.61E-14	1.75E-14
"75-63-8"	"Halon-1301"	"CBrF3"	65	0.3	7800	6290	7990	6750	4170	1.95E-10	5.77E-10	5.46E-12	4.16E-12	2.28E-12
"75-68-3"	"HCFC-142b"	"CH3CClF2"	17.2	0.19	5020	1980	4390	1370	356	1.25E-10	1.82E-10	3.01E-12	8.46E-13	1.95E-13
"75-69-4"	"CFC-11"	"CCl3F"	45	0.26	6900	4660	6890	4890	2340	1.72E-10	4.28E-10	4.71E-12	3.01E-12	1.28E-12
"75-71-8"	"CFC-12"	"CCl2F2"	100	0.32	10800	10200	11300	11000	8450	2.69E-10	9.39E-10	7.71E-12	6.75E-12	4.62E-12
"75-72-9"	"CFC-13"	"CClF3"	640	0.25	10900	13900	11700	14200	15900	2.71E-10	1.27E-09	7.99E-12	8.77E-12	8.71E-12
"75-73-0"	"PFC-14"	"CF4"	50000	0.09	4880	6630	5270	6690	8040	1.22E-10	6.08E-10	3.61E-12	4.12E-12	4.4E-12
"75-89-8"	"2,2,2-Trifluoroethanol"	"CF3CH2OH"	0.3	0.1	73	20	22	3	3	1.83E-12	1.83E-12	1.5E-14	2.07E-15	1.5E-15
"76-13-1"	"CFC-113"	"CCl2FCClF2"	85	0.3	6490	5820	6730	6250	4470	1.62E-10	5.34E-10	4.6E-12	3.85E-12	2.45E-12
"76-14-2"	"CFC-114"	"CClF2CClF2"	190	0.31	7710	8590	8190	9020	8550	1.92E-10	7.88E-10	5.6E-12	5.56E-12	4.68E-12
"76-15-3"	"CFC-115"	"CClF2CF3"	1020	0.2	5860	7670	6310	7810	8980	1.46E-10	7.03E-10	4.32E-12	4.81E-12	4.91E-12
"76-16-4"	"PFC-116"	"C2F6"	10000	0.25	8210	11100	8880	11200	13500	2.05E-10	1.02E-09	6.07E-12	6.93E-12	7.36E-12
"76-19-7"	"PFC-218"	"C3F8"	2600	0.28	6640	8900	7180	9010	10700	1.66E-10	8.16E-10	4.91E-12	5.56E-12	5.83E-12
"76-37-9"	"2,2,3,3-Tetrafluoro-1-propanol"	"CHF2CF2CH2OH"	0.25	0.11	48	13	14	2	2	1.19E-12	1.19E-12	9.72E-15	1.35E-15	9.79E-16
"7783-54-2"	"Nitrogen trifluoride"	"NF3"	500	0.2	12800	16100	13700	16500	18100	3.19E-10	1.47E-09	9.39E-12	1.02E-11	9.91E-12
"78522-47-1"	"HFE-236ca12 (HG-10)"	"CHF2OCF2OCHF2"	25	0.65	11000	5350	10300	4770	1420	2.75E-10	4.91E-10	7.06E-12	2.94E-12	7.75E-13
"811-97-2"	"HFC-134a"	"CH2FCF3"	13.4	0.16	3710	1300	3050	703	201	9.26E-11	1.19E-10	2.09E-12	4.33E-13	1.1E-13
"84011-06-3"	"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane"	"CHF2CHFOCF3"	9.8	0.35	3970	1240	2960	467	178	9.91E-11	1.14E-10	2.03E-12	2.88E-13	9.74E-14
"84011-15-4"	"HFE-245fa1"	"CHF2CH2OCF3"	6.6	0.31	2900	828	1820	206	116	7.22E-11	7.59E-11	1.25E-12	1.27E-13	6.35E-14
"85358-65-2"	"Trifluoromethyl formate"	"HCOOCF3"	3.5	0.31	2150	588	984	111	82	5.37E-11	5.39E-11	6.73E-13	6.85E-14	4.47E-14
"856766-70-6"	"1,1,1,3,3,3-Hexafluoropropan-2-yl formate"	"HCOOCH(CF3)2"	3.2	0.33	1220	333	535	62	46	3.05E-11	3.05E-11	3.66E-13	3.81E-14	2.53E-14
"87017-97-8"	"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Non- adecafluoroundecan-1-ol"	"CF3(CF2)8CH2CH2OH"	0.05	0.05	0.691	0.188	0.2	0.0313	0.0258	1.72E-14	1.72E-14	1.37E-16	1.93E-17	1.41E-17
"920-66-1"	"1,1,1,3,3,3-Hexafluoropropan-2-ol"	"(CF3)2CHOH"	1.9	0.26	668	182	243	32	25	1.67E-11	1.67E-11	1.66E-13	1.97E-14	1.38E-14
"920979-28-8"	"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2- tetrafluoro-1-(trifluoromethyl)ethyl]-furan"	"C12H5F19O2"	1	0.49	204	56	66	10	8	5.09E-12	5.09E-12	4.53E-14	5.86E-15	4.19E-15
"931-91-9"	"PFC-c216"	"c-C3F6"	3000	0.23	6850	9200	7400	9310	11000	1.71E-10	8.44E-10	5.06E-12	5.74E-12	6.03E-12
