Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
Butane	106-97-8		n-C4H10	0.019	0	5.42E-016	0.022	5.53E-016	0.006	5.53E-016	0.002	5.79E-019	0.001	4.4E-019	0.001	0.635	0.751
2-methylpentan-3-one	565-69-5		CH3CH2COCH(CH3)2	0.015	0.02	0.0000000000000175	0.719	0.0000000000000179	0.2	0.0000000000000179	0.057	1.87E-017	0.044	1.42E-017	0.036	20.5	24.3
Ethyl methyl ether	540-67-0		CH3CH2OCH3	0.005	0.002	8.56E-016	0.035	8.73E-016	0.01	8.73E-016	0.003	9.14E-019	0.002	6.94E-019	0.002	1	1.19
2,2,3,3,4,4,5,5-octafluorooxolane	773-14-8	Octafluorooxolane	c-C4F8O	3000	0.463	0.000000000246	10100	0.00000000124	13900	0.00000000589	18800	0.00000000000618	14500	0.00000000000665	16900		
Crotonaldehyde	4170-30-3		CH3CH=CHCHO	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Methyl vinyl ketone	78-94-4	MVK	CH3COCH=CH2	0.001	0	2.48E-017	0.001	2.53E-017	0	2.53E-017	0	2.64E-020	0	2.01E-020	0	0.029	0.034
Allyl ether	557-40-4	AE	(CH2=CHCH2)2O	0	0.001	1.19E-017	0	1.21E-017	0	1.21E-017	0	1.27E-020	0	9.65E-021	0	0.014	0.017
Allyl ethyl ether	557-31-3	AEE	CH3CH2OCH2CH=CH2	0.001	0.001	3.39E-017	0.001	3.46E-017	0	3.46E-017	0	3.62E-020	0	2.75E-020	0	0.04	0.047
(z)-hex-2-en-1-ol	928-94-9		CH3CH2CH2CH=CHCH2OH	0	0.038	2.23E-016	0.009	2.28E-016	0.003	2.28E-016	0.001	2.38E-019	0.001	1.81E-019	0	0.261	0.309
(e)-hex-2-en-1-ol	928-95-0		CH3CH2CH2CH=CHCH2OH	0	0.036	2.08E-016	0.009	2.12E-016	0.002	2.12E-016	0.001	2.22E-019	0.001	1.68E-019	0	0.243	0.288
3-butenenitrile	109-75-1	Allyl cyanide	CH2=CHCH2CN	0.002	0	4.08E-017	0.002	4.16E-017	0	4.16E-017	0	4.35E-020	0	3.3E-020	0	0.048	0.056
Hexamethyldisiloxane	107-46-0		C6H18OSi2	0.025	0.047	0.0000000000000418	1.72	0.0000000000000426	0.476	0.0000000000000426	0.136	4.46E-017	0.104	3.39E-017	0.086	48.9	57.9
Octamethyltrisiloxane	107-51-7		C8H24O2Si3	0.019	0.06	0.0000000000000285	1.17	0.000000000000029	0.325	0.000000000000029	0.093	3.04E-017	0.071	2.31E-017	0.058	33.3	39.4
Decamethyltetrasiloxane	141-62-8		C10H30O3Si4	0.014	0.06	0.0000000000000155	0.635	0.0000000000000158	0.176	0.0000000000000158	0.05	1.65E-017	0.039	1.25E-017	0.032	18.1	21.4
Dodecamethylpentasiloxane	141-63-9		C12H36O4Si5	0.011	0.064	0.0000000000000107	0.439	0.0000000000000109	0.122	0.0000000000000109	0.035	1.14E-017	0.027	8.67E-018	0.022	12.5	14.8
Hexamethylcyclotrisiloxane	541-05-9		C6H18O3Si3	0.038	0.1	0.000000000000101	4.14	0.000000000000103	1.15	0.000000000000103	0.328	1.08E-016	0.252	8.18E-017	0.207	118	140
Octamethylcyclotetrasiloxane	556-67-2		C8H24O4Si4	0.027	0.12	0.0000000000000648	2.66	0.0000000000000661	0.739	0.0000000000000661	0.211	6.92E-017	0.162	5.25E-017	0.133	75.9	89.8
Decamethylcyclopentasiloxane	541-02-6		C10H30O5Si5	0.016	0.098	0.0000000000000253	1.04	0.0000000000000258	0.289	0.0000000000000258	0.082	2.71E-017	0.063	2.05E-017	0.052	29.7	35.1
Dodecamethylcyclohexasiloxane	540-97-6		C12H36O6Si6	0.011	0.086	0.0000000000000124	0.51	0.0000000000000127	0.142	0.0000000000000127	0.04	1.33E-017	0.031	1.01E-017	0.026	14.6	17.2
