Name	CAS	Acronym	Formula	Lifetime, years	Radiative efficiency, W/m^2/ppb	20yr AGWP	20yr GWP	100yr AGWP	100yr GWP	500yr AGWP	500yr GWP	50yr AGTP	50yr GTP	100yr AGTP	100yr GTP	50yr CGTP	100yr CGTP
2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane	57041-67-5	HFE-236ea2	CHF2OCHFCF3	14.1	0.464	0.000000000171	7020	0.000000000232	2590	0.000000000233	741	0.000000000000537	1260	0.000000000000206	521	249000	308000
1,1,1-trifluoro-2-(trifluoromethoxy)ethane	20193-67-3	HFE-236fa	CF3CH2OCF3	7.5	0.371	0.0000000000894	3670	0.0000000000987	1100	0.0000000000988	315	0.000000000000125	291	0.0000000000000811	205	111000	133000
1,1,1,2,2-pentafluoro-2-methoxyethane	22410-44-2	HFE-245cb2	CF3CF2OCH3	5	0.336	0.000000000064	2630	0.0000000000669	747	0.0000000000669	213	0.0000000000000743	174	0.0000000000000542	137	75900	90100
1,1-difluoro-2-(trifluoromethoxy)ethane	84011-15-4	HFE-245fa1	CHF2CH2OCF3	6.7	0.314	0.0000000000772	3170	0.0000000000836	934	0.0000000000836	266	0.0000000000000998	233	0.0000000000000683	173	94300	112000
2-(difluoromethoxy)-1,1,1-trifluoroethane	1885-48-9	HFE-245fa2	CHF2OCH2CF3	5.5	0.36	0.0000000000745	3060	0.0000000000786	878	0.0000000000786	251	0.0000000000000886	207	0.0000000000000639	162	89000	106000
2,2,3,3,3-pentafluoropropan-1-ol	422-05-9		CF3CF2CH2OH	0.471	0.164	0.000000000003	123	0.00000000000307	34.3	0.00000000000307	9.78	3.23E-015	7.54	2.44E-015	6.19	3520	4160
1,1,2,2-tetrafluoro-1-methoxyethane	425-88-7	HFE-254cb1	CH3OCF2CHF2	2.5	0.26	0.0000000000287	1180	0.0000000000293	328	0.0000000000293	93.5	0.0000000000000314	73.4	0.0000000000000235	59.6	33500	39700
1,1,1-trifluoro-2-methoxyethane	460-43-5	HFE-263mf	CF3CH2OCH3	0.077	0.046	0.000000000000181	7.43	0.000000000000184	2.06	0.000000000000184	0.588	1.93E-016	0.452	1.47E-016	0.371	212	250
Trifluoromethoxyethane	690-22-2	HFE-263m1	CF3OCH2CH3	0.397	0.126	0.00000000000256	105	0.00000000000261	29.2	0.00000000000261	8.32	2.74E-015	6.42	2.08E-015	5.27	2990	3540
3,3,3-trifluoropropan-1-ol	2240-88-2		CF3CH2CH2OH	0.041	0.026	0.0000000000000544	2.23	0.0000000000000555	0.62	0.0000000000000555	0.177	5.81E-017	0.136	4.41E-017	0.112	63.7	75.3
