CAS	Chemical	Formula 	Tt	Pt	Pt_uncertainty
460-34-4	1, 1, 1-Trifluorobutane 	C4H7F3	158.374056		
462-06-6	Fluorobenzene 	CsHsF	230.94792		
463-49-0	Propadiene (Allene) 	C3H4	136.604053		
463-58-1	Carbonyl sulfide 	COS	134.324073		
463-82-1	Neopentane 	(CH3)4C 	256.753584	35793.05625	17.3319078947368
464-06-2	2, 2, 3-Trimethylbutane 	07H16	248.575318		
503-17-3	Dimethylacetylene 	C4H6	240.936856		
504-64-3	Carbon suboxide 	C302	160.973949	21.3315789473684	
506-80-9	Carbon diselenide 	CSe2	229.458048		
513-35-9	2-Methyl-2-butene 	CsHlo	139.434009		
534-22-5	2-Methylfuran 	C5H60	181.91197		
540-84-1	Isooctane 	C8His	165.853513		
544-25-2	1,3, 5-Cycloheptatriyne 	C7H2	197.931252		
544-40-1	5-Thianonane 	CeHlsS	198.141226		
554-14-3	2-Methylthiophene 	C5H6S	209.80002		
563-45-1	3-Methyl-1-butene 	C5Hlo	104.7296		
563-46-2	2-Methyl- 1-butene 	C5HlO	135.634064		
563-79-1	2, 3-Dimethyl-2-butene 	C6H12	198.931129		
565-75-3	2, 3, 4-Trimethylpentane 	C8H18	163.643742		
583-57-3	trans-1, 2-Dimethyl- cyclohexane 	C8H16	185.002005		
589-34-4	2-Ethylpentane 	C7H16	154.594073		
590-18-1	cis-2-Butene 	C4H8	134.274073		
590-19-2	1,2-Butadiene 	C4H6	136.964048		
590-35-2	2, 2-Dimethylpentane 	C7H16	149.443992		
590-66-9	1, 1-Dimethylcyclohexane 	C8H16	239.817028		
592-41-6	1-Hexene 	C6H12	133.404072		
592-76-7	1 -Heptene 	C7H14	154.31407		
594-11-6	Methylcyclopropane 	C4H8	95.647892		
594-91-2	Perfluoroisopentane 	C5F12	175.362341		
616-44-4	3-Methylthiophene 	C5H6S	204.200551		
624-29-3	cis-1,4-Dimethyl- cyclohexane 	C8H16	185.742018		
624-64-6	t rans-2-Butene 	C4He	167.623304		
624-92-0	Dimethyl disulfide 	C2H6S2	188.452035		
627-20-3	cis-2-Pentene 	C5Hlo	121.813254		
628-29-5	2-Thiahexane 	C5H12S	175.312346		
630-08-0	Carbon monoxide 	CO 	68.157078	15381.4016447368	9.33256578947369
638-02-8	2, 5-Dimethylthiophene 	C6H8S	210.589945		
638-04-0	cis-1,3-Dimethyl- cycl ohexane 	CsH16	197.601292		
646-04-8	trans-2-Pentene 	C5Hlo	132.964069		
678-26-2	Perfluoro-n-pentane 	C5F12	148.363979		
684-16-2	Hexafluoroacetone 	C3F60	147.713974		
697-11-0	Perfluorocyclobutene 	C4F6	212.789732		
865-52-1	Tetramethylgermane 	C4H12Ge	184.381994	21.3315789473684	
865-71-4	3-Trifluoromethylper-fluoropentane 	C6F14	157.764068		
1191-96-4	Ethylcyclopropane 	C5HlO	123.563475		
1493-15-8	Trifluoromethylmercaptan 	CF3SH	116.052343		
1551-21-9	3-Methyl-2-thiabutane 	C4HIoS	171.662785		
1678-91-7	Ethylcyclohexane 	C8H16	161.85389		
1679-07-8	Cyclopentyl merceptan 	CsHloS	155.404079		
1741-01-1	Trimethylhydrazine 	C3HloN2	201.250859		
2207-01-4	cis-1,2-Dimethyl- cyclohexane 	C8H16	223.288656		
2207-03-6	trans-1,3-Dimethyl- cyclohexane 	C8H16	183.071976		
2207-04-7	trans-1,4-Dimethyl- cyclohexane 	C8H16	236.22746		
2551-62-4	Sulphur hexafluoride 	SF6	222.408748	225048.157894737	
2699-79-8	Sulfuryl fluoride 	SO2F2	136.644052		
3581-87-1	2-Methylthiazole 	C4HsNS	248.525329		
3877-15-4	2-Thiapentane 	C4HloS	160.183992		
4110-50-3	3-Thiahexane 	CsH12S	156.114081		
6163-64-0	3, 3-Dimethyl-2-thiabutane 	C5H12S	190.851961		
7439-90-9	Krypton 	Kr 	115.77229	72999.3296052632	11.9990131578947
7439-97-6	Mercury 	Hg 	234.317638	0.000266644736842105	
7440-01-9	Neon 	Ne	24.554567	43356.4342105263	21.3315789473684
7440-37-1	Argon 	Ar 	83.808	68898.3335526316	10.6657894736842
7440-63-3	Xenon 	Xe 	161.403921	81674.6161184211	10.6657894736842
7446-09-5	Sulphur dioxide 	SO2 	197.711279	1674.52894736842	1.33322368421053
7616-94-6	Perchloryl fluoride 	CI03F	125.653698		
7637-07-2	Boron trifluoride 	BF3	144.723964	8343.31381578947	
7647-01-0	Hydrogen chloride 	HCI 	159.064037	13810.8641447368	9.33256578947369
7664-39-3	Hydrogen fluoride 	HF	189.802007		
7664-41-7	Ammonia 	NH 3 	195.491545	6079.5	2.66644736842105
7704-34-9	Hydrogen sulfide 	H2S 	187.622037	23183.4266447368	
7723-14-0	Phosphine 	PH3	139.36401	3651.69967105263	
7727-37-9	Nitrogen 	N2 	63.154106	12526.9697368421	7.99934210526316
7782-41-4	Fluorine 	F2	53.476509	251.979276315789	
7782-50-5	Chlorine 	CI2	172.232712	1391.88552631579	
7783-07-5	Hydrogen selenide 	H2Se	207.440241		
7783-42-8	Thionyl fluoride 	SOF2	143.263968		
7783-54-2	Nitrogen trifluoride 	NF3	66.376036		
7783-55-3	Phosphorus trifluoride 	PF3	121.863261	1426.54934210526	
7783-61-1	Silicon tetrafluoride 	SiF4	186.362027	223888.253289474	
7784-42-1	Arsine 	AsH3	156.244081	2983.75460526316	
7790-91-2	Chlorine trifluoride 	CIF3	196.851384		
10024-97-2	Nitrous oxide 	N20 	182.34197	87864.7736842105	11.9990131578947
10034-85-2	Hydrogen iodide 	HI	222.508737	6764.77697368421	
10035-10-6	Hydrogen bromide 	HBr	186.272026	32550.65625	
10102-43-9	Nitric oxide 	NO 	109.500864	21915.5309210526	3.99967105263158
10294-33-4	Boron tribromide 	BBr3	225.318446		
13478-20-1	Phosphoryl trifluoride 	POF3	233.457712	103199.5125	
13701-67-2	Diboron tetrachloride 	B2CI4	180.221994		
13765-45-2	Germane 	GeH4 	107.280251		
17778-80-2	Oxygen 	O2	54.357352	146.654605263158	0
19287-45-7	Diborane 	B2H6	108.320539		
40626-78-6	2-Methylhexane 	C7H16	154.914076		
