CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
110-00-9	17800.0	1800.0	5300.0
110-12-3	16000.0	5700.0	4100.0
110-19-0	15100.0	3700.0	6300.0
110-49-6	15900.0	5500.0	11600.0
110-54-3	14900.0	0.0	0.0
110-82-7	16800.0	0.0	200.0
110-86-1	19000.0	8800.0	5900.0
110-91-8	18800.0	4900.0	9200.0
111-15-9	15900.0	4700.0	10600.0
111-40-0	16700.0	13300.0	14300.0
111-42-2	17200.0	10800.0	21200.0
111-44-4	18800.0	9000.0	5700.0
111-46-6	16600.0	12000.0	20700.0
111-65-9	15500.0	0.0	0.0
111-76-2	16000.0	5100.0	12300.0
111-77-3	16200.0	7800.0	12600.0
111-84-2	15700.0	0.0	0.0
111-87-5	16000.0	5000.0	11900.0
111-90-0	16100.000000000002	9200.0	12200.0
111-96-6	15700.0	6100.0	6500.0
112-07-2	15300.0	4500.0	8800.0
112-27-6	16000.0	12500.0	18600.0
112-30-1	16000.0	4700.0	10000.0
112-34-5	16000.0	7000.0	10600.0
112-35-6	16000.0	3100.0	8400.0
112-40-3	16000.0	0.0	0.0
112-59-4	16000.0	6000.0	10000.0
112-62-9	14500.0	3900.0	3700.0
112-70-9	16200.0	3100.0	9000.0
112-80-1	16000.0	28000.0	6200.0
112-95-8	16500.0	0.0	0.0
117-81-7	16600.0	7000.0	3100.0
119-36-8	18100.0	8000.0	13900.0
119-64-2	19600.0	2000.0	2900.0
121-44-8	17800.0	400.0	1000.0
122-99-6	17400.0	5300.0	11500.0
123-42-2	15800.0	8200.0	10800.0
123-54-6	17100.0	9000.0	4100.0
123-72-8	15600.0	10100.0	6200.0
123-86-4	15800.0	3700.0	6300.0
123-91-1	19000.0	1800.0	7400.0
123-92-2	15300.0	3100.0	7000.0
123-96-6	16100.000000000002	4900.0	11000.0
124-07-2	15100.0	3300.0	8200.0
124-17-4	16000.0	4100.0	8200.0
124-18-5	15700.0	0.0	0.0
126-73-8	16300.0	6300.0	4300.0
126-98-7	15800.0	15100.0	5400.0
127-18-4	18300.0	5700.0	0.0
127-19-5	16800.0	11500.0	10200.0
128-37-0	16200.0	9200.0	16400.0
131-11-3	18600.0	10800.0	4900.0
138-22-7	15800.0	6500.0	10200.0
140-88-5	15500.0	7100.0	5500.0
141-32-2	15600.0	6200.0	4900.0
141-43-5	17000.0	15500.0	21200.0
141-78-6	15800.0	5300.0	7200.0
141-79-7	16400.0	6100.0	6100.0
142-82-5	15300.0	0.0	0.0
142-84-7	15300.0	1400.0	4100.0
142-91-6	14300.0	3900.0	3700.0
143-28-2	16000.0	2600.0	8000.0
306-98-9	12400.0	0.0	0.0
335-57-9	12000.0	0.0	0.0
352-93-2	16800.0	3100.0	2000.0
355-02-2	12400.0	0.0	0.0
493-01-6	18800.0	0.0	0.0
493-02-7	18000.0	0.0	0.0
512-56-1	16700.0	15900.0	10200.0
540-54-5	16000.0	7800.0	2000.0
540-84-1	14100.0	0.0	0.0
541-41-3	15500.0	10000.0	6700.0
542-18-7	17300.0	5500.0	2000.0
544-76-3	16300.0	0.0	0.0
591-78-6	15300.0	6100.0	4100.0
616-45-5	19400.0	17400.0	11300.0
616-47-7	19700.0	15600.0	11200.0
627-30-5	17500.0	5700.0	14700.0
628-63-7	15800.0	3300.0	6100.0
632-22-4	16700.0	8200.0	11000.0
680-31-9	18500.0	8600.0	11300.0
748-30-1	19600.0	3100.0	5100.0
872-50-4	18000.0	12300.0	7200.0
1330-20-7	17600.0	1000.0	3100.0
1330-78-5	19000.0	12300.0	4500.0
1569-01-3	15800.0	7000.0	9200.0
1569-02-4	15700.0	6500.0	10500.0
1634-04-4	14800.0	4300.0	5000.0
1653-40-3	14400.0	7300.0	12900.0
7732-18-5	15500.0	16000.0	42300.0
9003-13-8	15300.0	4500.0	9200.0
23436-19-3	15100.0	4700.0	9800.0
25265-71-8	16500.0	10600.0	17700.0
27986-36-3	16700.0	10200.0	8400.0
34590-94-8	15500.0	5700.0	11200.0
35693-92-6	19200.0	5300.0	4100.0
64742-95-6	17900.0	700.0	1800.0
