CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
91-16-7	19200.0	4400.0	9400.0
91-20-3	19200.0	2000.0	5900.0
91-22-5	19800.0	5600.0	5700.0
91-23-6	19600.0	16300.0	5500.0
91-64-5	20000.0	12500.0	6700.0
92-52-4	19700.0	1000.0	2000.0
93-58-3	18900.0	8200.0	4700.0
93-89-0	17900.0	6200.0	6000.0
94-04-2	15600.0	2700.0	5800.0
95-13-6	18700.0	2600.0	9000.0
95-14-7	18700.0	15600.0	12400.0
95-16-9	20600.0	5200.0	8400.0
95-46-5	19300.0	5000.0	4200.0
95-47-6	17800.0	1000.0	3100.0
95-50-1	19200.0	6300.0	3300.0
95-53-4	19400.0	5800.0	9400.0
95-57-8	20300.0	5500.0	13900.0
95-63-6	18000.0	1000.0	1000.0
95-65-8	19200.0	6000.0	13400.0
95-68-1	19200.0	5200.0	8700.0
95-75-0	19800.0	9800.0	2500.0
95-92-1	16200.0	8000.0	8800.0
95-94-3	21200.0	10700.0	3400.0
96-02-6	20400.0	17300.0	11500.0
96-09-3	19400.0	5800.0	6600.0
96-18-4	17800.0	12300.0	3400.0
96-22-0	15800.0	7600.0	4700.0
96-23-1	17500.0	9900.0	14600.0
96-29-7	14700.0	4900.0	7800.0
96-43-5	19200.0	6200.0	8000.0
96-47-9	16900.0	5000.0	4300.0
97-53-0	19000.0	7500.0	13000.0
97-63-2	15800.0	7200.0	7500.0
97-64-3	16000.0	7600.0	12500.0
97-85-8	15100.0	2900.0	5900.0
97-88-1	15600.0	6400.0	6600.0
97-95-0	15800.0	4300.0	13500.0
98-07-7	20200.0	6600.0	3200.0
98-08-8	17500.0	8800.0	0.0
98-82-8	18100.0	1200.0	1200.0
98-86-2	19600.0	8600.0	3700.0
98-87-3	19900.0	6600.0	2400.0
98-88-4	20700.0	8200.0	4500.0
98-95-3	20000.0	8600.0	4100.0
99-09-2	21200.0	18700.0	10300.0
99-54-7	20100.0	7200.0	4100.0
99-75-2	19000.0	6500.0	3800.0
99-91-2	19600.0	7600.0	4000.0
99-99-0	20100.0	9600.0	3900.0
100-00-5	20400.0	9600.0	4200.0
100-06-1	18900.0	11200.0	7000.0
100-21-0	18800.0	6100.0	10700.0
100-37-8	14900.0	5800.0	12000.0
100-41-4	17800.0	600.0	1400.0
100-42-5	18600.0	1000.0	4100.0
100-43-6	18100.0	7200.0	6800.0
100-44-7	18800.0	7100.0	2600.0
100-46-9	19200.0	4600.0	11700.0
100-47-0	17400.0	9000.0	3300.0
100-51-6	18400.0	6300.0	13700.0
100-52-7	19400.0	7400.0	5300.0
100-61-8	19500.0	6000.0	11500.0
100-63-0	20400.0	6500.0	14000.0
100-66-3	17800.0	4100.0	6700.0
100-68-5	19600.0	4800.0	4700.0
100-74-3	17700.0	5000.0	6600.0
100-97-0	19400.0	11600.0	13800.0
101-68-8	19500.0	4100.0	1700.0
101-81-5	19500.0	1000.0	1000.0
101-84-8	19500.0	3400.0	5800.0
102-52-3	15000.0	7100.0	6800.0
102-71-6	17300.0	22400.0	23300.0
102-76-1	16500.0	4500.0	9100.0
103-09-3	15800.0	2900.0	5100.0
103-11-7	14800.0	4700.0	3400.0
103-24-2	16700.0	1400.0	4800.0
103-36-6	18400.0	8200.0	4100.0
103-44-6	15600.0	3400.0	4200.0
103-50-4	19600.0	3400.0	5200.0
103-73-1	18400.0	4500.0	4000.0
103-84-4	20600.0	13300.0	12400.0
103-90-2	17800.0	10500.0	13900.0
104-40-5	16500.0	4100.0	9200.0
104-46-1	19000.0	4300.0	8700.0
104-51-8	17400.0	100.0	1100.0
104-55-2	19400.0	12400.0	6200.0
104-76-7	15900.0	3300.0	11800.0
104-80-3	17900.0	8500.0	18900.0
104-88-1	19900.0	7200.0	5600.0
104-94-9	19900.0	6500.0	11300.0
105-05-5	18000.0	0.0	600.0
105-06-6	18600.0	1000.0	7000.0
105-30-6	15800.0	4900.0	13500.0
105-34-0	16800.0	14800.0	9100.0
105-45-3	16400.0	8600.0	8900.0
105-46-4	15000.0	3700.0	7600.0
105-53-3	16100.000000000002	7700.0	8300.0
105-54-4	15500.0	5600.0	5000.0
105-56-6	16700.0	7900.0	8300.0
105-57-7	15000.0	3400.0	4000.0
