CAS	HANSEN_DELTA_D	HANSEN_DELTA_P	HANSEN_DELTA_H
624-85-1	15700.0	8600.0	6500.0
624-89-5	17100.0	4800.0	2500.0
624-92-0	17300.0	7800.0	6500.0
625-33-2	16200.0	12100.0	4500.0
625-38-7	16800.0	5200.0	12300.0
625-84-3	18300.0	7600.0	6800.0
627-13-4	15800.0	11300.0	4100.0
627-30-5	17500.0	5700.0	14700.0
627-40-7	15000.0	4300.0	5900.0
627-45-2	17200.0	10000.0	14000.0
627-50-9	16400.0	5800.0	6300.0
627-51-0	16500.0	4600.0	5600.0
628-34-2	16300.0	7900.0	4600.0
628-63-7	15800.0	3300.0	6100.0
628-76-2	19000.0	7800.0	1500.0
628-96-6	16200.0	13000.0	4500.0
629-14-1	15400.0	5400.0	5200.0
630-08-0	15100.0	12300.0	22300.0
631-57-2	15900.0	18900.0	8000.0
632-22-4	16700.0	8200.0	11000.0
637-89-8	20800.0	8600.0	10600.0
676-99-3	14000.0	14000.0	8400.0
680-31-9	18500.0	8600.0	11300.0
685-91-6	16400.0	11300.0	7500.0
689-97-4	15100.0	1700.0	12000.0
689-99-6	14900.0	10200.0	3000.0
692-45-5	15300.0	6500.0	9700.0
693-07-2	17200.0	5000.0	6100.0
693-65-2	15600.0	3100.0	3000.0
694-80-4	20300.0	7700.0	4600.0
696-59-3	16800.0	7200.0	8200.0
709-63-7	18800.0	6100.0	3500.0
748-30-1	19600.0	3100.0	5100.0
756-79-6	16700.0	13100.0	7500.0
760-21-4	14900.0	1700.0	3500.0
760-79-2	16400.0	10600.0	7400.0
761-65-9	15500.0	8900.0	2000.0
764-47-6	14900.0	3500.0	5200.0
764-99-8	16000.0	7300.0	7900.0
765-43-5	17000.0	11100.0	16000.0
765-87-7	18600.0	10300.0	8000.0
770-35-4	17400.0	5300.0	11500.0
771-69-7	19500.0	7700.0	3500.0
814-68-6	16200.0	11600.0	5400.0
814-78-8	15900.0	12100.0	4500.0
818-61-1	16000.0	13200.0	13400.0
818-92-8	14900.0	6400.0	1000.0
822-87-7	18500.0	13000.0	5100.0
870-23-5	16400.0	6200.0	7900.0
872-05-9	15800.0	1000.0	2200.0
872-36-6	17300.0	18100.0	9600.0
872-50-4	18000.0	12300.0	7200.0
872-93-5	19400.0	17400.0	5300.0
873-76-7	19600.0	7500.0	13000.0
874-42-0	19700.0	8800.0	5400.0
874-90-8	19400.0	16700.0	5400.0
926-65-8	14700.0	3500.0	5200.0
926-66-9	14800.0	3500.0	5100.0
927-80-0	15400.0	7900.0	5900.0
930-22-3	16600.0	7700.0	7400.0
931-17-9	17400.0	9800.0	18300.0
932-17-2	17800.0	13100.0	8300.0
1003-09-4	20100.0	5200.0	4600.0
1003-10-7	19000.0	6900.0	6200.0
1070-70-8	16800.0	9100.0	4200.0
1071-98-3	15200.0	16200.0	8000.0
1073-67-2	18700.0	4300.0	3900.0
1118-84-9	15900.0	6900.0	8600.0
1119-40-0	16200.0	4700.0	8400.0
1120-06-5	15800.0	3900.0	10000.0
1120-36-1	16100.000000000002	500.0	1900.0
1120-71-4	18400.0	16000.0	9000.0
1187-93-5	17200.0	4500.0	14700.0
1445-75-6	16400.0	10000.0	5700.0
1464-53-5	18300.0	14400.0	6200.0
1476-11-5	17800.0	7600.0	2000.0
1490-04-6	16600.0	4700.0	10600.0
1493-02-3	15000.0	10100.0	8600.0
1536-23-8	19300.0	8100.0	5400.0
1559-35-9	16000.0	4100.0	10500.0
1569-01-3	15800.0	7000.0	9200.0
1574-41-0	14700.0	2500.0	5000.0
1585-74-6	16000.0	7800.0	7900.0
1595-05-7	17400.0	100.0	1000.0
1595-11-5	17600.0	100.0	1000.0
1605-72-7	18200.0	6300.0	6100.0
1613-51-0	18500.0	6300.0	8900.0
1615-70-9	16200.0	11700.0	5200.0
1629-58-9	15800.0	11300.0	4500.0
1634-04-4	14800.0	4300.0	5000.0
1653-19-6	17100.0	2300.0	2800.0
1653-40-3	14400.0	7300.0	12900.0
1663-35-0	15900.0	6700.0	6800.0
1676-63-7	18800.0	10300.0	6400.0
1691-90-3	15800.0	3100.0	5700.0
1774-35-2	20300.0	11400.0	3100.0
1794-84-9	17400.0	13500.0	5500.0
1806-54-8	16200.0	5900.0	4200.0
1822-74-8	16400.0	4900.0	6000.0
1822-86-2	16900.0	6400.0	4700.0
1838-59-1	15700.0	5400.0	8800.0
1897-52-5	18800.0	11200.0	3200.0
1937-62-8	14500.0	3900.0	3700.0
1984-65-2	19800.0	8400.0	6500.0
2003-31-8	17300.0	15900.0	6100.0
2039-87-4	18700.0	4700.0	3900.0
2039-88-5	19500.0	5200.0	5300.0
2052-14-4	17900.0	4800.0	11700.0
2100-17-6	15500.0	8100.0	6800.0
2168-93-6	16400.0	10500.0	6100.0
2210-28-8	15500.0	6300.0	6600.0
2211-89-4	17000.0	11500.0	7400.0
2233-00-3	17700.0	15500.0	3400.0
2264-21-3	14400.0	8900.0	6500.0
2268-05-5	19400.0	9100.0	2700.0
2317-91-1	16000.0	6900.0	4000.0
2409-55-4	17300.0	3700.0	10500.0
2495-37-6	16800.0	4100.0	4100.0
2591-86-8	18700.0	10600.0	7800.0
2687-91-4	18000.0	12000.0	7000.0
2781-85-3	17200.0	2400.0	2000.0
2782-91-4	17300.0	6000.0	10500.0
2902-96-7	16100.000000000002	13700.0	15400.0
2944-05-0	16600.0	7700.0	8600.0
3018-12-0	17400.0	9400.0	6400.0
3036-66-6	15500.0	8300.0	5400.0
3112-85-4	20000.0	16900.0	7800.0
3209-22-1	19700.0	12600.0	4400.0
3212-60-0	18100.0	7600.0	15600.0
3218-49-3	20500.0	10800.0	4400.0
3234-54-6	15900.0	5000.0	9000.0
3320-90-9	16600.0	6400.0	7300.0
3376-35-0	14700.0	4600.0	4600.0
3380-34-5	20000.0	7700.0	10000.0
3404-63-5	15300.0	1600.0	3800.0
3445-11-2	18000.0	9200.0	15700.0
3470-98-2	17500.0	9900.0	5800.0
3574-40-1	17000.0	10700.0	2800.0
3638-64-0	16300.0	16600.0	5000.0
3658-95-5	15400.0	4900.0	4600.0
3680-02-2	16800.0	19600.0	4800.0
3773-14-6	21000.0	4500.0	9100.0
3913-02-8	16100.000000000002	3600.0	9300.0
3917-15-5	14900.0	6500.0	5300.0
3937-56-2	15700.0	7000.0	15100.0
3944-36-3	15500.0	6100.0	11000.0
4043-59-8	15900.0	5700.0	11700.0
4253-91-2	17000.0	13000.0	7400.0
4343-68-4	20900.0	18700.0	26400.0
4413-13-2	15300.0	4900.0	4600.0
4435-53-4	15300.0	4100.0	8100.0
4439-24-1	15200.0	4900.0	9600.0
4510-34-3	19100.0	6000.0	13000.0
4591-28-0	17500.0	9200.0	5500.0
4605-17-8	14600.0	10700.0	0.0
4672-49-5	16900.0	9300.0	9600.0
4786-19-0	16000.0	14300.0	5600.0
4786-20-3	16400.0	18800.0	5500.0
4789-70-2	16000.0	5000.0	5400.0
5162-44-7	16500.0	6000.0	4500.0
5216-25-1	20300.0	5500.0	3500.0
5500-21-0	18600.0	16200.0	5700.0
5976-47-6	17100.0	10200.0	16400.0
6032-29-7	15600.0	6400.0	13300.0
6117-91-5	16000.0	6000.0	15500.0
6140-80-3	15000.0	4100.0	7100.0
6262-42-6	17900.0	6700.0	3300.0
6262-51-7	18500.0	10500.0	3700.0
6320-03-2	20200.0	7000.0	10000.0
6443-91-0	15800.0	8100.0	6500.0
6581-66-4	17200.0	6600.0	6000.0
6837-24-7	18200.0	6800.0	6500.0
6881-94-3	16000.0	7200.0	11300.0
7085-85-0	15200.0	10300.0	9000.0
7400-08-0	19100.0	6700.0	15900.0
7440-20-2	20000.0	4500.0	10300.0
7491-74-9	17500.0	15600.0	11200.0
7572-29-4	16500.0	7800.0	3000.0
7651-91-4	16800.0	7600.0	8000.0
7664-38-2	14700.0	18600.0	26800.0
7719-09-7	16900.0	6200.0	5900.0
7782-50-5	17300.0	10000.0	0.0
7791-25-5	17600.0	7200.0	0.0
10025-87-3	18100.0	9300.0	0.0
10075-38-4	16900.0	7800.0	2700.0
10143-53-0	15900.0	6000.0	6600.0
10143-60-9	15900.0	2600.0	2500.0
10143-66-5	15600.0	5500.0	5200.0
10458-14-7	17000.0	8100.0	4400.0
12543-75-8	16000.0	12800.0	6800.0
13057-17-5	16900.0	8500.0	7000.0
13116-58-0	17800.0	15700.0	3400.0
13169-01-2	15700.0	6300.0	5900.0
13465-07-1	17300.0	6300.0	10700.0
14273-06-4	15900.0	6400.0	5400.0
15798-64-8	16200.0	14900.0	7400.0
15941-77-2	16800.0	8900.0	10900.0
15980-15-1	19000.0	6600.0	7700.0
16529-56-9	16400.0	11300.0	5100.0
18668-68-3	17000.0	6500.0	4700.0
18913-31-0	16200.0	6600.0	16800.0
19434-65-2	17000.0	13300.0	8200.0
19693-75-5	17800.0	8400.0	7700.0
19780-25-7	16100.000000000002	8000.0	5500.0
20352-67-4	15700.0	4200.0	6100.0
21400-25-9	17700.0	15700.0	3400.0
22059-21-8	17000.0	6300.0	13600.0
25498-49-1	15300.0	5500.0	10400.0
25604-70-0	17200.0	6600.0	2300.0
25790-55-0	16600.0	8000.0	6700.0
26761-40-0	16600.0	6200.0	2600.0
28553-12-0	16600.0	6600.0	2900.0
29560-84-7	17200.0	10300.0	16500.0
29911-27-1	15600.0	6100.0	11000.0
29911-28-2	15700.0	6500.0	10000.0
30842-90-1	19400.0	14800.0	11800.0
31366-25-3	21000.0	8200.0	8400.0
32038-83-8	14100.0	15400.0	5700.0
33703-08-1	16200.0	1800.0	4900.0
36333-41-2	17700.0	11800.0	6400.0
36653-82-4	15100.0	3700.0	8100.0
40079-14-9	16500.0	8600.0	6700.0
42345-82-4	16900.0	10500.0	6000.0
42542-10-9	18000.0	5100.0	6100.0
50855-96-4	15600.0	8500.0	2000.0
51799-35-0	15700.0	5100.0	6800.0
51799-36-1	16100.000000000002	11200.0	6200.0
53214-57-6	18000.0	10700.0	24100.0
54839-24-6	15600.0	4300.0	9000.0
56023-03-1	18100.0	13500.0	0.0
62624-30-0	18000.0	12600.0	27600.0
63615-05-4	15200.0	4100.0	7500.0
64248-63-1	18800.0	11200.0	3200.0
65382-88-9	16100.000000000002	2500.0	5700.0
83917-77-5	17900.0	7200.0	8700.0
100365-71-7	16200.0	12900.0	6800.0
