CAS	Tm	Tb	Vms	Vml
125926-69-4	403.65			
12596-80-4	421.65			
125966-89-4	344.15			
125969-76-8	365.15			
12597-68-1	1685.15			
12597-69-2				
12597-71-6				
125971-57-5	464.65			
125971-96-2	480.65			
125974-72-3	490.15			
125995-03-1	434.15			
1259978-35-2	388.75			
126-00-1	444.65			
126-02-3	515.65			
126-06-7	436.65			
126-07-8	493.15		0.00024328966	
126-11-4	438.15		0.00010364883	
126-12-5	556.65			
126-13-6				
126-14-7	359.65		0.00050830712	
126-15-8	193.15	580.15		0.00018569091
126-17-0	474.15			
126-18-1	458.15			
126-19-2	473.65			
126-22-7				
126-27-2	377.15			
126-29-4	481.15			
126-30-7	400.15	483.15	9.4681818e-05	
126-33-0	300.75	558.15	9.5327622e-05	
126-38-5				
126-39-6		388.95		0.00012391722
126-50-1	427.15			
126-52-3	370.15			
126-54-5	321.45			
126-58-9	489.15		0.00019118797	
126-63-6				0.0004601341
126-64-7		536.15		
126-68-1		487.15		0.00018482051
126-71-6		537.15		
126-72-7	278.65			
126-73-8		450.65		
126-75-0	369.15		0.00022821555	
126-76-1	313.65			
126-80-7	224.15			0.00036406627
126-81-8	423.15			
126-84-1		387.15		
126-86-3	331.15			
126-90-9	311.65	360.65	0.00017729885	
126-91-0		353.15		
126-92-1	421.65			
126-93-2	363.15			
126-98-7	237.35	363.45		8.3852018e-05
126-99-8	143.15	332.55		9.2615063e-05
1260-04-4	573.15			
1260-05-5	591.15			
1260-17-9	409.15			
1260-35-1	424.15			
126005-91-2	338.15			
126015-38-1		375.15		
1260243-51-3	457.15			
1260247-42-4	453.15			
126026-45-7	444.15			
12604-58-9	1723.15			
1260530-43-5	415.65			
126060-09-1	448.15			
1260664-64-9	403.15			
126067-60-5	463.65			
126069-76-9	462.15			
12607-92-0	494.15			
12607-93-1	395.65			
12609-02-8	851.4		0.00017827412	
12609-95-9	401.65			
1261-86-5	570.65			
126118-55-6	465.65			
126120-73-8	390.65			
126127-31-9	399.4			
126145-52-6	387.15			
126147-80-6				
126162-96-7	318.15			
126174-82-1	475.15			
126189-95-5	379.65			
12619-61-3	398.65			
1262-21-1	396.65			
1262010-81-0	453.15			
126202-92-4	454.15			
12622-04-7				
126230-75-9	304.65			
126231-22-9	472.15			
12624-35-0	408.15			
12626-17-4	479.15			
12626-81-2				
126266-77-1	359.15			
12627-14-4				
12627-57-5				
1263-79-2	483.15			
1263-80-5	412.65			
1263-89-4	418.15			
126300-89-8	530.15			
1263000-45-8	322.15			
126310-27-8	452.15			
126310-29-0	439.15			
126320-77-2	445.15			
126322-23-4	380.15			
126330-90-3	513.65			
126334-37-0	338.65			
126356-15-8				0.00012451619
126378-84-5	362.65			
1264-51-3	502.15			
1264-62-6	382.65			
126403-58-5	376.15			
126411-39-0	393.65			
126428-97-5	391.15			
126443-21-8	457.65			
12645-49-7				
126456-43-7	390.65			
126485-55-0	328.65			
12650-28-1	1877.15			
12650-69-0	350.65			
1265145-36-5	397.15			
126521-84-4	427.65			
12653-55-3	2473.15			
12653-76-8	1838.15		2.3844319e-05	
126532-04-5	457.65			
126532-06-7	443.15			
126536-03-6	362.15			
126544-47-6	483.15			
12656-40-5	446.15			
126565-88-6				
126572-99-4	447.15			
126613-06-7	342.15			
1266386-31-5	350.65			
126654-63-5	442.65			
126661-83-4	420.65			
126695-59-8	354.15			
12672-29-6	630.65	630.65		
126723-16-8	444.15			
12673-58-4				
12673-86-8				
12674-11-2				
126747-14-6	553.15			
126759-48-6	393.65			
12676-71-0	403.65			
126784-99-4	457.15			
126790-84-9	446.15			
126790-86-1	422.15			
126801-58-9	418.15			
126807-20-3	475.15			
126826-63-9	439.15			
126833-17-8	414.15			
1268340-98-2	348.65			
1268444-86-5	376.15			
1268481-32-8	438.15			
126850-29-1	316.05			
126866-16-8	398.15			
126872-02-4	424.15			
1268810-09-8	342.15			
1268810-10-1	409.15			
1268810-14-5	343.15			
1268810-15-6	364.65			
1268810-17-8	458.65			
1268810-19-0	493.15			
126910-68-7	324.15			
1269105-41-0	344.15			
12692-85-2	492.65			
126931-72-4	390.65			
126961-72-6	458.65			
126990-35-0				
127-00-4		399.65		
127-06-0	334.15	409.15		
127-07-1	414.15			
127-08-2	565.15		6.3153032e-05	
127-09-3	597.15		5.4346682e-05	
127-17-3	286.95	327.15		7.2020937e-05
127-18-4	250.85	394.45		0.00010219387
127-19-5	254.56	437.15		9.3017297e-05
127-20-8	439.65			
127-21-9		317.15		
127-22-0	556.65			
127-25-3		635.65		
127-27-5	491.65	555.15		
127-29-7	479.15			
127-31-1	534.15			
127-33-3	449.15			
127-35-5	454.15			
127-40-2	469.15			
127-41-3		404.15		
127-42-4		511.15		
127-43-5		406.15		
127-47-9	330.65			
127-48-0	319.15			
127-51-5				0.00022078117
127-52-6	444.65			
127-56-0	530.15			
127-57-1	589.9			
127-59-3	310.4			
127-63-9	401.65	552.15		
127-65-1	446.65			
127-66-2	325.45	490.65		
127-68-4	325.45	490.65		
127-69-5	467.15		0.00019092857	
127-71-9	454.65			
127-73-1	520.65			
127-74-2	532.15			
127-75-3	499.65			
127-76-4	529.65			
127-77-5	473.15			
127-79-7	509.15		0.00019687151	
127-88-8	329.15			
127-90-2	223.15	420.15		
127-91-3	211.65	439.15		0.00015840698
127-92-4		424.65		
127-95-7				
1270-98-0	471.65			
127024-32-2	506.65			
127045-41-4	543.4			
127055-61-2	492.15			
12708-27-9	470.65			
1271-03-0	334.15			
1271-19-8	562.15			
1271-24-5	444.15			
1271-28-9	445.65			
1271-43-8	471.65			
1271-51-8	324.15			
1271-54-1	556.15			
1271-55-2	358.15			
1271-86-9	279.93			
1271-94-9	309.15			
127104-26-1	364.15			
127107-28-2	486.15			
127191-99-5	368.15			
1272-22-6	568.15			
1272-24-8	537.15			
1272-25-9	589.15			
1272-26-0	551.15			
1272-29-3				
1272-44-2	381.65			
127204-72-2	552.15			
127211-03-4	587.65			
127245-22-1	444.65			
1272519-91-1	468.15			
127253-15-0				
127273-12-5	481.65			
127274-92-4	343.15			
12728-25-5	462.65			
127283-65-2	367.9			
127285-55-6	534.15			
127291-98-9	386.65			
127292-03-9	405.15			
127292-04-0	404.65			
1273-76-3	317.65			
1273-84-3	379.15			
1273-89-8				
1273-94-5	400.4			
1273-97-8				
127342-09-0	497.65			
127342-10-3	442.15			
127356-34-7	437.15			
12737-02-9				
12737-18-7				
12737-27-8	2123.15			
12737-98-3	1398.15			
127373-66-4	488.15			
127378-17-0	516.15			
127378-46-5	485.65			
12738-19-1	455.65			
12738-64-6	371.15			
1274-00-6				
1274-08-4				
127404-74-4	388.65			
127406-56-8	470.15			
127419-64-1	484.65			
127426-26-0	329.9			
127426-27-1	426.15			
12743-70-3				
127437-33-6	361.9			
127446-32-6	404.15			
127446-35-9	350.15			
127448-92-4	515.65			
127464-43-1	392.65			
1274702-35-0	518.15			
127475-72-3	387.05			
127486-63-9	426.65			
127500-59-8	452.65			
127506-06-3	337.65			
127510-93-4	367.65			
127510-95-6	348.65			
127510-96-7	378.15			
127510-97-8	349.15			
127555-23-1	357.15			
127557-05-5	352.15			
12758-40-6	543.15			
127581-39-9	418.15			
127600-19-5				
1276056-84-8	354.65			
127625-29-0	369.15			
127667-01-0	356.15			
127667-18-9				
127680-86-8	392.65			
127680-87-9	348.65			
127680-88-0	351.65			
127680-89-1	316.65			
127680-90-4	510.65			
127680-91-5	413.65			
1277-43-6	445.15			
1277-47-0	439.15			
1277-49-2	351.65			
1277-58-3	335.15			
12770-26-2				
127709-20-0	334.15	436.15		
12771-68-5	383.65			
127717-19-5	381.65			
12772-47-3	522.4			
12772-57-5	466.65			
127722-74-1	505.15			
12774-15-1				
127759-89-1	550.65			
127785-96-0	467.65			
127786-29-2	558.15			
127792-24-9	443.15			
127792-75-0	521.15			
127792-76-1	343.65			
127799-54-6	323.15			
127810-64-4	328.65			
127827-53-6	358.15			
127833-45-8	348.15			
127839-47-8				0.000224
127839-48-9				
127842-71-1	436.65			
12788-93-1				
12789-03-6	380.15			
12789-46-7				
127910-61-6	337.15			
127926-10-7	377.65			
127946-77-4	444.15			
127957-84-0	348.15			
127957-89-5				
127957-90-8				
127957-91-9				
127958-02-5	552.65			
127958-07-0	373.65			
127958-09-2	431.65			
127958-24-1	394.15			
128-04-1	380.15		0.00012221538	
128-08-5	447.15			
128-09-6	423.65	489.65	8.0927273e-05	
128-10-9	446.15			
128-13-2	476.15			
128-20-1	422.65			
128-21-2	409.15			
128-23-4	396.15			
128-27-8	367.15			
128-33-6	383.15			
128-37-0	343.15	538.15	0.00021025763	
128-38-1	457.65			
128-39-2	310.15	526.15	0.00022573304	
128-42-7	539.15			
128-44-9	393.15			
128-50-7		508.15		
128-51-8				0.00021316005
128-53-0	318.65			
128-62-1	449.15		0.00029635842	
128-65-4	475.15			
128-66-5	658.15			
128-67-6	556.15			
128-68-7	503.15			
128-76-7	415.15			
128-80-3	491.15			
128-83-6	502.65			
128-91-6	634.15			
128-93-8	452.65			
128-95-0	541.15			
128-97-2	453.15			
128018-44-0	351.65			
1280729-48-7	467.65			
128073-33-6	333.15			
128075-79-6	359.15			
128099-76-3	463.15			
128102-95-4	405.15			
128143-89-5	423.65			
128156-55-8	347.65			
128173-53-5	407.65			
1282-40-2	495.65			
128232-14-4	438.65			
128241-59-8	430.15			
128241-72-5	498.15			
128242-89-7	374.15			
128252-98-2	430.65			
128258-74-2	315.65			
128269-82-9	391.65			
128275-31-0	363.15			
128293-64-1	473.65			
128345-57-3				
128364-68-1	329.65			
128373-20-6	354.15			
128397-09-1	482.15			
1284-72-6	450.15			
1284-81-7	535.65			
128422-75-3	421.15			
128455-63-0	472.65			
128475-83-2				
128487-66-1	480.15			
128495-46-5	302.65			
128495-48-7				
128495-49-8	346.15			
128530-03-0	359.65			
128532-95-6	414.65			
128544-05-8	347.65			
128553-97-9	443.15			
128593-41-9	556.65			
128595-07-3	352.15			
128595-08-4	367.65			
128600-50-0				
128625-52-5	429.65			
128639-02-1	251.05	625.65		
1286694-67-4	356.65			
1286793-03-0	481.15			
1286793-04-1	514.15			
128694-71-3	454.15			
1287-13-4	468.65			
1287-17-8	439.65			
1287-38-3	502.15			
128700-83-4	502.15			
128746-62-3	312.4			
128788-12-5	362.65			
128796-39-4	505.65			
128811-38-1	339.65			
128833-96-5	497.65			
128833-97-6	497.65			
128837-26-3				
128843-59-4	474.15			
128899-31-0	394.15			
1289-45-8				
128903-20-8	370.15			
128915-84-4	349.65			
128924-01-6				
128960-77-0	443.15			
128972-01-0	467.15			
128979-27-1	386.15			
128993-17-9				
128994-26-3				
129-00-0	424.35	677.15	0.00015912667	
129-03-3	385.95			
129-15-7	543.65			
129-20-4	369.15			
129-24-8	541.15			
129-35-1	443.65			
129-37-3	613.15			
129-39-5	583.15			
129-40-8	587.15			
129-42-0	535.15			
129-43-1	466.95			
129-44-2	592.15			
129-45-3	354.65			
129-51-1	440.15			
129-56-6	550.65			
129-64-6	437.65			
129-65-7	554.15			
129-66-8	501.85			
129-71-5	489.15			
129-73-7	365.15			
129-74-8	508.15			
129-77-1	468.65			
129-79-3	448.75			
129-81-7	433.65			
129-83-9		399.15		
129-94-2	432.65			
129012-50-6	424.65			
129025-54-3	542.15		0.00019353472	
129029-23-8				
129042-71-3	490.65			
129053-84-5	423.15			
1290628-35-1	396.15			
129098-54-0				
129099-70-3	421.65			
129099-93-0	349.15			
1291-32-3	515.65	516.65		
1291-37-8	458.65			
1291-40-3	437.15			
1291-47-0	307.65			
129101-54-8	396.65			
129109-19-9	435.65			
129112-65-8	422.15			
129119-78-4	362.15			
129119-80-8	447.15			
129135-87-1	613.65			
129145-50-2	463.65			
129145-51-3	413.15			
129145-52-4	433.65			
129145-53-5	519.65			
129145-54-6	512.15			
1291487-34-7	390.65			
129150-61-4	369.65			
129177-09-9	446.15			
129192-17-2	500.65			
129227-27-6	559.15			
129282-35-5				
129288-35-3	384.15			
129303-83-9	417.15			
129318-43-0	392.15			
129322-82-3				
129322-83-4				
129332-30-5	396.15			
129340-11-0				
129371-31-9	333.65			
129414-89-7	410.65			
129432-25-3	357.65			
129448-97-1	441.15			
1294481-80-3	375.65			
1294481-82-5	446.65			
129453-61-8	381.15			
129477-22-1	458.65			
129488-39-7	472.15			
129488-44-4	338.65			
129488-45-5	379.15			
129488-74-0	448.15			
1295-20-1	541.65			
1295-35-8	414.15			
1295-36-9	360.65			
129511-07-5	462.65			
129578-06-9	424.15			
129578-07-0	453.65			
129593-20-0	502.15			
129604-27-9				
129611-32-1	414.65			
129618-40-2	521.15			
129625-34-9	444.15			
129630-17-7	399.65			
129644-21-9	345.65			
129660-35-1				
129667-71-6	470.15			
129673-90-1	423.4			
129683-93-8	514.15			
129683-96-1	346.15			
129688-50-2	504.65			
129689-54-9	378.15			
129700-38-5	374.15			
129722-12-9	383.15			
129722-34-5	383.9			
1297344-88-7	503.15			
129748-10-3	490.65			
1297537-45-1	536.15			
1297613-73-0	443.65			
1297613-75-2	510.65			
1298-55-1	638.15			
129800-02-8	457.65			
1298044-25-3	441.15			
129812-24-4	379.65			
1298133-38-6	360.15			
129833-54-1	541.15			
129872-83-9	390.15			
129872-84-0	501.65			
129872-85-1	494.65			
129872-86-2	507.65			
1299-86-1	2473.15			
129939-31-7	473.15			
129940-50-7	368.15			
129946-64-1	409.15			
129959-09-7	472.65			
129968-11-2	459.15			
129973-03-1	490.15			
129973-51-9	293.15			0.00012836851
130-00-7	454.15			
130-01-8	509.15		0.00026492101	
130-03-0	503.15			
130-15-4	399.15		0.0001112166	
130-16-5	403.15			
130-17-6	592.15			
130-19-8		513.15		
130-22-3	556.15			
130-24-5	553.15			
130-26-7	451.65			
130-42-7	517.65			
130-49-4	456.15			
130-61-0	432.15			
130-73-4	418.15			
130-78-9	419.15			
130-79-0	397.15			
130-80-3	377.15			
130-83-6	486.15			
130-85-8	588.15			
130-86-9	481.15		0.00025258756	
130-89-2	432.15			
130-90-5	422.65			
130-95-0	330.15			
1300-21-6		356.15		
1300-32-9	271.15	443.15		
1300-71-6	321.15	487.15		
1300-73-8	237.15	492.65		
1300-94-3	297.15			
130000-40-7	451.15			
13001-28-0	312.15			
13001-29-1	304.15			
13001-38-2	464.15			
13001-39-3	503.15			
13001-40-6	551.65			
130017-40-2	490.15			
130017-52-6	532.65			
13002-08-9		481.15		
13002-09-0		372.45		0.00024406514
13002-64-7				
13002-65-8	344.15			
13005-11-3				
130056-69-8	366.65			
13006-29-6	324.65			
130064-18-5	360.15			
13007-37-9	388.15			
13007-50-6	357.9			
13007-90-4	342.15			
13007-92-6	422.65			
13009-91-1	377.65			
13009-99-9	443.65			
130090-03-8	493.15			
1301-42-4	425.15			
13010-08-7	386.15			
13010-10-1	397.15			
13010-20-3	384.3			
13010-31-6	490.15			
13010-47-4	362.15			
13011-95-5	511.65			
130115-96-7				
13012-54-9				0.00013171111
13013-02-0				
13014-18-1	320.65			
13014-24-9	298.95	556.25		
13014-84-1		460.15		
13014-91-0	496.15			
130147-42-1	346.15			
130155-33-8	581.15			
13017-11-3	536.15			
13017-50-0	273.24			
13018-10-5	350.65			
13018-37-6				
13018-95-6		512.15		
130187-60-9	505.65			
13019-04-0				0.0002351442
13019-19-7				
13019-20-0		431.15		
13019-22-2	326.65	509.15	0.0001850225	
130198-05-9	443.15			
1302-09-6	1153.15		3.9292853e-05	
1302-37-0	1223.15		3.5675834e-05	
1302-42-7	1923.15		5.4646739e-05	
1302-52-9	1923.15		4.3217159e-05	
1302-59-6				
1302-62-1				
1302-67-6	2408.15		2.3134816e-05	
1302-74-5	2327.15			
1302-76-7				
1302-78-9				
1302-81-4	1373.15		2.1239762e-05	
1302-83-6				
1302-88-1				
1302-91-6				
1302-93-8				
13020-19-4	518.15			
13020-22-9	409.15			
13020-57-0	388.15			
13020-83-2	438.65			
130200-70-3	397.15			
13021-15-3		487.15		
13021-18-6	426.65			
13021-19-7	546.65			
13021-50-6		481.15		
13021-51-7		481.15		
13021-54-0		474.85		0.000192644
13021-71-1	349.15			
13022-88-3		443.15		
13022-89-4				
13022-91-8	376.4			
130232-97-2				
130234-71-8	516.15			
13024-49-2	326.15			
13024-90-3	441.15			
13025-29-1				
13025-69-9	389.65			
130250-55-4	404.65			
130250-62-3	321.15			
13026-12-5	426.15			
13026-20-5	543.15			
13026-23-8	498.15			
13026-44-3	429.9			
13027-05-9	363.15			
13027-33-3	507.15			
13027-88-8	366.65			
130289-31-5	544.15			
13029-08-8	334.65			
13029-09-9	354.15			
13029-24-8	515.15			
13029-44-2	503.15			
13029-72-6	449.3			
1303-00-0	1511.15		2.7201106e-05	
1303-11-3	1216.45		3.3346151e-05	
1303-13-5	1243.15		1.7165339e-05	
1303-18-0	975.15			
1303-28-2	573.15		2.1046528e-05	
1303-33-9	583.15	980.15		
1303-36-2	533.15			
1303-86-2	723.15	2133.15		
1303-96-4	348.15	593.15		
13030-63-2	319.9			
13031-04-4	333.15			
13031-32-8				
13031-39-5		381.15		
13031-41-9	330.15			
13031-43-1	326.15			
13031-60-2	379.15			
13031-62-4	400.65			
13031-64-6	389.15			
13031-76-0	308.15	415.15		
130312-01-5	357.65			
13032-41-2	353.15			
13033-84-6	430.15			
13033-91-5	540.15			
130332-27-3	417.15			
130339-07-0	320.45			
13035-19-3				
13035-61-5	355.15			
13036-02-7	437.15			
13036-19-6	379.15			
13036-41-4	280.65			0.00012672684
13036-75-4		324.15		
13036-81-2				
13036-83-4		558.15		
13036-87-8	346.15			
13037-20-2	340.65			
13037-47-3	430.15			
13037-55-3	401.65			
13037-56-4	465.15			
13037-63-3	332.65			
13037-71-3				0.00014809633
13037-79-1	296.15			
13037-82-6	306.65			
13037-86-0	334.65			
13037-88-2	359.4			
130370-03-5	387.65			
130370-60-4	510.15			
13038-22-7				
13038-26-1		372.65		
1304-28-5	2196.15	2273.15	2.6899368e-05	
1304-29-6	723.15		3.4138266e-05	
1304-54-7	2473.15			
1304-56-9	2803.15	4173.15	8.3094957e-06	
1304-76-3	543.15			
1304-82-1	808.15	1445.15		
1304-85-4	533.15			
13040-03-4	343.65			
13040-17-0	403.15		0.00020846018	
130405-40-2	522.65			
13041-62-8	503.15			
130414-30-1	431.15			
13042-02-9	347.15			
13042-18-7		481.15		
13042-38-1	333.65			
13042-39-2	351.15			
130420-76-7	483.15			
130423-14-2	508.15			
13043-55-5				
13043-66-8				
13045-94-8	454.9			
13046-76-9	340.15			
13047-04-6	397.65			
13047-13-7	395.7			
13048-33-4		434.65		
13048-34-5				
13049-13-3	508.15			
1305-62-0	853.15		3.3077089e-05	
1305-78-8	2845.15	3123.15	1.6739522e-05	
1305-79-9	473.15		2.157988e-05	
1305-99-3	1873.15		2.8307475e-05	
13050-38-9	445.15			
13050-47-0	370.15			
13050-56-1	367.65			
130506-36-4	371.65			
130506-81-9	425.65			
13051-01-9	469.9			
13051-21-3	309.65		0.00013755648	
13051-32-6				
13051-48-4				0.00014575877
13051-49-5				0.0001533133
13051-91-7				
130518-19-3	479.15			
13052-11-4	449.65			
13052-13-6	399.15			
130523-93-2	343.15			
130525-43-8	532.65			
13053-81-1	428.65			
13053-82-2	423.15			
13053-84-4	517.15			
13053-86-6	387.65			
13053-89-9	415.15			
13054-44-9	342.15			
13054-48-3	350.65			
13055-06-6	513.15			
13055-63-5	396.9			
13055-82-8	522.65			
13056-38-7	485.65			
13056-98-9				
130566-25-5	272.15			
130566-35-7				
13057-17-5		360.15		
13057-19-7				
13057-50-6	326.95			
13057-72-2	404.15			
13057-98-2	385.15			
13058-05-4	400.9			
13058-12-3				0.00021464188
13058-16-7	440.15			
13059-67-1	501.65			
13059-85-3	364.15			
13059-93-3	423.65			
1306-05-4				
1306-06-5	1773.15		4.9433258e-05	
1306-19-0	1503.15		1.5755877e-05	
1306-23-6	1253.15		3.0099167e-05	
1306-24-7	1531.15		3.290423e-05	
1306-25-8	1373.15		4.3089946e-05	
1306-38-3				
13060-14-5	378.65			
13060-15-6	396.15			
13060-68-9	486.15			
130607-26-0	464.15			
13061-28-4	320.15			
13061-97-7	235.4	329.15		
130612-32-7	448.15			
13062-76-5	419.15			
13062-77-6	453.15			
13062-82-3	477.15			
13062-95-8	425.65			
130622-31-0	467.15			
13063-04-2	557.65			
13063-06-4	495.15			
13063-43-9		370.15		
13063-60-0		508.15		
130636-61-2	372.65			
13064-83-0	385.15			
13065-83-3	408.15			
13065-86-6	514.15			
13066-95-0	491.15			
13067-19-1	408.65			
13067-80-6				0.00013349202
13067-93-1	356.15			
130676-64-1	325.15			
130688-32-3	492.65			
130693-82-2	557.15			
1307-86-4				
1307-96-6	2208.15			
13070-01-4	368.15			
13070-07-0	310.65			
13070-90-1	365.65			
13071-11-9	465.15			
13071-14-2	475.15			
13071-60-8	327.15			
13071-79-9	244.15			0.00026102262
13071-88-0				0.00011684595
13072-69-0	432.65			
13073-26-2	383.15			
13073-35-3	546.15			
13073-36-4	473.15			
13074-06-1	428.15			
13074-29-8	372.65			
13074-31-2	415.15			
13074-39-0	506.15			
13074-63-0				
13074-65-2				
13075-28-0				
13076-17-0	370.15			
13076-19-2	325.95			
13076-29-4	410.15			
130769-54-9	444.65			
13078-04-1	366.65		0.00015516978	
13078-21-2				
13078-28-9	416.15			
13078-30-3	415.65			
13078-75-6	420.15			
13078-76-7	440.15			
13078-80-3	418.15			
13078-82-5	569.15			
13078-93-8	521.15			
130783-05-0	453.15			
130786-09-3				
13079-20-4	379.65			
130798-49-1	528.65			
1308-04-9	1168.15			
1308-06-1				
1308-31-2				
1308-38-9	2708.15	4273.15		
1308-87-8				
1308-96-9	2513.15			
13080-06-3				
13080-21-2	527.15			
13080-22-3	386.65			
13080-43-8	322.65			
13080-86-9	400.15			
13080-89-2	462.65			
13080-90-5	378.15			
13081-17-9	322.65	444.65		
13081-75-9	399.65			
13082-10-5	432.15			
130820-89-2	390.15			
13083-94-8				
13083-95-9				
130837-95-5	538.15			
13084-29-2	323.65			
130848-06-5	366.65			
13085-08-0	472.15			
13085-53-5	435.65			
13086-84-5				0.00019918974
13086-86-7				
1308652-65-4	419.95			
1308652-66-5	393.45			
13088-64-7	338.65			
13088-83-0				0.00017010829
13088-84-1				0.00018772719
13089-18-4	521.15			
13089-19-5	392.15			
13089-48-0	505.15			
1309-32-6				
1309-36-0	1016.15			
1309-37-1	838.15			
1309-38-2	1868.15		0.00019417405	
1309-42-8	623.15		2.4711729e-05	
1309-48-4	3073.15	3873.15	1.1258212e-05	
1309-60-0	563.15		2.5501066e-05	
1309-64-4	928.15	1698.15		
13091-23-1	318.15			
13091-44-6	488.65			
13091-80-0	511.65			
13092-93-8	392.4			
130929-57-6	435.65			
13093-04-4				
13093-05-5	532.65		0.00020946997	
13093-11-3	322.15			
13093-65-7	373.65			
13093-87-3	454.15			
13093-88-4	410.65			
130931-83-8	367.15			
13094-51-4	314.65			
13095-41-5	445.65			
13095-61-9	445.65			
13095-73-3	382.15		0.0001033276	
1309569-25-2	349.15			
13096-31-6	516.15			
13096-98-5	450.15			
1309606-48-1	494.15			
13097-02-4	477.65			
13097-08-0	447.15			
13097-10-4	403.15			
13099-35-9	347.15			
13099-99-5	413.15			
1309955-15-4	464.15			
1309955-20-1	431.15			
131-01-1	503.65			
131-02-2				
131-03-3	516.65			
131-06-6	460.65			
131-09-9	484.15			
131-10-2	358.65			
131-11-3	278.65	556.85		0.00016331371
131-12-4	392.15			
131-15-7				
131-16-8		590.65		
131-17-9	203.15			0.000219875
131-18-0		615.15		
131-28-2	411.15			
131-48-6	456.65			
131-52-2	418.65			
131-53-3	341.15			
131-54-4	412.65			
131-55-5	470.15	627.15		
131-56-6	415.15			
131-57-7	339.15	428.15		
131-58-8		581.15		
131-62-4	533.15			
131-67-9	370.15			
131-69-1	469.15		0.00026296081	
131-70-4	346.65			
131-73-7	517.15			
131-74-8	552.65	696.15	0.00014310142	
131-79-3	398.65			
131-88-4	317.15			
131-89-5	380.15			
131-90-8	344.15			
131-91-9	382.65			
1310-14-1				
1310-32-3	1343.15			
1310-43-6	1693.15			
1310-53-8	1388.15		2.474929e-05	
1310-58-3	653.15	1600.15	2.7448943e-05	
1310-65-2	723.15		1.6402973e-05	
1310-66-3	723.15		2.7790477e-05	
1310-73-2	596.15	1661.15	1.8777986e-05	
1310-82-3	574.15		0.00010188421	
13100-00-0	489.65			
13100-46-4	401.65			
13100-69-1	435.65			
131002-03-4	445.15			
13101-26-3	392.65			
13101-45-6				
13101-54-7	378.15			
13101-89-8	331.65			
13102-32-4				
13102-93-7	444.15			
13103-75-8	415.65			
13103-80-5	355.15			
13104-21-7	339.4			
1310481-61-8	420.65			
13105-54-9				
13105-73-2				
13106-53-1	348.9			
13106-69-9				
13106-85-9	326.15			
13107-00-1	461.65			
13107-39-6				
13107-54-5	589.15			
13108-19-5	450.15			
131086-78-7	451.15			
13109-70-1				
13109-84-7	437.15			
13110-37-7	325.15			
13110-96-8	489.65			
13111-57-4	514.65			
1311186-65-8	429.15			
13112-65-7				
131123-87-0	396.15			
13114-62-0	492.15			
13114-65-3	451.65			
13114-72-2	446.15			
13114-73-3	327.15			
13114-87-9	378.15			
13114-89-1	449.65			
13115-21-4	473.15			
13115-24-7				7.9879853e-05
13115-28-1	359.65			
13115-71-4	475.65			
13116-53-5		438.15		
13116-57-9				
13116-58-0				0.00010371612
131169-65-8	390.65			
13117-35-6	366.65			
13117-94-7		510.65		
131176-03-9	387.15			
131179-72-1	407.15			
131179-95-8	411.65			
13118-08-6	451.65			
13118-09-7	501.65			
13118-94-0	384.15			
131180-49-9	387.4			
131180-52-4	366.65			
131180-54-6	563.15			
131180-61-5	391.65			
131180-65-9	357.65			
13119-01-2	410.65			
13119-77-2	461.65			
1312-03-4				
1312-41-0	809.15		3.6340707e-05	
1312-43-2	2183.15			
1312-73-8	1185.15	1185.15	6.3368736e-05	
1312-76-1				
1312-81-8				
13120-77-9	342.65			
13121-70-5	469.15			
131211-27-3	448.15			
13122-18-4	433.15			
13122-90-2	346.65			
13122-91-3	428.65			
13122-99-1	424.65			
131221-80-2	293.65			
13123-00-7	418.65			
13124-17-9	437.15			
13124-18-0	347.15			
13124-69-1				0.00016012412
13125-51-4	291.15	490.65		0.00015264448
13125-63-8	425.15			
13125-68-3	350.15			
13125-74-1				0.00023766826
13126-12-0	586.15			
131266-91-6	479.4			
13127-18-9	459.65			
13127-80-5				
13127-88-3	313.4			
13129-21-0	413.15			
13129-22-1	414.65			
13129-26-5	330.65			
13129-27-6	416.65			
13129-35-6				
13129-39-0	328.15			
13129-60-7	382.15			
13129-68-5	450.15			
1313-13-9	826.15		1.738737e-05	
1313-27-5	1068.15	1428.15	3.0694712e-05	
1313-59-3	1403.15		2.7546196e-05	
1313-60-6	733.15		2.7799765e-05	
1313-82-2	1208.15		4.204986e-05	
1313-84-4	325.15			
1313-96-8	1758.15			
1313-97-9				
1313-99-1	2228.15		1.1115e-05	
13130-40-0	478.65			
13130-50-2	489.65			
13132-23-5				
13132-25-7	347.15			
13133-07-8	404.65			
13134-76-4	380.15			
131341-86-1	472.95			
13137-45-6				
13137-64-9	497.15			
13138-37-9	535.15			
13138-45-9	380.65			
13138-51-7		363.15		
13138-53-9	463.15			
13138-73-3	466.15			
13138-75-5	385.15			
13139-12-3	372.15			
13139-14-5	435.65			
13139-15-6	342.65			
13139-16-7	323.15			
13139-17-8	352.15			
13139-94-1	340.65			
131394-09-7	393.15			
1314-04-1				
1314-13-2	2248.15		1.4513893e-05	
1314-18-7	488.15		2.5024854e-05	
1314-20-1	3663.15	4673.15	2.640369e-05	
1314-22-3				
1314-23-4	2873.15		2.0101599e-05	
1314-24-5	296.95	448.55		
1314-28-9		887.15		
1314-32-5	990.15	1169.15		
1314-34-7	2213.15			
