CAS	Tm	Tb	Vms	Vml
10026-10-5	863.15	891.15		
10026-11-6	709.15	604.15	8.3138066e-05	
10026-12-7	480.4	527.15		
10026-13-8	433.65		9.8505203e-05	
10026-17-2	1423.15	1673.15	2.1880363e-05	
10026-22-9	328.15		7.4447511e-05	
10026-24-1	369.95	693.15	8.9757415e-05	
10026-98-9	525.65			
10027-06-2				0.00016235593
10027-07-3	334.65			
100278-51-1	448.15			
10028-15-6	80.45	161.25		
10028-17-8		25.03		
10028-18-9				
10028-22-5	753.15	382.65	4.9700833e-05	
100289-17-6	509.65			
100289-21-2	392.15			
10029-04-6				
10029-09-1				
1003-03-8	190.45	381.15		9.7997468e-05
1003-04-9				
1003-07-2	347.65			
1003-09-4		423.15		
1003-10-7	411.15		8.6729496e-05	
1003-14-1		362.65		
1003-18-5				
1003-19-6		361.82		6.9925936e-05
1003-20-9				0.00010676157
1003-22-1				
1003-29-8	319.65	491.15		
1003-30-1		382.15		
1003-31-2	402.65	465.15	9.25e-05	
1003-32-3	502.15			
1003-35-6	561.15			
1003-38-9		364.15		
1003-39-0	441.15			
1003-41-4	383.25			
1003-51-6	457.15			
1003-52-7				
1003-55-0				
1003-56-1	414.65	562.15		
1003-61-8	446.65			
1003-64-1	328.15	409.15	0.0001168363	
1003-67-4	312.15	423.15		
1003-68-5	455.65			
1003-73-2	312.15	421.15		
1003-78-7	270.15	554.15		0.00013045239
1003-83-4		418.9		
1003-85-6				
1003-90-3	384.15			
1003-92-5	322.65			
1003-99-2				
10030-31-6	537.65			
10030-73-6	304.65			
10030-85-0	368.15			
1003043-76-2	397.15			
100306-34-1	329.65			
100306-41-0	383.15			
10031-18-2	678.15		3.8387026e-05	
10031-22-8	639.15		5.5205776e-05	
10031-24-0				
10031-27-3	661.15			
10031-59-1	905.15		4.4676777e-05	
10031-82-0	286.65	522.15		
10031-87-5		435.65		
10031-90-0				0.00015924067
10031-93-3				0.00019205794
10031-96-6		543.15		
100317-21-3	373.65			
10032-00-5				0.00024760519
10032-02-7				
10032-05-0		455.15		
10032-08-3				0.00024986307
100327-50-2	440.65			
100331-91-7	412.65			
10034-20-5	503.15			
10034-76-1				
10034-81-8	523.15		5.67107e-05	
10034-85-2	222.15	237.65		
10034-93-2	527.15		9.4429347e-05	
10034-94-3	673.15			
10034-96-5				
10034-99-8				
100347-68-0	340.65			
10035-04-8				
10035-06-0				
10035-10-6	186.15	206.15		
10035-38-8	533.15			
10035-41-3				
10035-62-8	486.15			
10036-47-2		200.15		
10036-64-3	482.65			
100361-18-0	483.65			
100365-72-8	403.15			
100366-75-4	355.65			
100366-87-8	393.65			
100367-39-3				
100367-41-7	573.15			
100367-49-5				9.4589396e-05
100367-51-9	422.15			
100367-75-7	276.2425			
100367-79-1	528.65			
100369-82-2				
100374-81-0	390.55			
100377-22-8	385.65			
100379-00-8	400.65			
10038-98-9	222.65	356.25		0.00011412986
100383-05-9	484.65			
100383-40-2				0.0001374643
10039-32-4	308.15			
10039-34-6	518.65			
10039-54-0	393.15		6.9738511e-05	
10039-67-5	402.65			
100393-21-3	366.15			
1004-14-4		424.15		
1004-15-5	459.15			
1004-16-6	468.45			
1004-24-6				
1004-29-1		432.65		0.00014863204
1004-35-9	264.15	405.15		
1004-36-0	405.15	524.15		
1004-37-1	418.15			
1004-38-2	523.15			
1004-66-6		455.65		
1004-75-7	515.15			
1004-77-9	345.65		0.00015208243	
1004-84-8		336.15		
1004-96-2	381.15			
10040-45-6	546.15			
10040-91-2	478.15			
10040-95-6	333.65			
10040-98-9	412.65			
10041-02-8	470.15			
10041-05-1	513.65			
10041-06-2	386.15			
100418-33-5	355.65			
100418-48-2	365.15			
10042-59-8				
10042-76-9	843.15	918.15	5.0378876e-05	
10042-88-3	854.15			
10043-01-3	1043.15	387.15	7.767703e-05	
10043-11-5				
10043-35-3	444.15		4.3087108e-05	
10043-37-5				0.00013606061
10043-52-4	1045.15	1943.15	5.1572491e-05	
10043-67-1				
10043-92-2	202.15	211.15		
100446-36-4	346.15			
100446-37-5	383.15			
10045-45-1	392.15			
10045-49-5				
10045-66-6	467.65			
10045-71-3	415.15			
10045-86-0	1273.15			
10045-94-0	352.15		5.9909736e-05	
100453-11-0				
10047-28-6				
1004769-34-9	356.15			
1004769-38-3	388.9			
100477-79-0				
10048-13-2	519.15			
10048-32-5		394.15		
10048-95-0	403.15		9.6288458e-05	
10048-98-3				
100487-74-9	474.15			
10049-01-1				
10049-04-4	214.15	284.15		
10049-05-5	1097.15	1573.15	4.4675427e-05	
10049-07-7	963.15			
10049-08-8	873.15			
10049-12-4				
10049-16-8				
10049-21-5				
10049-60-2	425.65			
10049-61-3	553.15			
10049-83-9	457.15			
100491-29-0	493.15			
100491-30-3	504.15			
100492-04-4	516.15			
100492-07-7	442.65			
100499-64-7	332.15			
100499-66-9	462.65			
1005-02-3	368.65			
1005-05-6	329.65			
1005-23-8	439.65			
1005-24-9	481.15			
1005-25-0	339.15			
1005-29-4		442.65		
1005-32-9	297.15		0.00015238434	
1005-38-5	399.65			
1005-39-6	461.65			
1005-40-9		446.9		
1005-51-2	368.65			
1005-56-7	324.15		0.00013455183	
1005-62-5	366.65	451.65	0.00013762051	
1005-64-7	230.05	471.85		
1005-66-9	410.65			
1005-67-0	216.05	486.65		0.00017671808
1005-68-1		442.15		0.00017898431
1005-69-2				
1005-91-0				
1005-93-2	475.15			
1005-94-3	321.15			
10050-12-1	442.15			
100501-60-8	367.65			
100501-62-0	474.65			
10051-44-2	498.15			
10051-45-3	623.15		0.00012722145	
100510-33-6	559.65			
100510-66-5	440.65			
100516-72-1	378.15			
100516-78-7	368.65			
100516-88-9	353.15			
