CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
110703			393.2																		
110714		204.03091	358	537.92751		3915585.2	0.000271		-397234.12	-363509.33						36000	225	366	20.349671	2902.4546	-37.322
110725			402.2																		
110736			442.7													61000					
110747		180.3	354.1	535.23333		4195500	0.00028615032	-500000								37560.348	299.4	355.5	20.801439	2670.0984	-65.815
110758		203.45	381.395						-208000							38000					
110770			456.17157																		
110805			408.3													49328.642	336	407	22.723683	4045.3127	-46.92
110816	171.64	172	426.05484	642					-120006.03	-74606.025		305.01				45300	373.71	434.03	20.953455	3421.5724	-64.192
110827	279.7	279.6	353.9	554		4070000	0.00030818219		-156833.11	-123733.11		204.36077	298.19			33100	323	523	21.045236	3031.4776	-35.581
110838	169.65766	169	356	558.99202					-37925.124	-4441.1254		214.63437	310.45			33523.201	310.02	364.53	20.717049	2813.5287	-49.98
110850	384.6	383.6032	418.73517	661		5800000	0.00026752274	-42499.541		24300.459				66900							
110861	231.48	232	388.5	619		5659335.6	0.000253		99923.764	140328.53		179.77278				40300	340.5	426.04	21.097942	3157.6685	-58.496
110872			359.69071	561.7		4560000			-147730	-112810						34910					
110883	333.44	335.65						-522782.4		-466244.3	140.96413		284.9	55000							
110894	262.10172	262	379.2	594.05316		4650815			-86926.709	-47150		209.95698				40150	315.51	416.76	20.681566	2854.2315	-67.622
110918		268.51023	401.6						-186700							45175.936					
110930			446.4							-265129.9											
110941		370.7						-960446.07						119800		101600	428.7	576	29.196157	9534.3878	-36.41
110952		191.2	417.97132																		
110963		196.00626	412	584.4		3200000			-224288.05	-179688.05						43654.9	268.1	412.7	22.190151	4023.5027	-35.357
110974		315.15	521.85																		
110985																	347	505	26.228424	7475.3264	3.5
110505516												616.9									
11062774										-43220			209.59								
110682150										457310			269.52								
110682161										498730			278.98								
110682172													185.04								
110682183										-482000			265.39								
110682194										-1517200			317.91								
1107693								160000													
11077126											191.05										
11077591								-28200		97300				125500							
11078196								-44000			335.1										
11079268								229000		356500				126635.45							
11080561													225.19								
11080572													224.04								
11081359													158.26								
11092323										-86190			251.83								
111013									-864962.97												
111115		236.5	467.36618													57000	373.5	418.9	21.577364	3923.5981	-76.233
111126			491.7																		
111137	252.825	251.40302	446	632.7			0.00049751244			-345100		373.84				51470.734	296.8	446.1	22.898748	4614.4519	-40.324
111148	265.83	265.5906	495	679.96785		2969161.2			-609911.01	-537915.73		323.35				73829.808	351	494.7	21.429952	3537.0332	-137.446
111159		211.45	429.49422	609.05456		3174079.7	0.00044217609									52670.738					
111160		377.79905												139900		112000	436.6	615.3	26.881115	9079.816	-23.802
111182			482.7																		
111206		404.72139												161000		124800	456	625.4	36.809954	20864.969	198.202
111228								-650589.95								88400					
111240		233.2	495.5						-163000												
111251		188.40617	428.26243						-194500	-150100		452.92				45800					
111262		252.09935	403						-239000	-193900						45052.615					
111273	225.8	226	430	610.5		3416696.1	0.000387		-378867.46	-316000		287.4	439.7			61000	325.4	430.5	21.673566	3274.3474	-107.706
111284		302																			
111295	254.37994	341.72686	512						-529306.2	-443634.17		321.3				85578.775					
111308		267.4	374.2																		
111319	192.62	192.63308	424.31444						-175700	-129300		343.21				45600	353.84	467.64	20.887993	3347.9679	-68.196
111342			366.68269	540.5		3200000	0.00038358266		-216729.85	-180129.85						36000					
111353			433.69704																		
111364			388																		
111397			421.7																		
111400		234.15	478.10297	677		3050000	0.00035971223		-165318.63							63400					
111411			516.95																		
111422		301.14531	543.70786					-493800		-397100				101300			464	582.4	23.635069	5361.7075	-98.751
111433	153.88	149.95	363	530.6		3028000			-329833.53	-294442.14		323.9	422.5			35793.852	312.9	371.33	20.76865	2826.3541	-57.449
111444		227.02195	451.39644														296.7	451.7	22.605146	4583.8828	-37.803
111455			431.7																		
111466		265.32471	519	729.50506		4770000			-628500												
111477	170.435		415						-169800	-125200		338.28				44000					
111488		263.15	556.15																		
111499									-89300	-45000						44300					
111513			439.7																		
111535									164000												
111557			462.31753													61321.408	373	463	19.205056	2280.7704	-166.6
111615		307.10083																			
111626		293.15	479.7																		
111648		210.4	468.8																		
111659	216.2	216.3	398.7	568.9		2490000	0.000492		-250294.04	-208694.04		361.1121	467.06			41000	216.59	297.1	23.489131	4458.4518	-20.143
111660	171.46	171	395	566.84758		2680000	0.000468		-121800	-82930		360.45				40231.934	318.04	395.37	20.855711	3116.5167	-60.386
111671		179.04125	398																		
111682		250.15	429						-266000	-216000						49938.592					
111693		275	568.2						84900	149000						64050					
111706	240	238.56028	448	633		3091438.3	0.000435		-403157.61	-340000		325.9	485.8			67000	336.8	449.6	20.675833	2893.8498	-133.487
111717	229.23357	227	427	389.25		3160000	0.00043478261		-312000	-264000		336.23574	461.5			48266.972	285	428	17.50142	1580.6164	-161.333
111740			426.2																		
111751			472.36024																		
111762		202.75	444.22429	633.9		3270000	0.00042372881									56590	365.8	443.4	21.313326	3480.1593	-88.815
111773			466.31292	672		3670000			-670300								385.5	466	22.608369	4481.2543	-62.374
111784	203.98	203.74195	422.69486						24000	57000		257.15				33000					
111819			521.2																		
111820		278.37745		712.15												76900	373	439	22.604639	5304.1107	-61.592
111831		218.2	473.85681						-245200	-190100						55369.458					
111842	219.6	219.5	423.8	595		2300000	0.000555		-274700	-228300		393.61604	506.5			46500	219.7	307.73	20.32006	3437.5938	-55.895
111853			455.21365						-291300	-238900						51787.636	327.3	457.3	20.649583	3384.4063	-85.993
111864		272.75273	452	641		2617000	0.00051813472		-228100	-173500						54677.898					
111875		257	468	655		2700000	0.000497		-427545.94	-356000				100400		71000	502.19	553.99	20.641547	3109.0955	-129.565
111886		224	472.3																		
111900			475.17939	670		3167000											318.4	475.1	24.762507	6236.4873	-4.207
111922		211.25	430	600.6686		3110000			-210228.55	-169028.55						46000					
111944		266.97																			
111966		209.13864	435.16535						-561156.91	-519887.46		352.7				47584.446	286	433	22.73165	4425.884	-38.063
111977		301.10045							96300												
1111780																	247.1	331.4	28.660231	5221.2406	-27.221
1112556																42700					
1112567									303900												
1112636			545						-421000	-368000						52300					
1112670		310						-564800													
11127109										-540570			376.23								
11128248										-20080			225.73								
1113311																37200					
1114927									-916300												
111456849									-368900	-296800						72200					
111456850									-163100	-77500						85600					
1115088			329.07461																		
1115124									211000							36000					
1115157									-26200	25000						51200					
1115306			528.2																		
1115997	193.5		414.4						-100883.59	-62271.625						38500					
1116014														75300							
1116401		251.35	464.65						-332000								305.4	452	23.652868	5031.3395	-37.214
1116763		238.55	639.19665						-587247.59	-476747.59						110300					
1117197		196.1	502.4																		
1117551			550.59																		
1117595		210.1	499.18421																		
1117608			485.7																		
1117835			427																		
1117868		302.80471																			
1117971																	228	315.6	22.237883	3013.4461	-34.019
1118021			364																		
1118123		449.8						-414730		-314000				98200							
1118587			349																		
1118690																66400					
1118714									-587800	-528400						59524.546					
111869193										340000											
111869262										236000											
111895499								-335800		-230000											
1119068		225.3	534.04																		
1119160			395																		
1119193			379.7																		
1119400																65721.358					
1119433		428.15																			
1119466			503.2																		
1119499			502.2													75186.876					
1119604			497.65735																		
1119659			350							84800											
1119864		321.65	528.2																		
1119875		332.45943																			
112050	285.53	285	526	710.79		2348180			-659845.17	-577440.45						82400	410	450	17.376666	1781.266	-235.239
112061		223	500.03554													57021.951					
112072		209.7	465.51762	640.7		2694000	0.00054945055									59520					
112107																	454.8	480	11.559622	685.77662	-340.193
112129		289.99821	502	687.8			0.00069444444									68350	341.3	497	24.39681	5892.2047	-39.342
112141		234.65	483													61090.244					
112152			491.7	663		2730000															
112174			517.15													70746.341					
112185		252.85																			
112209			474.81748																		
112232			470.84426																		
112243		238.15	541.71498													81854.987					
112254		232.95	490.68062																		
112265			508.2																		
112276		268.77664	540	773.81275		3300000			-804200							60500	387	551.4	27.071032	8554.6148	-1.299
112298		244	511.9662													74770					
112301	279.65	279.65868	505	690	0.1	2314719.8	0.000649		-478599.11	-395000				112500		82000	349.37	406.18	21.951027	4012.0058	-115.236
112312		269.25	481.68534	674.08941		2600000	0.0005988024					429.5				59986.808	325.1	481.7	23.792243	5476.275	-35.245
112323		234.1	471.00738																		
112345			504.2011	692.3		2790000											323.4	426.1	19.975755	3175.4629	-133.841
112356			522.17097																		
112367		228.68909	458.9002													56692.622					
112378	301.63	301.69089	441.18733	731.26		2004040								121150			374.6	563	23.187999	6080.6483	-42.034
112389		315.81872	548.2														387	548	26.276825	7710.3006	-26.212
112390		303.58524							-1441800		495.09					95643.627	421.7	475.4	25.8963	8541.8354	-1.062
112403	263.57	263.5	489	658.2		1817520	0.000754		-350700	-289500		491.11128	622.5	100200		61000	399.53	490.49	20.966166	3743.8376	-92.839
112414	237.93	238	486.2	658		1930000			-226200	-165322.53		484.8				60656.95	396.8	487.62	20.953801	3729.8701	-90.879
112425		288.47974		704		2148737.4	0.000718		-504900							85248.954					
112447		269	545.15													66556.82					
112470	345.4	345.62233						-680368		-524570				155800		120683.88					
112481			478.63897													58780					
112492	229.3	228.075	489.12997									492.9				63700					
112505		254.45	529.05																		
112516																71100					
112527			533.2						-392300	-322000						72000	389	518.7	20.941229	4038.9162	-107.518
112538	296.95	297	534.2	719.4	0.09599	1991683.4			-528500	-436500				129300		92000	376.54	437.61	22.673348	4738.0224	-105.421
112549		310	509.63559													69091.055	350.8	530	23.584021	6105.1547	-24.206
112550			547.7																		
112572		243.15	613.19114																		
112583			501.7													63665.142					
112594			533.2													86500					
112607		268.97376	594.00099	789.51053		3200000			-981700								427.1	580.9	30.393041	11138.449	9.636
112618		310.86495														107362.7	427.16	484.82	25.056386	7482.1858	-59.659
112629									-727640							104000	428.72	485.22	23.544393	6270.356	-91.822
112630									-604880								439.7	479	20.32828	4759.4319	-116.87
112663			538.2													80458.537					
112696		285.15																			
112709		303.39918						-599500								95176.991					
112710			580.2																		
112721	311.35	311	562.2					-628570.59		-475170.59				138977.33		99150.22	424.8	569.1	19.822886	3253.3386	-177.782
112732		212.95	529.19071													73800					
112754		301.58502																			
112798		316.97939							-769000								444.5	635	27.554414	10435.302	15.886
112801		289.45							-764800								449.7	633	23.137342	5884.4957	-127.258
112823		288.15	609.2						-444500	-350100						94400					
112856		353.2																			
112867																	479.9	654.7	27.54297	9570.0456	-57.461
112889		291														90000					
112890		301.98																			
112925	330.95	331			0.02933									189100		116800	435.94	518.67	20.398141	4031.442	-172.151
112958	309.64012	310	616.18769	767.75622		1085373.4			-556500	-455800	558.6			170400		102000					
112969								-618400													
112992		349.08372																			
1120065		270.8	484.18843	668.76299			0.000646														
1120076		371.4																			
1120167		374.96434																			
1120214	247.54531	247.4	468	639		1980000	0.000689		-327200	-270300		458.55994	583.58			56400	377.61	470.42	20.957301	3620.7621	-85.128
1120247			507.15																		
1120258									-674290							96400					
1120281																118071.94					
1120349																124918.6					
1120361		260.265	524.1													70200	431.61	524.9	21.057026	4018.0133	-102.675
1120485		300	570.69998	734		1260000	0.0010928962		-407300	-320200						87100					
1120496		315	637.15																		
1120565	138.57089	138.47	314						93850	109889.47		210.36199	298.9			27700					
1120598		164	385.19347						52900	90700						37780.755					
1120623			339						-24900	8575.6805						31408.014					
1120645			384.2						-169500	-130500						39100					
1120678									-87000												
1120689									-90000												
1120714		304.33																			
1120725		198.06364	413																		
1120736			431.48554																		
1120974			387.19699						-416813.94	-377613.94						39100					
1121079			507.2					-469800		-389700				80100							
1121148									-20000	39000						59000					
1121182			451.7																		
1121206									-453000	-411000						42500					
1121228			461																		
1121251								-173600		-84500				89200							
1121331			426.19749																		
1121375			434.2																		
1121604			454.2																		
1121784								-166000		-69800				96200							
1121875									-462600												
1121897								-487700		-393600				94100							
1122390			456.65																		
1122470														149100							
1122549			486.07366													66500					
1122607																54700					
1122629			463.77826													60500					
1122696			433.15																		
1122812			458.2																		
1122856									88300												
1122914		329.15																			
1123008			501.2																		
1123075									-500600												
1123097			484.7																		
1123257			507.2																		
1123348			463.2																		
1123735		344.15	500.15																		
1123848									35000								328.7	500	22.611938	5089.1874	-41.345
1123860			469.2																		
1123940		301.10728	504.68492																		
112322164								64000													
1124056			495.2																		
1124078		345.2	508.70075																		
1124114		358.5	463.2					-39900		54700				94600							
1124192											347.5										
1124250			511.46019																		
1124272			446																		
1124330								14400		126000				99000							
1124636			491.2																		
1125128			358.2																		
1125231		365.65																			
1125264	190.7											375.60646									
1125786		333	548.7																		
1125800		336.61922	520.88628														449.46	527.74	20.887509	3913.4322	-108.272
1125888			469.01013						-308400	-248940						60063.026					
1126007																70200					
1126096			477.2																		
1126461									-385300	-305000						81000					
1126712			475.65																		
1126756			469.65258																		
1126789		258.1	512.18863																		
1126790			483.18884														392.03	483.4	21.425669	4129.8061	-66.3
1127760		258.96939	540														343	531.3	22.350503	5365.9351	-35.83
1128161																56270					
1129233			481.8																		
1129244			481.6																		
1129653			503.7							226000											
113008								-56000													
113382		375																			
113520		445.1																			
113597		370.3																			
1130569			507.1																		
1130570			507.7																		
1131186		389	606.2																		
1131608		403.8																			
1131620			560.2																		
1132214								-724000						127100							
113366204								146000													
1134356								109600		209300				99700							
1134629		255.20494	560																		
1135144		369																			
113614849											543.11										
113614850											608.13										
113614861											613.41										
113614872											606.17										
1137413		396.99898																			
1137968								148000		263000				115000							
1138472									166000												
1138483									179000												
1138529								-410000		-300000				99431.466							
1139828								-37000						95600							
114261		363.62																			
1140143			594.7																		
114056461									-18700												
1141384								-770250													
114481220											498.62										
1145320								-833000			314.6										
114546622									503600	561800						58200					
1146652																54700					
114718693										136000											
114718706										127000											
114718717										134000											
114718728										133000											
1148794								297500		394600				97100							
114829480		357																			
114829491		413																			
115071	87.8	87.972905	225.6	365.2	950000	4604551.4	0.0001846422			20410		195.7				16040	165.81	225.98	20.665425	1832.441	-24.884
115093		446.6						-120000		-55100				64900							
115106	131.64013	131.65738	249	401		5400000	0.000164			-184100		146.57				19015.569	194.93	248.24	20.987487	2060.0515	-30.604
115117	132.4	132.34868	266.7	417.90207		4000001.1	0.0002388			-17900		194	293.59			20600	216.4	273	19.910661	1839.8921	-46.615
115173			447.19998						-88700								291.7	447	23.272228	5056.7163	-16.573
115184		232.15	371.7						-181700												
115195		275.72316	377.09732														294.8	379.3	20.422295	2340.6169	-114.493
115208			424.2																		
115219				560		3330000	0.00040322581					307.7					301.7	368.8	20.047779	2537.4488	-74
115220			413.2														317.9	418.9	21.964267	3921.8573	-40.646
115253	232.96	233	266.93848	388.4505		2783876.9	0.000325			-1488000		291.1					233	388.37	21.308122	2319.6219	-30.205
115322		348.16104																			
115333		520																			
115673		334.45																			
115695	384.08	384																			
115764		369.5176														80200					
115775		531.176						-920500			198.07			163000							
115800			430.7																		
115844		314.16192																			
115866	322.55										397.5			114400			466.7	686.7	23.150766	6987.853	-84.233
115935		345.9801																			
115957			493.2														328.6	493	22.516795	4821.4106	-54.798
115181050		270																			
115181130		248.6																			
115383227								770980.74						199454.29							
1156510	355.81398										391.2										
115734811		392.1																			
116063		374.37797																			
116096			418.7																		
116110			308.2							-148600											
116143	142	130.65	196.84025	307.4			0.00017117426			-659490.4		184.23	300.01				141.99	208.4	20.789511	1580.0063	-26.945
116154			244.1961							-1151700							232.5	292.9	21.904216	2367.6723	-14.694
116165			476.2																		
116290		420.09191																			
116530		225.15	448						-554500	-495400											
116541		221.2	416													47664.37	276.4	416	22.693312	4191.7641	-40.857
116072470									-13200												
116316768									432800	484700						51900					
116422710		422																			
116422721		413																			
116422732		398																			
116445911		404																			
1165533		370																			
116573183								-762800													
117088			644.2																		
117102														110000							
117124														117600							
117180		373.55	577.2											91300							
117260		337.17																			
117271		355.17																			
117340	420.44	420.43928														46740					
117522		395.26																			
117793		524																			
117806		469.56																			
117817			657.2									794.98868									
117840			659								755.2										
117997		308																			
117110175									114800	157000						42200					
1174921								-652300													
117549516									-367800												
117821020								230000	-188100												
118127			521.2																		
118310			564.7																		
118412														131200							
118489														99588.589							
118558		314.8																			
118581		295.15																			
118616			507.18603																		
118694			472.7																		
118741	502.02	501.66802	597.7					-140555.32		-44700	260.24			94845.184		75406.676	387.6	582.6	27.425907	10586.296	82.811
118752		568.13						-298000			258.4			98742			343.8	435.8	35.112719	9862.7502	-17.558
118796		368.52314						-99824.192		-900				97600							
118821		447.7																			
118901		378.56332	531.7					-417499.06		-321599.06				95900							
118912		413.4						-405042.21		-304200				104250.7							
118923		417.8						-401060.86		-296200				107995.48							
118934		301.15	491.2													58300					
118967		353.72545						-70199.555		24100				108812.56		87000	503	523	23.884255	7389.4745	-24.437
1182076		387.3																			
1184050		355.72666																			
1184583																40700					
1185020		326																			
1185100		401																			
1185111									-444800	-403000						41000					
1185337			409																		
1185393			461.59882																		
1185553																34300					
1186534		151.48819	406.153	592.60682		2600272.7										40800	325.18	407.17	20.630587	3169.4992	-58.063
1186590		401																			
1186738			515.9					-1147300		-1054700				92600							
1187037	239.7		482						-386853.52	-316400											
1187139			482.2																		
1187402			387.8																		
1187582									-320100							66447.851					
1188018								-777390			213.4										
1188143									-153300	-112000						41400					
1188336			404.7																		
1189931			401																		
1189997			425.95													46000					
119266								54285.276													
119277		359.9																			
119368			495.83223	709													352	493.7	20.779794	3651.6098	-99.173
119426		327.9																			
119528		383																			
119539		407.14277						-247900									408.8	616	23.240843	6733.7996	-41.548
119619	321.03	321.2	550	830		3352000	0.00056753689	-33737.893		49900				89000		94977	473.7	579.3	21.557677	4873.1266	-93.43
119642	237.345	238	481	720.65351		3687738.4	0.000408		-30229.891	28370.109		251.46				56800	367	479.4	21.015026	3893.4688	-70.229
119653	299.62	297	515	803.15					144947.35	204454.8	171.06	215.98				59500	439.93	516.9	20.711891	3900.1347	-91.852
119755		348						76460.472													
119846			545.2													69900					
119915								251300		404986.67				121721.96							
1190223			405						-237744.5	-195000						42247.275					
1190392		178																			
1190632		330																			
1190767									95100	134000						38900					
1190836		168.15	421.47119													46400					
1191088			468.7						-105800	-50500						55100					
1191157									-345650	-303500		347				42300					
1191259								-786000													
1191453		347																			
1191624			542.7																		
1191635											138										
1191953			766.94369						-135085.24	-96117.797						38322.473	249.09	298.39	23.033311	4008.7868	-19.419
1191964	123.55	123.86082	309.1						-24800												
1191997			327.77722						-103020	-72250						30785					
119121118								340000													
1192161								-323200		-262000				61500							
1192172			378.65																		
1192183	219.44459	230	372.5						-165400	-129500		269.16	366.14			35802.51					
1192285			469.2																		
1192376		168.34857	377													36100					
1192627		306	446													53000					
1192898								38200													
1193028		319																			
1193108								-355600		-291600				64000							
1193120			410.2																		
1193175			424.7																		
1193186			473.42868																		
1193313			415.55																		
1193551		482																			
1193700		204.9																			
1193722		298	508.12218																		
1193813			462.2																		
1194021			461																		
1194656		417.13683																			
1195091		311.15	495.65																		
1195319			449.19758																		
1195320		204.795	455																		
1196129										107400											
1196572														122150							
1196583			458																		
1197199		349	591.12218																		
1197348		349	521														387.7	521	23.554317	6079.8424	-16.02
1198374		288	538.43475														458.5	542.6	20.983596	4155.0148	-101.103
1198614			424.2																		
120127	488.93	490	613.19973					121000		223000	207.15306			98000		79220.986	496.4	613.8	22.404084	6354.0526	-30.753
120149			554.2																		
120218		314																			
120230		429.4																			
120296			504.25686																		
120365		389.70062												123000							
120434			546.2																		
120467		351						-225601.52		-109200				111379.88							
120478			570.7												100900						
120503			514														337	510	23.581557	5873.5054	-22.973
120514		294.61708	596.69982																		
120570		310.25	536.2					-363000									360	536	23.602672	6007.4169	-39.07
120616		415.06462						-718929.69						104600							
120661			569.2					-242430													
120672		327															484.63	559.4	21.650563	4686.2672	-112.779
120718			508.2																		
120729		325	527.01343					86650						78259.051							
120730								169400													
120752			511.2														343	498.7	25.015446	6367.007	-26.799
120809	377.5	377	516.58671					-357308.88		-271730.44				86000		71900	391.7	518.7	24.184742	6247.2657	-23.96
120821		287.89834	486.7						-50200	-1166.46						55953.136	311.6	486	22.196966	4860.718	-30.721
120832		322.98106	483.2					-226400		-156300				75275.205		58679.378	326	483	23.641194	5366.9321	-39.935
120898														119400							
120923	221.44	221.43548	403	624.5		4600000			-239342.38	-196530.85						42600	273.09	298.79	14.00674	866.73448	-168.499
120934	397.3													91584.14							
120945		179.15	353.42306													34200					
1200891								-150900													
12002287										-549000											
12003677								-1188670	-1107740		53.31	93.71									
12004067								-2300790	-2163840		66.18	126.3									
12004363										-145190			252.24								
12007088								-160250			34.62										
12007259								-91960			35.93										
12007408								-4633530			251.02										
12007420								-4580480			232.56										
12007602								-3362270	-3317720		155.84	173.38									
12007646								-2857680			166.66										
12007748								-105020			51.9										
12008398								-5945130	-5872540		293.85	302.61									
12008401								-5914380			264.6										
12009084										-226440			252.86								
12009993										-62760			220.83								
1201009		316																			
1201305								-182900													
12011540										828430			208.56								
12012350								-85350			85.17										
12012952								-107000		18500				125500							
12015531																	227.9	352	23.748863	4329.1524	1.731
12015779								-927590			157.19										
12018007										188280			239.26								
12018018										-75310			269.24								
1202251		371.7																			
12027064								-202090			113			182000							
1203561		390.4																			
12030885								-284510			122.45										
12031800								-632620		-242670	56.42		273.53								
12031822								-1670670	-1566760		91.58	147.47									
12032303								-1572560	-1497630		74.39	111.05									
12032358								-2509360	-2382310		135.54	197.76									
12032369								-345720		145230	50.3		225.49								
12032529								-2164380	-2046330		115.08	172.39									
12033339								-407100	-270300		114.98	181.17									
12033497										71130			252.61								
12033566										263590			222.09								
12033602										372380			216.81								
12033895								-744750													
12034127								-260660			115.91										
12034570								-419660	-336740	198740	46.02	83.23	238.87								
12034592								-794960	-710870	-200000	54.51	92.84	272.78								
12035517								-131380	-66570		71.96	122.43									
12035722								-216310	-143930		133.85	215.9									
12035904										192460			241.11								
12035982								-431790	-370900	127610	39.1	69.17	230.9								
12035993										425090			248.2								
12036010										58580			227.62								
12036145										-200830			280.3								
12036214										-232630			265.26								
12036225								-589690		76570	50.5		285.5								
1204291									-79600												
1204382								-436000													
1204780		372																			
12045602										96230			227.75								
12045635								-279490	-188030		28.53	56.28									
12045646								-322590	-224830		35.84	64.68									
12053279								-125520			64.91										
12057248								-598730	-553250	-166940	37.85	55.07	229.11								
12057715								-461080			87.86										
12058070										310960			241.75								
12061700										108780			216.7								
12065655								-2459150	-2289060			232.45									
12068518								-2299110	-2106530		88.67	168.46									
12069328								-62680	51880		26.77	69.21									
12070041										535550			242.29								
12070063								-144100	-33960		42.29	68.21									
12070085								-184100	-108330		24.21	47.38									
12070143								-196650	-118880		33.14	53.51									
12070154										837740			199.39								
12070289										564840			218.65								
12071271										615050			236.73								
12075353										820060			237.27								
12075400								-160670			200.75										
12075682									-752800												
12078250								-169000													
12078329									-407800	-358800						49000					
12079651	350							-517965.01		-464969.8	259.35			72926.507							
12080329								-208000		-78000				130000							
12082030								-465800		-363300				102500							
12082085								-441500		-350300	267.4			91200							
12082472														97900							
12082870											233.18										
12083248								-460000		-367000				93000							
12087591								-69200			328.2										
12088118								-673500		-550000				123200							
12089155								-514350		-405350				109000							
12089291								15666.667			289.5										
12093059								-239000		-152000				87000							
12099171								152000			424.7										
121142		342.02257						-65460.225		33200				99756.546			473	572	19.951577	3904.4475	-131.199
121175			495.2					-330800													
121335		355.1														66900					
121346		480.5																			
121437		243.28789	341.81738														304.4	340.6	22.435721	3399.0577	-29
121448		158.21559	362.3	535.6			0.00039370079		-153864.97	-118964.97						35100	323	367.8	18.383103	1602.1709	-128.271
121460		248.7938	362.73378						199275.57	240000						34000					
121471								-606200													
121528		435.65																			
121573								-612300													
121697		275	466	687.5		3620000			47404.035	100145.71						52000	302.7	466.3	22.634481	4875.1161	-27.606
121711		368	569.2																		
121722			486.74265						14400	72600						58200					
121733		316.75	508.69963					-58990						81989.497		60200					
121755		275.38333														71100					
121824		478.5						77003.932		192000				133434.76							
121891			475.2																		
121904			549.7																		
121915								-801765.7						142000							
121926		414.15737						-414000						110000							
121971			547.2																		
121982			523.28653					-520900		-433000				87900							
1210351								-123500						109300							
12105816								-328440			611.88										
12109103								-454800		-336000				118000							
12110371														107000							
12116448								-593000		-489000				104200							
12116664								-535100		-428400				108303.43							
12121867											402.9										
12122008										92500											
12122462								87860			54.32										
12124979								-271540			112.81			187900			471.5	669	26.86175	10090.651	-12.045
12124991																	222.1	306.4	25.53903	3680.4014	-43.805
12125029								-314550			94.85			177000							
12125096																	248	335.4	28.16955	5139.1143	-27.078
12125723								-309700		-221800				90788.539							
12125778														88000							
12125870								-752800		-639300				103929.59							
12126500														98098.361							
121263067								-686600													
121263089								-705000													
121263090								-690800													
12128813														92000							
12129510														84200							
12129678								-574700		-466300				108400							
12129689								253257.3		354000				94600							
12129690								-477200		-366200				111000							
12129725								37000		107000				70000							
12136457								-363170			94.03										
12136913								-320160			183.84										
12137121								-301120			186.48										
12137201								-542660	-493940	54390		60.14	233.46								
12141116										-164760			226.44								
12141149										-205520			246.46								
12141467								-2589110													
12142777										84100			210.92								
12143076										-237100											
12143178										-403600											
12143452										-737875.68											
12143554								-3404530	-3216040		198.34	290.95									
12146360								-396000		-307000				89000							
12146371								-423800		-331800				92000							
12148593								-188300			443.5										
12151745								79500			100.3										
12153116								-585000		-478000				107000							
121564258										102000											
12164975										-314520			253.69								
12165161										-1163990			415.49								
12165252										-1710010			494								
12165376										-2023380			504.32								
12165456										-2804120			604.86								
121678884								-152700		-50900				101800							
12169652										-30000											
12177672										-193880			235.42								
12180802		379.7												109150							
12181167													155.57								
12182831										-687850			360.74								
12183801								-2592080													
12184224								-96300		4100				100400							
12184804										970690			228.32								
12184837										107370			284.65								
12184848													156.71								
12184882													108.96								
12184893													143.75								
12184906													142.39								
12185023													204.54								
12185078													206.22								
12185090										143760.53			218.08674								
12185103										58906.842			279.95526								
12185158										-33000											
12189105								-424650.89		-340393.27				84500							
12190704										485340			241.71								
122009		208.75	499.2																		
122010			495.2						-191496.51	-128900											
122032			508.69998														331	505	23.026288	5466.6663	-29.724
122043		344.7						-199600		-100700				98900							
122076			413.2																		
122203			578.15																		
122281		427.7																			
122316			493.2																		
122349		503.13284						-89600													
122394		326	575.20257	931.15		8409970		132891.77	132000	202000				110000		60317.523	381.5	575	23.251758	6284.6412	-39.207
122407			561.7																		
122429		359.9246																			
122463			485.2																		
122510		197.1	419.19587						-680542.52	-635149.32						46000	278.7	419	22.660937	4193.4565	-42.668
122521																53000					
122576		314	534.2					-102000		-48100							354.8	534	23.296451	5859.5886	-36.48
122601	280	276.79	518.2	720		2950000	0.00046296296		-172295.72	-107414.24		274.9				68923.016					
122667		402.09615						223269.23													
122725			500																		
122781			468.2													58405.447					
122792		267.05	468.9						-327903.83	-279764.9						53000	311.4	469.1	23.085373	5007.4295	-36.045
122883		431.48																			
122963		405	551					-464100						130500							
122974			508.19784														347.8	508	24.144401	5881.5322	-42.29
122985			559.2														377	552.8	24.364413	6609.6396	-37.665
122996			514.08628														351	518.5	23.341535	5478.6466	-54.424
12210387										-586548.39											
12212689		275.6							59500	134800		406.7				75300					
1222613								103567.11													
12228396										243090			216.19								
1223661											384.3										
12232290										-748940			381.37								
12243399								-188800		-69800				119000							
12251900										238490			230.57								
12252630										-394550			280.9								
12253746								-5624130	-5299330		175.43	314.67									
12258956										-659820			383.44								
12258967																	819	1763	15.13229	5151.3296	-320.838
12258978										-617640			352.86								
12258989										-566100			325.43								
12259299													182.78								
1226262								-417600			330										
12265826										-942780			258.52								
12269464													233.86								
12274123										60200											
12280090													203.91								
12281366										138600			234.22								
12282381														86200							
12285540										-890100			352.31								
12285620										-862740			319.95								
12285642										-846420			287.33								
12285993										-422170			395.77								
1229125		421.33333																			
12293673										397480			256.48								
123002		258.15	497.27977																		
123013		268.15662	590											135100		89600					
123024																94600					
123057			437.01839						-348600												
123079		319	490	716.45				-224400		-144300				80200			444.9	502.29	21.045835	3569.8565	-116.136
