CAS	Tt	Tm	Tb	Tc	Pt	Pc	Vc	Hfs	Hfl	Hfg	S0s	S0l	S0g	Hsub	Hfus	Hvap	AntoineTmin	AntoineTmax	AntoineA	AntoineB	AntoineC
1006673									80300	160000						79900					
10060329		357																			
10060330		375.7																			
10061015			377.4792																		
10061026			385.15008																		
100652571		347.1529																			
1007267			458.70111																		
1007427											276.1										
10075691														98600							
1008179			495																		
1008748									14000	98700						84900					
1008759									18000	103000						84100					
1008760			579.2																		
1008884																66886.152					
1008895			542.2													68516.45					
1009934	254.4		461																		
10097286										-100420			211.58								
10097322										111863.16			175.01937								
10099704		243																			
10099760								-1144990			109.9										
101020		295.15																			
101053		432.48																			
101188			613.2																		
101202														182200							
101213		315.13374																			
101257								222498.12													
101279		345.59																			
101337		173.15																			
101371		300.585																			
101417			491.2													57400					
101428		406.3074						-203000													
101531		359	595.2					-54000		63510				117700							
101542		339	627																		
101553		291.9	578.2																		
101600								-1106900													
101611			663																		
101688	313.57							-54397.68		189000	332.5						442	530	17.084974	2233.3371	-253.28
101779		364.10924															471	545	13.684493	964.2927	-356.851
101804		464.4996						-17000			241										
101815		299	535	780		2790675.8	0.000563	75105.512	97048.2	163880.29	239.3		436	87355.531		65000					
101826			549.2													69900					
101837			529.15183						-226800												
101848	300.01044	300.1	531.58895	769.43741		3141070		-32110			233.91					66567.323	477.36	544.09	21.038213	4145.6087	-95.324
101973			501.22863													62313.374					
101995		326															381	510	28.374019	7710.1463	-52.56
10100955										-380600						47155.931					
10101527								-2023960			83.87										
10101630								-175390	-157680	-3180	174.84	198.9	359.55	170000							
10102031										11300			346.55								
10102246								-1649500	-1625230		80.24	95.97									
10102439										90290			210.76								
10102440			295.08							33100			240.04				217.6	294	19.232296	1244.8581	-131.93
10102688								-536810	-500170	-258150	145.29	178.95	327.57								
10105381		241.1																			
101074139								-454400													
10108562		228.2	480.2																		
1011127								-307000		-213800											
1011547														128800							
10112911								-265068.95			192.22946										
1012722	350.8	351	508.15	708		2300000	0.00072992701		-188900					82800		61987.661					
1012766		300.15																			
10124433								-888260			117.36										
101279929								-38700													
1013087	302.55404									92300		286.6									
1013758								-404000	-411650												
1013883																75700					
10138213																	318.1	394.8	21.274873	3428.5492	-45
10138893			430.2																		
1014411		215	508																		
1014604									-187400							59600					
1014706																117500					
101421049									-386000												
101432900		183																			
1015890		564.86336																			
10152768			365.10293																		
1016779		350.15																			
1016780														110400							
10160482			479.7																		
1017932	533.2									687400				112000							
10170691								-1675733.3		-1583433.3				86087.049							
102045		308	604.2					-84000						89100			398.7	603.7	23.065455	6493.8242	-41.224
102078		512.09919	535.2					-116800													
102090			576.88603					-401400		-311000	278.4			90000		80900					
102250		206.72	488	679		2435000	0.000625									59200					
102272			494.2						-29500	30500						60000					
102294			556.12487																		
102363								-119000									333	463	21.070864	4477.1303	-47.9
102454			444.2																		
102476			514.2																		
102501			521.7																		
102523			456.2																		
102545		448.01456	519					155640.08		229375	212.57127			73000		64700					
102670									-299150	-256900		370.1				42500					
102692		176.15	429						-206900	-160800						46171.949					
102705			426.12892																		
102716		294.69145	608.55						-664200	-558300						105900	525.9	578.8	28.074292	10462.721	24.749
102761	275.25	226.32396	520						-1330800			458.3				84000					
102772		359.75																			
102818			502.7																		
102829			480						-281800							62700					
102830			478.2																		
102863			539.92998						-433300												
102874		288.85																			
102885		327.32621																			
102921			530.2																		
102965		331																			
102976			473.2																		
1020140			538.15																		
1020311								-570600		-470500				103334.82							
1020844	367.67		498																		
10203288			523.09706																		
10203459		483																			
10210647		381												92113.21							
10210681								-1249300		-1184100				65200							
102107904										-137000											
102153822								39500													
102155340		187																			
10218027								-181300		-134000				47150		46650					
1022077								-49300													
10220209														54000							
102210071										-436000											
10222954										-103300						64875					
10229104			428.7																		
10230269																47815					
10230689								-295000													
10233133																	390.6	469	25.068106	7252.1414	-18.363
1024573		437.68844																			
