CAS	Name	T_flash	T_autoignition	LFL	UFL
123-86-4	n-Butyl Acetate 	295.15	694.15	0.017	0.076
123-91-1	1,4-Dioxane 	285.15	453.15	0.02	0.22
123-92-2	Isoamyl Acetate 	298.15	633.15	0.01	0.075
124-11-8	Nonene 			0.008	
124-40-3	Dimethylamine 		673.15	0.028	0.144
126-99-8	Chloroprene 	253.15		0.04	0.2
138-86-3	Dipentene 	318.15	510.15	0.007	0.061
140-88-5	Ethyl Acrylate (Inhibited) 	282.15	645.15	0.014	0.14
141-32-2	n-Butyl Acrylate (Inhibited) 	322.15	566.15	0.017	0.099
141-43-5	Monoethanolamine 	358.15	683.15		
141-78-6	Ethyl Acetate 	269.15	700.15	0.02	0.115
141-79-7	Methyl Isobutyl Ketone 	304.15	713.15	0.012	0.08
141-97-9	Mesityl Oxide 	304.15	617.15	0.014	0.072
142-82-5	n-Heptane 	269.15	477.15	0.01	0.067
142-84-7	Di-N-Propylamine 	290.15	572.15		
143-08-8	Nonyl Alcohol 			0.008	0.061
151-56-4	Ethylenimine 	262.15	593.15	0.033	0.548
156-59-2	1,2-Dichloroethylene	370.15	733.15	0.056	0.128
302-01-2	Hydrazine 	311.15	296.15		0.98
463-82-1	Neopentane 	208.15	723.15	0.014	0.083
534-15-6	Methyl Formal 	274.15	511.15		
540-88-5	tert-Butyl Acetate 			0.017	0.098
541-85-5	Ethyl Sec-Amyl Ketone 	332.15			
565-59-3	2,3-Dimethylpentane 		608.15		
584-94-1	2,3-Dimethylhexane 		711.15		
589-34-4	3-Methylhexane 		553.15		
590-67-0	Methylcyclohexanol 	341.15	569.15		
591-78-6	2-Hexanone 	308.15	697.15	0.012	0.08
592-27-8	2-Methylheptane 		693.15		
592-41-6	Hexene 	247.15	518.15	0.012	0.069
594-72-9	1,1-Dichloro-1- Nitroethane 	349.15			
624-83-9	Methyl Isocyanate 	258.15	807.15	0.053	0.26
626-38-0	sec-Amyl Acetate 	296.15		0.011	0.075
627-13-4	Propyl Nitrate 	293.15	448.15	0.02	1
628-63-7	n-Amyl Acetate 	298.15	633.15	0.011	0.075
630-08-0	Carbon Monoxide 		882.15	0.125	0.74
645-62-5	2-Ethyl-3-Propyl Acrolein 	341.15			
872-05-9	Decene 		508.15		
1071-26-7	3,3-Dimethylheptane 		598.15		
1300-21-6	1,1-Dichloroethane 		711.15	0.062	0.16
1319-77-3	Cresol 	354.15	832.15	0.011	
1330-20-7	Xylene 	298.15	737.15	0.009	0.07
1333-74-0	Hydrogen 		773.15	0.04	0.75
1634-04-4	Methyl Tertiary Butyl Ether 	193.15	708.15	0.016	0.084
2216-32-2	2-Methyloctane 		493.15		
2216-33-3	3-Methyloctane 		493.15		
2216-34-4	4-Methyloctane 		498.15		
2437-56-1	n-Tridecene 			0.006	
3132-64-7	Epichlorohydrin 	306.15	684.15	0.038	0.21
3221-61-2	2-Methyloctane 		493.15		
3583-47-9	1,4-Dichloro-2,3 Epoxybutane 			0.019	0.085
4170-30-3	Crotonaldehyde 	286.15	505.15	0.021	0.155
6842-15-5	Dodecene 	373.15	528.15		
7664-41-7	Ammonia 		924.15	0.15	0.28
7783-06-4	Hydrogen Sulfide 		533.15	0.04	0.44
7783-07-5	Hydrogen Selenide 				
8006-61-9	Gasoline 	227.15	553.15	0.014	0.076
8006-64-2	Turpentine 	308.15	526.15	0.008	
8008-20-6	Kerosene 	345.15	483.15	0.007	0.05
8030-30-6	Naphtha (Petroleum) 	315.15	561.15	0.011	0.059
10061-02-6	1,3-Dichloropropene	308.15		0.053	0.145
25013-15-4	Vinyl Toluene 	325.15	767.15	0.008	0.11
25167-67-3	Butylene 		658.15	0.016	0.1
25167-70-8	Di-Isobutylene 	275.15	664.15	0.008	0.048
25340-17-4	Diethyl Benzene 	330.15	668.15		
25340-18-5	Triethylbenzene 	356.15			0.56
25377-83-7	Octene 	281.15	503.15	0.009	
28761-27-5	n-Undecene 			0.007	
31394-54-4	2-Methylhexane 		553.15		
34590-94-8	Dipropylene Glycol Methyl Ether 	358.15		0.011	0.03
68476-85-7	Liquefied Petroleum Gas 		678.15		
81624-04-6	n-Heptene 	272.15	477.15		
